id,bus_type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin,LAM_P,LAM_Q,MU_VMAX,MU_VMIN,Vsp,locX,locY
1,1,0,0,0,0,2,1.0,-6.816123156873675,345,1,1.06,0.94,0,0,0,0,0.0,0,0
2,1,0,0,0,0,2,1.0,-4.527839359011027,345,1,1.06,0.94,0,0,0,0,0.0,0,0
3,1,0,0,0,0,2,1.0,-8.60485525574952,345,1,1.06,0.94,0,0,0,0,0.0,0,0
4,1,0,0,0,0,1,1.0,-10.934451075680851,345,1,1.06,0.94,0,0,0,0,0.0,0,0
5,1,0,0,0,0,1,1.0,-9.668079729035284,345,1,1.06,0.94,0,0,0,0,0.0,0,0
6,1,0,0,0,0,1,1.0,-8.926539208689414,345,1,1.06,0.94,0,0,0,0,0.0,0,0
7,1,0,0,0,0,1,1.0,-11.304698919873289,345,1,1.06,0.94,0,0,0,0,0.0,0,0
8,1,0,0,0,0,1,1.0,-11.754333196056466,345,1,1.06,0.94,0,0,0,0,0.0,0,0
9,1,0,0,0,0,1,1.0,-9.036132927173762,345,1,1.06,0.94,0,0,0,0,0.0,0,0
10,1,0,0,0,0,1,1.0,-6.582206485322528,345,1,1.06,0.94,0,0,0,0,0.0,0,0
11,1,0,0,0,0,1,1.0,-7.396075260722642,345,1,1.06,0.94,0,0,0,0,0.0,0,0
12,1,0,0,0,0,1,1.0,-7.510474316821217,345,1,1.06,0.94,0,0,0,0,0.0,0,0
13,1,0,0,0,0,1,1.0,-7.369754747313069,345,1,1.06,0.94,0,0,0,0,0.0,0,0
14,1,0,0,0,0,1,1.0,-9.186904589610883,345,1,1.06,0.94,0,0,0,0,0.0,0,0
15,1,0,0,0,0,3,1.0,-10.151406792408276,345,1,1.06,0.94,0,0,0,0,0.0,0,0
16,1,0,0,0,0,3,1.0,-8.501061132629193,345,1,1.06,0.94,0,0,0,0,0.0,0,0
17,1,0,0,0,0,2,1.0,-8.29127918304314,345,1,1.06,0.94,0,0,0,0,0.0,0,0
18,1,0,0,0,0,2,1.0,-8.778239761010816,345,1,1.06,0.94,0,0,0,0,0.0,0,0
19,1,0,0,0,0,3,1.0,-6.008403374771298,345,1,1.06,0.94,0,0,0,0,0.0,0,0
20,1,0,0,0,0,3,1.0,-7.477442638893113,345,1,1.06,0.94,0,0,0,0,0.0,0,0
21,1,0,0,0,0,3,1.0,-6.4989823338495984,345,1,1.06,0.94,0,0,0,0,0.0,0,0
22,1,0,0,0,0,3,1.0,-1.7853131459023355,345,1,1.06,0.94,0,0,0,0,0.0,0,0
23,1,0,0,0,0,3,1.0,-2.128339487211978,345,1,1.06,0.94,0,0,0,0,0.0,0,0
24,1,0,0,0,0,3,1.0,-8.653032860749274,345,1,1.06,0.94,0,0,0,0,0.0,0,0
25,1,0,0,0,0,2,1.0,-2.9588759233687885,345,1,1.06,0.94,0,0,0,0,0.0,0,0
26,1,0,0,0,0,2,1.0,-3.7432996304780057,345,1,1.06,0.94,0,0,0,0,0.0,0,0
27,1,0,0,0,0,2,1.0,-6.856132738017643,345,1,1.06,0.94,0,0,0,0,0.0,0,0
28,1,0,0,0,0,3,1.0,1.6691166074357608,345,1,1.06,0.94,0,0,0,0,0.0,0,0
29,1,0,0,0,0,3,1.0,4.819119169827846,345,1,1.06,0.94,0,0,0,0,0.0,0,0
30,2,0,0,0,0,2,1.0,-3.231522347527539,345,1,1.06,0.94,0,0,0,0,1.0499,0,0
31,3,0,0,0,0,1,1.0,0.0,345,1,1.06,0.94,0,0,0,0,0.982,0,0
32,2,0,0,0,0,1,1.0,-2.857980816972178,345,1,1.06,0.94,0,0,0,0,0.9841,0,0
33,2,0,0,0,0,3,1.0,-3.4374271564602683,345,1,1.06,0.94,0,0,0,0,0.9972,0,0
34,2,0,0,0,0,3,1.0,-4.857879599554989,345,1,1.06,0.94,0,0,0,0,1.0123,0,0
35,2,0,0,0,0,3,1.0,0.8775082069681651,345,1,1.06,0.94,0,0,0,0,1.0494,0,0
36,2,0,0,0,0,3,1.0,2.2353070805043713,345,1,1.06,0.94,0,0,0,0,1.0636,0,0
37,2,0,0,0,0,2,1.0,0.6301317053306886,345,1,1.06,0.94,0,0,0,0,1.0275,0,0
38,2,0,0,0,0,3,1.0,8.528447935504795,345,1,1.06,0.94,0,0,0,0,1.0265,0,0
39,2,0,0,0,0,1,1.0,-7.089609661132717,345,1,1.06,0.94,0,0,0,0,1.03,0,0
