bus,E,Ps,Emax,Emin,Psmax,Psmin,status
1,634.3999999999999,48.8,1171.1999999999998,0.0,48.8,-48.8,1
3,2093.0,161.0,3864.0,0.0,161.0,-161.0,1
4,3250.0,250.0,6000.0,0.0,250.0,-250.0,1
7,1285.9,-116.9,2805.6000000000004,0.0,116.9,-116.9,1
8,3393.0,261.0,6264.0,0.0,261.0,-261.0,1
9,42.25,3.25,78.0,0.0,3.25,-3.25,1
12,46.91499999999999,-4.265,102.35999999999999,0.0,4.265,-4.265,1
15,1760.0,-160.0,3840.0,0.0,160.0,-160.0,1
16,1809.5,-164.5,3948.0,0.0,164.5,-164.5,1
18,1027.0,79.0,1896.0,0.0,79.0,-79.0,1
20,3756.421407659249,-323.57859234075096,8160.0,0.0,340.0,-340.0,1
21,1507.0,-137.0,3288.0,0.0,137.0,-137.0,1
23,1361.25,-123.75,2970.0,0.0,123.75,-123.75,1
24,1697.3000000000002,-154.3,3703.2000000000003,0.0,154.3,-154.3,1
25,1456.0,112.00000000000001,2688.0,0.0,112.0,-112.0,1
26,764.5,-69.5,1668.0,0.0,69.5,-69.5,1
27,1545.5,-140.5,3372.0,0.0,140.5,-140.5,1
28,1309.593592340753,73.59359234075313,2472.0,0.0,103.0,-103.0,1
29,1559.25,-141.75,3402.0,0.0,141.75,-141.75,1
31,50.599999999999994,-4.6,110.39999999999999,0.0,4.6,-4.6,1
39,7176.0,552.0,13248.0,0.0,552.0,-552.0,1
