id,bus_type,Pd,Pq,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin,LAM_P,LAM_Q,MU_VMAX,MU_VMIN,Vsp,lat,lng,BusName,SubArea
101,1,108,22,0,0,1,1,-3.9211473321398373,138,11,1.06,0.94,0,0,0,0,0,33.39610326,-113.835642,Abel,11
102,1,97,20,0,0,1,1,-3.77325006134643,138,12,1.06,0.94,0,0,0,0,0,33.35767844,-113.8259335,Adams,11
103,2,180,37,0,0,1,1,-5.945812850267379,138,11,1.06,0.94,0,0,0,0,1.01085,33.53683282,-114.6703991,Adler,11
104,2,74,15,0,0,1,1,-3.4903459535839754,138,11,1.06,0.94,0,0,0,0,1.01765,33.81230352,-113.8254191,Agricola,11
105,2,71,14,0,0,1,1,-3.3606128515778675,138,11,1.06,0.94,0,0,0,0,1.03568,33.65955984,-113.9990231,Aiken,11
106,2,136,28,0,-100,1,1,-3.0197029863872102,138,12,1.06,0.94,0,0,0,0,1.03242,33.73803645,-114.1819242,Alber,11
107,1,125,25,0,0,1,1,0.5967776456733166,138,12,1.06,0.94,0,0,0,0,0,34.69726196,-113.7013088,Alder,11
108,2,171,35,0,0,1,1,-0.9404492496889787,138,12,1.06,0.94,0,0,0,0,1.01024,34.4592108,-113.7616436,Alger,11
109,2,175,36,0,0,1,1,-3.2586764480147195,138,13,1.06,0.94,0,0,0,0,1.0261,33.92043627,-114.308281,Ali,11
110,2,195,40,0,0,1,1,-2.7802948011137087,138,13,1.06,0.94,0,0,0,0,1.05,33.91279307,-114.2929646,Allen,11
111,2,0,0,0,0,1,1,-5.04383936263392,230,13,1.06,0.94,0,0,0,0,1.02764,33.90438607,-114.3011177,Anna,11
112,2,0,0,0,0,1,1,-0.5697820813992751,230,13,1.06,0.94,0,0,0,0,1.02024,33.91086601,-114.3134024,Archer,11
113,3,265,54,0,0,1,1,0,230,14,1.06,0.94,0,0,0,0,1.03943,34.35428034,-114.274657,Arne,12
114,1,194,39,0,0,1,1,-11.481552543008307,230,16,1.06,0.94,0,0,0,0,0,33.77708609,-114.8199113,Arnold,12
115,1,317,64,0,0,1,1,-10.321823561343825,230,16,1.06,0.94,0,0,0,0,0,33.50618372,-115.3295084,Arthur,12
