bus,E,Ps,Emax,Emin,Psmax,Psmin,Efficiency,status
101,129.60000000000002,0,129.60000000000002,0,43.2,-43.2,0.925,1
102,116.40000000000002,0,116.40000000000002,0,38.800000000000004,-38.800000000000004,0.925,1
107,150.00000000000003,0,150.00000000000003,0,50,-50,0.925,1
114,232.80000000000004,0,232.80000000000004,0,77.60000000000001,-77.60000000000001,0.925,1
115,380.40000000000003,0,380.40000000000003,0,126.80000000000001,-126.80000000000001,0.925,1
116,120.00000000000001,0,120.00000000000001,0,40,-40,0.925,1
118,399.6000000000001,0,399.6000000000001,0,133.20000000000002,-133.20000000000002,0.925,1
201,129.60000000000002,0,129.60000000000002,0,43.2,-43.2,0.925,1
202,116.40000000000002,0,116.40000000000002,0,38.800000000000004,-38.800000000000004,0.925,1
207,150.00000000000003,0,150.00000000000003,0,50,-50,0.925,1
213,318.00000000000006,0,318.00000000000006,0,106,-106,0.925,1
214,232.80000000000004,0,232.80000000000004,0,77.60000000000001,-77.60000000000001,0.925,1
215,380.40000000000003,0,380.40000000000003,0,126.80000000000001,-126.80000000000001,0.925,1
216,120.00000000000001,0,120.00000000000001,0,40,-40,0.925,1
218,399.6000000000001,0,399.6000000000001,0,133.20000000000002,-133.20000000000002,0.925,1
301,129.60000000000002,0,129.60000000000002,0,43.2,-43.2,0.925,1
302,116.40000000000002,0,116.40000000000002,0,38.800000000000004,-38.800000000000004,0.925,1
307,150.00000000000003,0,150.00000000000003,0,50,-50,0.925,1
313,318.00000000000006,0,318.00000000000006,0,106,-106,0.925,1
314,232.80000000000004,0,232.80000000000004,0,77.60000000000001,-77.60000000000001,0.925,1
315,380.40000000000003,0,380.40000000000003,0,126.80000000000001,-126.80000000000001,0.925,1
316,120.00000000000001,0,120.00000000000001,0,40,-40,0.925,1
318,399.6000000000001,0,399.6000000000001,0,133.20000000000002,-133.20000000000002,0.925,1
