bus,bus_type,status,P,Q,fracS,fracY,fracE,gamma,Qmin,Qmax,Qinc,Qcon
101,1,1.0,216.0,22,1,0,0,0,0,0,0,0
102,1,1.0,194.0,20,1,0,0,0,0,0,0,0
107,1,1.0,250.0,25,1,0,0,0,0,0,0,0
114,1,1.0,388.0,39,1,0,0,0,0,0,0,0
115,1,1.0,634.0,64,1,0,0,0,0,0,0,0
116,1,1.0,200.0,20,1,0,0,0,0,0,0,0
118,1,1.0,666.0,68,1,0,0,0,0,0,0,0
121,1,1.0,0.0,0,1,0,0,0,0,0,0,0
122,1,1.0,0.0,0,1,0,0,0,0,0,0,0
123,1,1.0,0.0,0,1,0,0,0,0,0,0,0
201,1,1.0,216.0,22,1,0,0,0,0,0,0,0
202,1,1.0,194.0,20,1,0,0,0,0,0,0,0
207,1,1.0,250.0,25,1,0,0,0,0,0,0,0
213,1,1.0,530.0,54,1,0,0,0,0,0,0,0
214,1,1.0,388.0,39,1,0,0,0,0,0,0,0
215,1,1.0,634.0,64,1,0,0,0,0,0,0,0
216,1,1.0,200.0,20,1,0,0,0,0,0,0,0
218,1,1.0,666.0,68,1,0,0,0,0,0,0,0
221,1,1.0,0.0,0,1,0,0,0,0,0,0,0
222,1,1.0,0.0,0,1,0,0,0,0,0,0,0
223,1,1.0,0.0,0,1,0,0,0,0,0,0,0
301,1,1.0,216.0,22,1,0,0,0,0,0,0,0
302,1,1.0,194.0,20,1,0,0,0,0,0,0,0
307,1,1.0,250.0,25,1,0,0,0,0,0,0,0
313,1,1.0,530.0,54,1,0,0,0,0,0,0,0
314,1,1.0,388.0,39,1,0,0,0,0,0,0,0
315,1,1.0,634.0,64,1,0,0,0,0,0,0,0
316,1,1.0,200.0,20,1,0,0,0,0,0,0,0
318,1,1.0,666.0,68,1,0,0,0,0,0,0,0
321,1,1.0,0.0,0,1,0,0,0,0,0,0,0
322,1,1.0,0.0,0,1,0,0,0,0,0,0,0
323,1,1.0,0.0,0,1,0,0,0,0,0,0,0
