f,t,R,X,B,rateA,rateB,rateC,tap,shift,status,angMin,angMax,Pf,Qf,Pt,Qt,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX,bus_type,tap_min,tap_max,Pf_des,ImF,ImT,UID,Perm OutRate,Duration,Tr Ratio,Tran OutRate,Length
101,102,0.003,0.014,0.461,175,193,200,0,0,1,-360,360,-13.27041968936357,0.0,13.27041968936357,0.0,0,0,0,0,0,0,0,0,0,0,A1,0.24,16,0.0,0.0,3.0
101,103,0.055,0.211,0.057,175,208,220,0,0,1,-360,360,37.43415479940511,0.0,-37.43415479940511,0.0,0,0,0,0,0,0,0,0,0,0,A2,0.51,10,0.0,2.9,55.0
101,105,0.022,0.085,0.023,175,208,220,0,0,1,-360,360,35.83626488995853,0.0,-35.83626488995853,0.0,0,0,0,0,0,0,0,0,0,0,A3,0.33,10,0.0,1.2,22.0
102,104,0.033,0.127,0.034,175,208,220,0,0,1,-360,360,32.490609158011985,0.0,-32.490609158011985,0.0,0,0,0,0,0,0,0,0,0,0,A4,0.39,10,0.0,1.7,33.0
102,106,0.05,0.192,0.052,175,208,220,0,0,1,-360,360,25.238971152624185,0.0,-25.238971152624185,0.0,0,0,0,0,0,0,0,0,0,0,A5,0.48,10,0.0,2.6,50.0
103,109,0.031,0.119,0.032,175,208,220,0,0,1,-360,360,-4.866065738023508,0.0,4.866065738023508,0.0,0,0,0,0,0,0,0,0,0,0,A6,0.38,10,0.0,1.6,31.0
103,124,0.002,0.084,0.0,400,510,600,0,0,1,-360,360,42.300220537428615,0.0,-42.300220537428615,0.0,0,0,0,0,0,0,0,0,0,0,A7,0.02,768,1.015,0.0,0.0
104,109,0.027,0.104,0.028,175,208,220,0,0,1,-360,360,32.490609158012,0.0,-32.490609158012,0.0,0,0,0,0,0,0,0,0,0,0,A8,0.36,10,0.0,1.4,27.0
105,110,0.023,0.088,0.024,175,208,220,0,0,1,-360,360,35.836264889958564,0.0,-35.836264889958564,0.0,0,0,0,0,0,0,0,0,0,0,A9,0.34,10,0.0,1.2,23.0
106,110,0.014,0.061,2.459,175,193,200,0,0,1,-360,360,25.238971152624178,0.0,-25.238971152624178,0.0,0,0,0,0,0,0,0,0,0,0,A10,0.33,35,0.0,0.0,16.0
107,108,0.016,0.061,0.017,175,208,220,0,0,1,-360,360,73.53658908931958,0.0,-73.53658908931958,0.0,0,0,0,0,0,0,0,0,0,0,A11,0.3,10,0.0,0.8,16.0
107,203,0.042,0.161,0.044,175,208,220,0,0,1,-360,360,156.46341091068038,0.0,-156.46341091068038,0.0,0,0,0,0,0,0,0,0,0,0,AB1,0.44,10,0.0,2.2,42.0
108,109,0.043,0.165,0.045,175,208,220,0,0,1,-360,360,40.16184307158963,0.0,-40.16184307158963,0.0,0,0,0,0,0,0,0,0,0,0,A12-1,0.44,10,0.0,2.3,43.0
108,110,0.043,0.165,0.045,175,208,220,0,0,1,-360,360,33.374746017729926,0.0,-33.374746017729926,0.0,0,0,0,0,0,0,0,0,0,0,A13-2,0.44,10,0.0,2.3,43.0
109,111,0.002,0.084,0.0,400,510,600,0,0,1,-360,360,51.17772824249482,0.0,-51.17772824249482,0.0,0,0,0,0,0,0,0,0,0,0,A14,0.02,768,1.03,0.0,0.0
109,112,0.002,0.084,0.0,400,510,600,0,0,1,-360,360,16.608658249083355,0.0,-16.608658249083355,0.0,0,0,0,0,0,0,0,0,0,0,A15,0.02,768,1.03,0.0,0.0
110,111,0.002,0.084,0.0,400,510,600,0,0,1,-360,360,64.5095260268621,0.0,-64.5095260268621,0.0,0,0,0,0,0,0,0,0,0,0,A16,0.02,768,1.015,0.0,0.0
110,112,0.002,0.084,0.0,400,510,600,0,0,1,-360,360,29.940456033450637,0.0,-29.940456033450637,0.0,0,0,0,0,0,0,0,0,0,0,A17,0.02,768,1.015,0.0,0.0
111,113,0.006,0.048,0.1,500,600,625,0,0,1,-360,360,-4.405318320223891,0.0,4.405318320223891,0.0,0,0,0,0,0,0,0,0,0,0,A18,0.4,11,0.0,0.8,33.0
111,114,0.005,0.042,0.088,500,600,625,0,0,1,-360,360,120.09257258958084,0.0,-120.09257258958084,0.0,0,0,0,0,0,0,0,0,0,0,A19,0.39,11,0.0,0.7,29.0
112,113,0.006,0.048,0.1,500,600,625,0,0,1,-360,360,56.090554168246186,0.0,-56.090554168246186,0.0,0,0,0,0,0,0,0,0,0,0,A20,0.4,11,0.0,0.8,33.0
112,123,0.012,0.097,0.203,500,600,625,0,0,1,-360,360,-9.541439885712192,0.0,9.541439885712192,0.0,0,0,0,0,0,0,0,0,0,0,A21,0.52,11,0.0,1.6,67.0
113,123,0.011,0.087,0.182,500,600,625,0,0,1,-360,360,-41.5846697585046,0.0,41.5846697585046,0.0,0,0,0,0,0,0,0,0,0,0,A22,0.49,11,0.0,1.5,60.0
113,215,0.01,0.075,0.158,500,600,625,0,0,1,-360,360,181.26990560651782,0.0,-181.26990560651782,0.0,0,0,0,0,0,0,0,0,0,0,AB2,0.47,11,0.0,1.3,52.0
114,116,0.005,0.059,0.082,500,600,625,0,0,1,-360,360,-73.90742741041917,0.0,73.90742741041917,0.0,0,0,0,0,0,0,0,0,0,0,A23,0.38,11,0.0,0.7,27.0
115,116,0.002,0.017,0.036,500,600,625,0,0,1,-360,360,-79.38898894105057,0.0,79.38898894105057,0.0,0,0,0,0,0,0,0,0,0,0,A24,0.33,11,0.0,0.3,12.0
115,121,0.006,0.049,0.103,500,600,625,0,0,1,-360,360,-61.65539526075682,0.0,61.65539526075682,0.0,0,0,0,0,0,0,0,0,0,0,A25-1,0.41,11,0.0,0.8,34.0
115,121,0.006,0.049,0.103,500,600,625,0,0,1,-360,360,-61.65539526075682,0.0,61.65539526075682,0.0,0,0,0,0,0,0,0,0,0,0,A25-2,0.41,11,0.0,0.8,34.0
115,124,0.007,0.052,0.109,500,600,625,0,0,1,-360,360,-42.30022053742862,0.0,42.30022053742862,0.0,0,0,0,0,0,0,0,0,0,0,A26,0.41,11,0.0,0.9,36.0
116,117,0.003,0.026,0.055,500,600,625,0,0,1,-360,360,-14.728427834649171,0.0,14.728427834649171,0.0,0,0,0,0,0,0,0,0,0,0,A27,0.35,11,0.0,0.4,18.0
116,119,0.003,0.023,0.049,500,600,625,0,0,1,-360,360,-83.56798851682055,0.0,83.56798851682055,0.0,0,0,0,0,0,0,0,0,0,0,A28,0.34,11,0.0,0.4,16.0
117,118,0.002,0.014,0.03,500,600,625,0,0,1,-360,360,-7.280090076970867,0.0,7.280090076970867,0.0,0,0,0,0,0,0,0,0,0,0,A29,0.32,11,0.0,0.2,10.0
117,122,0.014,0.105,0.221,500,600,625,0,0,1,-360,360,-7.4483377576783,0.0,7.4483377576783,0.0,0,0,0,0,0,0,0,0,0,0,A30,0.54,11,0.0,1.8,73.0
118,121,0.003,0.026,0.055,500,600,625,0,0,1,-360,360,-45.640045038490534,0.0,45.640045038490534,0.0,0,0,0,0,0,0,0,0,0,0,A31-1,0.35,11,0.0,0.4,18.0
118,121,0.003,0.026,0.055,500,600,625,0,0,1,-360,360,-45.640045038490534,0.0,45.640045038490534,0.0,0,0,0,0,0,0,0,0,0,0,A31-2,0.35,11,0.0,0.4,18.0
119,120,0.005,0.04,0.083,500,600,625,0,0,1,-360,360,-41.7839942584103,0.0,41.7839942584103,0.0,0,0,0,0,0,0,0,0,0,0,A32-1,0.38,11,0.0,0.7,27.5
119,120,0.005,0.04,0.083,500,600,625,0,0,1,-360,360,-41.7839942584103,0.0,41.7839942584103,0.0,0,0,0,0,0,0,0,0,0,0,A32-2,0.38,11,0.0,0.7,27.5
120,123,0.003,0.022,0.046,500,600,625,0,0,1,-360,360,-41.78399425841032,0.0,41.78399425841032,0.0,0,0,0,0,0,0,0,0,0,0,A33-1,0.34,11,0.0,0.4,15.0
120,123,0.003,0.022,0.046,500,600,625,0,0,1,-360,360,-41.78399425841032,0.0,41.78399425841032,0.0,0,0,0,0,0,0,0,0,0,0,A33-2,0.34,11,0.0,0.4,15.0
121,122,0.009,0.068,0.142,500,600,625,0,0,1,-360,360,7.448337757678301,0.0,-7.448337757678301,0.0,0,0,0,0,0,0,0,0,0,0,A34,0.45,11,0.0,1.2,47.0
123,217,0.01,0.074,0.155,500,600,625,0,0,1,-360,360,199.30590183896254,0.0,-199.30590183896254,0.0,0,0,0,0,0,0,0,0,0,0,AB3,0.46,11,0.0,1.3,51.0
201,202,0.003,0.014,0.461,175,193,200,0,0,1,-360,360,1.6360944380067188,0.0,-1.6360944380067188,0.0,0,0,0,0,0,0,0,0,0,0,B1,0.24,16,0.0,0.0,3.0
201,203,0.055,0.211,0.057,175,208,220,0,0,1,-360,360,-57.21040655078913,0.0,57.21040655078913,0.0,0,0,0,0,0,0,0,0,0,0,B2,0.51,10,0.0,2.9,55.0
201,205,0.022,0.085,0.023,175,208,220,0,0,1,-360,360,-6.425687887216013,0.0,6.425687887216013,0.0,0,0,0,0,0,0,0,0,0,0,B3,0.33,10,0.0,1.2,22.0
202,204,0.033,0.127,0.034,175,208,220,0,0,1,-360,360,-14.879520871793611,0.0,14.879520871793611,0.0,0,0,0,0,0,0,0,0,0,0,B4,0.39,10,0.0,1.7,33.0
202,206,0.05,0.192,0.052,175,208,220,0,0,1,-360,360,-4.484384690199528,0.0,4.484384690199528,0.0,0,0,0,0,0,0,0,0,0,0,B5,0.48,10,0.0,2.6,50.0
203,209,0.031,0.119,0.032,175,208,220,0,0,1,-360,360,72.74900657953172,0.0,-72.74900657953172,0.0,0,0,0,0,0,0,0,0,0,0,B6,0.38,10,0.0,1.6,31.0
203,224,0.002,0.084,0.0,400,510,600,0,0,1,-360,360,26.50399778035955,0.0,-26.50399778035955,0.0,0,0,0,0,0,0,0,0,0,0,B7,0.02,768,1.015,0.0,0.0
204,209,0.027,0.104,0.028,175,208,220,0,0,1,-360,360,-14.879520871793627,0.0,14.879520871793627,0.0,0,0,0,0,0,0,0,0,0,0,B8,0.36,10,0.0,1.4,27.0
205,210,0.023,0.088,0.024,175,208,220,0,0,1,-360,360,-6.425687887216151,0.0,6.425687887216151,0.0,0,0,0,0,0,0,0,0,0,0,B9,0.34,10,0.0,1.2,23.0
