YDH,PowerDen
1300108,0
1300109,0
1300110,0
1300111,0
1300112,0
1300113,0.00648125
1300114,0.04818438
1300115,0.1016281
1300116,0.3174219
1300117,0.09105625
1300118,0.06300625
1300119,0.1005656
1300120,0.036975
1300121,0
1300122,0
1300123,0
1300200,0
1300201,0
1300202,0
1300203,0
1300204,0
1300205,0
1300206,0
1300207,0
1300208,0
1300209,0
1300210,0
1300211,0
1300212,0
1300213,0.0274125
1300214,0.1022125
1300215,0.2057531
1300216,0.3240094
1300217,0.3571594
1300218,0.2535656
1300219,0.2672187
1300220,0.15555
1300221,0.02449062
1300222,0
1300223,0
1300300,0
1300301,0
1300302,0
1300303,0
1300304,0
1300305,0
1300306,0
1300307,0
1300308,0
1300309,0
1300310,0
1300311,0
1300312,0
1300313,0.04388125
1300314,0.179775
1300315,0.2931437
1300316,0.3641188
1300317,0.386325
1300318,0.3558312
1300319,0.2759312
1300320,0.156825
1300321,0.02512812
1300322,0
1300323,0
1300400,0
1300401,0
1300402,0
1300403,0
1300404,0
1300405,0
1300406,0
1300407,0
1300408,0
1300409,0
1300410,0
1300411,0
1300412,0
1300413,0.0444125
1300414,0.1779156
1300415,0.2895844
1300416,0.3584344
1300417,0.3801094
1300418,0.08005937
1300419,0.04552813
1300420,0.02156875
1300421,0.001221875
1300422,0
1300423,0
1300500,0
1300501,0
1300502,0
1300503,0
1300504,0
1300505,0
1300506,0
1300507,0
1300508,0
1300509,0
1300510,0
1300511,0
1300512,0
1300513,0.04520937
1300514,0.1799344
1300515,0.2925062
1300516,0.3623125
1300517,0.3848375
1300518,0.3567875
1300519,0.2768344
1300520,0.1595344
1300521,0.02640313
1300522,0
1300523,0
1300600,0
1300601,0
1300602,0
1300603,0
1300604,0
1300605,0
1300606,0
1300607,0
1300608,0
1300609,0
1300610,0
1300611,0
1300612,0
1300613,0.003665625
1300614,0.02523438
1300615,0.2797562
1300616,0.3613563
1300617,0.384625
1300618,0.3534938
1300619,0.2755063
1300620,0.1586844
1300621,0.02773125
1300622,0
1300623,0
1300700,0
1300701,0
1300702,0
1300703,0
1300704,0
1300705,0
1300706,0
1300707,0
1300708,0
1300709,0
1300710,0
1300711,0
1300712,0
1300713,0.04728125
1300714,0.16065
1300715,0.2948438
1300716,0.3674125
1300717,0.3903094
1300718,0.36125
1300719,0.2821469
1300720,0.1652188
1300721,0.03182187
1300722,0
1300723,0
1300800,0
1300801,0
1300802,0
1300803,0
1300804,0
1300805,0
1300806,0
1300807,0
1300808,0
1300809,0
1300810,0
1300811,0
1300812,0
1300813,0.04276562
1300814,0.1774906
1300815,0.291975
1300816,0.3673062
1300817,0.3456312
1300818,0.3394687
1300819,0.2886812
1300820,0.1713281
1300821,0.03469063
1300822,0
1300823,0
1300900,0
1300901,0
1300902,0
1300903,0
1300904,0
1300905,0
1300906,0
1300907,0
1300908,0
1300909,0
1300910,0
1300911,0
1300912,0
1300913,0.02220625
1300914,0.05169062
1300915,0.1390281
1300916,0.1356281
1300917,0.3777719
1300918,0.3502
1300919,0.05551562
1300920,0.009775
1300921,0.03315
1300922,0
1300923,0
1301000,0
1301001,0
