YDH,Load
1300108,544.453
1300109,546.842
1300110,562.874
1300111,590.968
1300112,638.409
1300113,685.342
1300114,729.152
1300115,753.594
1300116,759.87
1300117,752.631
1300118,742.405
1300119,735.341
1300120,747.488
1300121,802.612
1300122,864.93
1300123,860.494
1300200,834.585
1300201,805.081
1300202,771.646
1300203,709.28
1300204,662.856
1300205,634.29
1300206,617.877
1300207,602.2
1300208,602.66
1300209,629.952
1300210,684.395
1300211,780.667
1300212,835.455
1300213,843.12
1300214,849.347
1300215,854.591
1300216,858.24
1300217,847.689
1300218,839.081
1300219,834.937
1300220,838.979
1300221,875.601
1300222,935.125
1300223,936.89
1300300,917.528
1300301,882.698
1300302,853.217
1300303,777.838
1300304,724.998
1300305,693.295
1300306,674.633
1300307,654.808
1300308,656.726
1300309,682.027
1300310,734.065
1300311,828.789
1300312,882.699
1300313,885.788
1300314,882.682
1300315,877.276
1300316,872.831
1300317,856.093
1300318,856.004
1300319,847.87
1300320,848.072
1300321,886.313
1300322,940.563
1300323,937.865
1300400,909.396
1300401,875.431
1300402,842.299
1300403,766.452
1300404,708.579
1300405,669.269
1300406,650.176
1300407,638.467
1300408,634.539
1300409,647.886
1300410,698.136
1300411,786.462
1300412,841.991
1300413,840.082
1300414,846.376
1300415,841.54
1300416,841.256
1300417,829.771
1300418,820.671
1300419,813.835
1300420,812.553
1300421,840.654
1300422,869.365
1300423,858.065
1300500,830.205
1300501,800.372
1300502,776.745
1300503,715.689
1300504,654.454
1300505,602.958
1300506,584.191
1300507,571.044
1300508,567.689
1300509,573.962
1300510,596.031
1300511,635.406
1300512,685.963
1300513,733.312
1300514,759.021
1300515,763.337
1300516,759.371
1300517,742.925
1300518,725.336
1300519,720.951
1300520,731.658
1300521,778.558
1300522,844.807
1300523,838.614
1300600,810.981
1300601,786.406
1300602,765.384
1300603,705.708
1300604,654.739
1300605,617.329
1300606,592.956
1300607,580.821
1300608,575.145
1300609,574.491
1300610,587.278
1300611,619.488
1300612,663.58
1300613,709.345
1300614,742.236
1300615,753.147
1300616,755.387
1300617,753.44
1300618,742.652
1300619,730.327
1300620,737.29
1300621,780.783
1300622,825.464
1300623,812.875
1300700,780.642
1300701,747.1
1300702,709.379
1300703,647.601
1300704,602.752
1300705,573.505
1300706,555.678
1300707,552.499
1300708,556.86
1300709,576.726
1300710,633.014
1300711,734.471
1300712,794.767
1300713,801.317
1300714,807.094
1300715,807.659
1300716,800.493
1300717,783.215
1300718,773.793
1300719,765.913
1300720,776.878
1300721,814.141
1300722,878.566
1300723,875.675
1300800,855.466
1300801,820.693
1300802,789.782
1300803,718.26
1300804,664.085
1300805,630.163
1300806,610.259
1300807,598.869
1300808,595.251
1300809,611.055
1300810,664.911
1300811,764.15
1300812,814.027
1300813,805.125
1300814,792.844
1300815,784.826
1300816,773.96
1300817,758.572
1300818,751.142
1300819,744.582
1300820,753.205
1300821,787.679
1300822,844.467
1300823,840.054
1300900,814.934
1300901,782.181
1300902,745.762
1300903,670.053
1300904,620.19
1300905,588.5
1300906,568.321
1300907,563.521
1300908,563.204
1300909,582.421
1300910,636.861
1300911,740.506
1300912,794.412
1300913,784.06
1300914,783.279
1300915,783.301
1300916,793.139
1300917,784.512
1300918,782.876
1300919,777.561
1300920,770.591
1300921,801.267
1300922,838.57
1300923,827.201
1301000,801.452
1301001,765.397
1301002,727.659
1301003,654.54
1301004,604.943
1301005,561.056
1301006,542.821
1301007,550.424
1301008,533.413
1301009,552.709
1301010,614.483
1301011,710.81
1301012,773.449
1301013,765.042
1301014,758.603
1301015,755.923
1301016,754.625
1301017,748.661
1301018,734.746
1301019,725.27
1301020,732.149
1301021,770.291
1301022,824.982
1301023,823.414
1301100,800.283
1301101,776.363
1301102,736.783
1301103,664.404
1301104,615.921
1301105,585.581
1301106,568.356
1301107,559.032
1301108,558.351
1301109,571.241
1301110,621.335
1301111,717.274
1301112,772.236
1301113,771.693
1301114,773.133
1301115,775.838
1301116,769.596
1301117,766.501
1301118,761.089
1301119,753.535
1301120,756.953
1301121,777.895
1301122,812.2
1301123,799.457
1301200,767.457
1301201,739.474
1301202,712.768
1301203,645.532
1301204,593.776
1301205,552.245
1301206,528.412
1301207,517.617
1301208,512.405
1301209,517.949
1301210,535.543
1301211,575.515
1301212,631.745
1301213,679.25
1301214,709.865
1301215,716.557
1301216,711.293
1301217,701.047
1301218,682.529
1301219,674.55
1301220,681.103
1301221,716.585
1301222,768.257
1301223,760.877
1301300,724.843
1301301,694.821
1301302,676.953
1301303,618.797
1301304,568.396
1301305,525.969
1301306,505.055
1301307,493.89
1301308,488.746
1301309,490.418
1301310,508.779
1301311,543.306
1301312,594.877
1301313,647.594
1301314,681.25
1301315,696.385
1301316,697.681
1301317,695.888
1301318,684.508
1301319,676.861
1301320,684.216
1301321,720.789
1301322,765.692
1301323,755.015
1301400,719.333
1301401,688.897
1301402,653.407
1301403,591.092
1301404,545.315
1301405,517.201
1301406,501.162
1301407,496.411
1301408,499.078
1301409,513.374
1301410,570.755
1301411,670.174
1301412,734.108
1301413,734.096
1301414,732.699
1301415,732.136
1301416,727.021
1301417,713.1
1301418,706.789
1301419,703.204
1301420,711.623
1301421,751.671
1301422,814.756
1301423,815.851
1301500,794.431
1301501,763.657
1301502,732.214
1301503,665.858
1301504,619.249
1301505,590.598
1301506,576.625
1301507,572.119
1301508,572.784
1301509,593.956
1301510,649.961
1301511,743.843
1301512,801.632
1301513,797.524
1301514,800.297
1301515,804.785
1301516,804.23
1301517,796.843
1301518,791.508
1301519,782.955
1301520,787.753
1301521,814.998
1301522,871.67
1301523,872.322
1301600,847.748
1301601,813.171
1301602,780.985
1301603,708.475
1301604,656.521
1301605,625.126
1301606,604.117
1301607,594.307
1301608,594.157
1301609,612.359
1301610,666.56
1301611,762.635
1301612,822.933
1301613,826.746
1301614,831.277
1301615,837.955
1301616,841.782
1301617,832.962
1301618,826.241
1301619,816.514
1301620,809.594
1301621,821.511
1301622,870.765
1301623,867.466
1301700,843.221
1301701,807.881
1301702,773.607
1301703,701.443
1301704,649.316
1301705,616.132
1301706,600.521
1301707,591.182
1301708,589.575
1301709,605.764
1301710,661.79
1301711,756.744
1301712,812.596
1301713,816.75
1301714,815.461
1301715,822.071
1301716,828.664
1301717,820.467
1301718,804.698
1301719,799.139
1301720,811.201
1301721,839.111
1301722,895.897
1301723,901.863
1301800,882.389
1301801,854.48
1301802,826.007
1301803,758.565
1301804,709.281
1301805,678.512
1301806,663.783
1301807,657.565
1301808,657.187
1301809,675.12
1301810,728.961
1301811,816.269
1301812,873.258
1301813,864.256
1301814,852.953
1301815,846.685
1301816,840.145
1301817,823.68
1301818,814.645
1301819,805.772
1301820,807.927
1301821,823.632
1301822,879.523
1301823,880.834
1301900,861.023
1301901,841.128
1301902,821.785
1301903,761.247
1301904,707.409
1301905,663.115
1301906,637.777
1301907,625.096
1301908,612.853
1301909,608.276
1301910,614.549
1301911,644.765
1301912,696.832
1301913,742.928
1301914,765.902
1301915,764.921
1301916,767.816
1301917,757.832
1301918,744.592
1301919,733.801
1301920,738.269
1301921,763.083
1301922,815.259
1301923,803.27
1302000,770.774
1302001,740.908
1302002,714.969
1302003,655.625
1302004,604.453
1302005,565.022
1302006,542.441
1302007,531.381
1302008,529.185
1302009,533.46
1302010,554.133
1302011,585.124
1302012,634.031
1302013,685.964
1302014,723.283
1302015,734.983
1302016,735.698
1302017,716.497
1302018,700.201
1302019,707.612
1302020,730.984
1302021,771.203
1302022,834.53
1302023,829.077
1302100,797.397
1302101,769.897
1302102,746.288
1302103,692.154
1302104,644.984
1302105,616.55
1302106,599.827
1302107,598.252
1302108,598.824
1302109,613.291
1302110,660.552
1302111,731.113
1302112,800.949
1302113,832.923
1302114,850.233
1302115,852.028
1302116,845.074
1302117,830.765
1302118,832.899
1302119,826.69
1302120,819.073
1302121,839.761
1302122,884.069
1302123,878.301
1302200,850.5
1302201,820.963
1302202,789.6
1302203,721.506
1302204,673.551
1302205,642.326
1302206,625.542
1302207,620.322
1302208,621.895
1302209,637.944
1302210,695.396
1302211,792.071
1302212,837.953
1302213,839.786
1302214,833.435
1302215,835.928
1302216,840.289
1302217,830.722
1302218,829.371
1302219,823.435
1302220,823.735
1302221,833.825
1302222,885.471
1302223,891.942
1302300,870.501
1302301,844.539
1302302,818.217
1302303,756.489
1302304,707.498
1302305,690.637
1302306,676.39
1302307,669.813
1302308,672.739
1302309,690.47
1302310,737.866
1302311,832.67
1302312,884.904
1302313,880.727
1302314,874.28
1302315,869.678
1302316,869.477
1302317,857.632
1302318,849.66
1302319,843.308
1302320,847.838
1302321,867.622
1302322,928.049
1302323,933.09
1302400,909.743
1302401,884.533
1302402,857.84
1302403,795.649
1302404,748.623
1302405,722.104
1302406,706.103
1302407,700.136
1302408,703.07
1302409,722.846
1302410,777.962
1302411,881.129
1302412,928.166
1302413,922.875
1302414,911.857
1302415,905.19
1302416,893.591
1302417,873.533
1302418,865.111
1302419,851.703
1302420,854.483
1302421,876.598
1302422,929.096
1302423,933.369
1302500,910.897
1302501,885.489
1302502,858.35
1302503,786.587
1302504,737.279
1302505,708.317
1302506,691.395
1302507,681.742
1302508,682.4
1302509,696.226
1302510,747.393
1302511,840.334
1302512,889.702
1302513,891.377
1302514,887.156
1302515,875.58
1302516,867.713
1302517,848.101
1302518,834.277
