Resilience,Size,Restoration_time
6136247066024225e-26,8242295734817162e-28,0
6133404895081185e-26,7958078640513122e-28,0
6301092980720568e-26,8242295734817162e-28,0
6480149750132114e-26,8526512829121202e-28,0
6329514690150972e-26,22737367544323206e-29,0
3629452294262592e-26,19895196601282805e-29,0
3325340003357269e-26,3694822225952521e-28,0
6565414878423326e-26,8526512829121202e-28,0
6832578947069123e-26,9663381206337363e-28,0
610214101470774e-25,9663381206337363e-28,0
6141931407910306e-26,8810729923425242e-28,0
6139089236967266e-26,8526512829121202e-28,0
6431832844100427e-26,8526512829121202e-28,0
3257127900724299e-26,3126388037344441e-28,0
616751094639767e-25,22737367544323206e-29,0
3657874003692996e-26,3694822225952521e-28,0
6690470399917103e-26,8526512829121202e-29,0
6136247066024225e-26,8242295734817162e-28,0
701732005836675e-25,9379164112033322e-28,0
6139089236967266e-26,8526512829121202e-28,0
6224354365258478e-26,8526512829121202e-28,0
3399236447876319e-26,3694822225952521e-28,0
46554760047001764e-27,3694822225952521e-28,0
6124878382252064e-26,5684341886080801e-28,0
6036771083017811e-26,3126388037344441e-28,0
6494360604847316e-26,8810729923425242e-28,0
6136247066024225e-26,11368683772161603e-29,0
6136247066024225e-26,8242295734817162e-28,0
6130562724138144e-26,7673861546209082e-28,0
6139089236967266e-26,8526512829121202e-28,0
6116351869422942e-26,6252776074688882e-28,0
6224354365258478e-26,8526512829121202e-28,0
6346567715809215e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6929212759132497e-26,22737367544323206e-29,0
7793232725816779e-26,3410605131648481e-28,0
6139089236967266e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
630961949354969e-25,8526512829121202e-28,0
6284039955062326e-26,7673861546209082e-28,0
6127720553195104e-26,7389644451905042e-28,0
6929212759132497e-26,7958078640513122e-28,0
6224354365258478e-26,8526512829121202e-28,0
6212985681486316e-26,7958078640513122e-28,0
6139089236967266e-26,8526512829121202e-28,0
21725554688600823e-26,3694822225952521e-28,0
24215296434704214e-27,-19895196601282805e-29,0
37343284020607825e-26,4831690603168681e-28,0
6136247066024225e-26,8242295734817162e-28,0
6349409886752255e-26,7389644451905042e-28,0
7418066161335446e-26,8526512829121202e-28,0
6090772330935579e-26,8526512829121202e-28,0
6372147254296578e-26,7958078640513122e-28,0
6127720553195104e-26,7389644451905042e-28,0
6224354365258478e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6133404895081185e-26,7958078640513122e-28,0
23959501049830578e-27,3126388037344441e-28,0
6224354365258478e-26,8526512829121202e-28,0
262332378042629e-25,0,0
602824457018869e-25,22737367544323206e-29,0
6139089236967266e-26,8526512829121202e-28,0
1801936377887614e-25,28421709430404007e-29,0
7133849067031406e-26,-28421709430404007e-29,0
6136247066024225e-26,8242295734817162e-28,0
6176037459226791e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6480149750132114e-26,8526512829121202e-28,0
6301092980720568e-26,8242295734817162e-28,0
40245140553452075e-27,11368683772161603e-29,0
6139089236967266e-26,8526512829121202e-28,0
6224354365258478e-26,8526512829121202e-28,0
6087930159992538e-26,8242295734817162e-28,0
6224354365258478e-26,8526512829121202e-28,0
6969003152335063e-26,6252776074688882e-28,0
6821210263296962e-26,8526512829121202e-28,0
6318146006378811e-26,3694822225952521e-28,0
6394884621840902e-26,8526512829121202e-28,0
6201616997714154e-26,7958078640513122e-28,0
6372147254296578e-26,6252776074688882e-28,0
6130562724138144e-26,7673861546209082e-28,0
6218670023372397e-26,8242295734817162e-28,0
6139089236967266e-26,8526512829121202e-28,0
36209257814334705e-27,3694822225952521e-28,0
6139089236967266e-26,8526512829121202e-28,0
7247535904753022e-26,8526512829121202e-28,0
10885514711844735e-27,-5115907697472721e-28,0
6136247066024225e-26,8242295734817162e-28,0
6133404895081185e-26,7958078640513122e-28,0
6139089236967266e-26,8526512829121202e-28,0
6718892109347507e-26,7389644451905042e-28,0
617319528828375e-25,8242295734817162e-28,0
6644995664828457e-26,7958078640513122e-28,0
6090772330935579e-26,8526512829121202e-28,0
4803268893738277e-26,28421709430404007e-29,0
6224354365258478e-26,8526512829121202e-28,0
4175149115326349e-26,3694822225952521e-28,0
6139089236967266e-26,8526512829121202e-28,0
6070877134334296e-26,17053025658242404e-29,0
7150902092689648e-26,7389644451905042e-28,0
6224354365258478e-26,8526512829121202e-28,0
4098410499864258e-26,3410605131648481e-28,0
6818368092353921e-26,8242295734817162e-28,0
6127720553195104e-26,7389644451905042e-28,0
6116351869422942e-26,6252776074688882e-28,0
630961949354969e-25,8526512829121202e-28,0
6212985681486316e-26,7389644451905042e-28,0
7247535904753022e-26,7958078640513122e-28,0
4914113560516853e-26,3694822225952521e-28,0
6139089236967266e-26,8526512829121202e-28,0
6565414878423326e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6090772330935579e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6136247066024225e-26,8242295734817162e-28,0
6130562724138144e-26,7673861546209082e-28,0
6136247066024225e-26,8242295734817162e-28,0
6519940143334679e-26,8810729923425242e-28,0
6650680006714538e-26,8526512829121202e-28,0
11294787327642553e-26,25579538487363607e-29,0
6247091732802801e-26,9663381206337363e-28,0
4581579560181126e-26,3694822225952521e-28,0
6139089236967266e-26,8526512829121202e-28,0
6536993168992922e-26,9663381206337363e-28,0
6906475391588174e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
376019215764245e-25,8526512829121202e-29,0
6491518433904275e-26,9663381206337363e-28,0
6122036211309023e-26,17053025658242404e-29,0
6227196536201518e-26,8810729923425242e-28,0
6821210263296962e-26,8526512829121202e-28,0
6090772330935579e-26,8526512829121202e-28,0
7503331289626658e-26,8526512829121202e-28,0
6423306331271306e-26,7389644451905042e-28,0
6136247066024225e-26,8242295734817162e-28,0
3373656909388956e-26,3410605131648481e-28,0
6139089236967266e-26,8526512829121202e-28,0
35356606531422585e-27,3694822225952521e-28,0
6139089236967266e-26,8526512829121202e-28,0
48117954065673985e-27,25579538487363607e-29,0
2950173438875936e-26,-3979039320256561e-28,0
6224354365258478e-26,8526512829121202e-28,0
6346567715809215e-26,8526512829121202e-28,0
6258460416574962e-26,17053025658242404e-29,0
6176037459226791e-26,8526512829121202e-28,0
5940137270954438e-26,-28421709430404007e-29,0
6212985681486316e-26,7958078640513122e-28,0
6139089236967266e-26,8526512829121202e-28,0
638351593806874e-25,8242295734817162e-28,0
6130562724138144e-26,7673861546209082e-28,0
3879563337250147e-26,4831690603168681e-28,0
6565414878423326e-26,8526512829121202e-28,0
6133404895081185e-26,7958078640513122e-28,0
6224354365258478e-26,8526512829121202e-28,0
6650680006714538e-26,8526512829121202e-28,0
6224354365258478e-26,8526512829121202e-28,0
6039613253960852e-26,3410605131648481e-28,0
6275513442233205e-26,7389644451905042e-28,0
6116351869422942e-26,6252776074688882e-28,0
6139089236967266e-26,8526512829121202e-28,0
6821210263296962e-26,8526512829121202e-28,0
40245140553452075e-27,-3979039320256561e-28,0
6139089236967266e-26,8526512829121202e-28,0
6127720553195104e-26,7389644451905042e-28,0
6150457920739427e-26,9663381206337363e-28,0
6480149750132114e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6122036211309023e-26,3410605131648481e-28,0
6650680006714538e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6176037459226791e-26,3694822225952521e-28,0
6897948878759053e-26,7673861546209082e-28,0
6221512194315437e-26,8242295734817162e-28,0
659952092973981e-25,-2842170943040401e-29,0
6218670023372397e-26,7958078640513122e-28,0
6610889613511972e-26,7958078640513122e-28,0
6139089236967266e-26,8526512829121202e-28,0
673594513500575e-25,8526512829121202e-28,0
6218670023372397e-26,7958078640513122e-28,0
6139089236967266e-26,8526512829121202e-28,0
6991740519879386e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6349409886752255e-26,22737367544323206e-29,0
6139089236967266e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6039613253960852e-26,3410605131648481e-28,0
6212985681486316e-26,22737367544323206e-29,0
6397726792783942e-26,8810729923425242e-28,0
3785771696129814e-26,-19895196601282805e-29,0
6139089236967266e-26,8526512829121202e-28,0
630961949354969e-25,8526512829121202e-28,0
6221512194315437e-26,8242295734817162e-28,0
6536993168992922e-26,9663381206337363e-28,0
6224354365258478e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
26641.05495558028,25579538487363607e-29,59580
6127720553195104e-26,7389644451905042e-28,0
6349409886752255e-26,8810729923425242e-28,0
6127720553195104e-26,7389644451905042e-28,0
6139089236967266e-26,8526512829121202e-28,0
7247535904753022e-26,8526512829121202e-28,0
6394884621840902e-26,8526512829121202e-28,0
716227077646181e-25,8526512829121202e-28,0
51727511163335294e-27,3694822225952521e-28,0
7332801033044234e-26,8526512829121202e-28,0
347313289239537e-25,3694822225952521e-28,0
6906475391588174e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6218670023372397e-26,7958078640513122e-28,0
6158984433568548e-26,7673861546209082e-28,0
6630784810113255e-26,8242295734817162e-28,0
6019718057359569e-26,-17053025658242404e-29,0
6139089236967266e-26,8526512829121202e-28,0
6261302587518003e-26,8526512829121202e-28,0
4430944500199985e-26,3410605131648481e-28,0
14844658835500013e-26,28421709430404007e-29,0
6212985681486316e-26,7389644451905042e-28,0
6488676262961235e-26,9663381206337363e-28,0
6127720553195104e-26,7389644451905042e-28,0
6224354365258478e-26,8526512829121202e-28,0
6176037459226791e-26,8526512829121202e-28,0
6176037459226791e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
3362288225616794e-26,3694822225952521e-28,0
6076561476220377e-26,22737367544323206e-29,0
6136247066024225e-26,8242295734817162e-28,0
6565414878423326e-26,8526512829121202e-28,0
15074874681886286e-26,3694822225952521e-28,0
6141931407910306e-26,8810729923425242e-28,0
6991740519879386e-26,3126388037344441e-28,0
610214101470774e-25,9663381206337363e-28,0
7310063665499911e-26,7389644451905042e-28,0
11860379345307592e-26,3694822225952521e-28,0
6224354365258478e-26,8526512829121202e-28,0
588329385209363e-25,-28421709430404007e-29,0
6215827852429356e-26,7673861546209082e-28,0
6943423613847699e-26,8526512829121202e-28,0
6247091732802801e-26,9663381206337363e-28,0
6480149750132114e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6215827852429356e-26,7958078640513122e-28,0
610214101470774e-25,-3694822225952521e-28,0
3362288225616794e-26,3694822225952521e-28,0
6136247066024225e-26,8242295734817162e-28,0
6261302587518003e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6141931407910306e-26,8810729923425242e-28,0
6565414878423326e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
624140739091672e-25,6252776074688882e-28,0
6301092980720568e-26,8242295734817162e-28,0
3944933268940076e-26,25579538487363607e-29,0
6184563972055912e-26,5684341886080802e-29,0
4766320671478752e-26,3694822225952521e-28,0
6261302587518003e-26,8526512829121202e-28,0
6264144758461043e-26,6252776074688882e-28,0
