Resilience,Size,Restoration_time
0,0,0
179.9999999999991,179.9999999999991,10
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1768.0000000000316,478.0000000000022,190
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
388,388,10
0,0,0
236.00000000001626,59.00000000000409,190
0,0,0
0,0,0
856.0000000000125,214.00000000000642,190
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2800.0000000000914,492.99999999999534,550
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
190.0000000002069,38.00000000004138,250
0,0,0
288.0000000001721,47.99999999999966,310
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
115.99999999997658,58.000000000000625,70
0,0,0
76.00000000001626,37.999999999998636,70
0,0,0
0,0,0
165.0000000001056,33.00000000002427,250
1344.0000000024172,27.999999999995453,2830
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
76.00000000000347,38.000000000001734,70
0,0,0
0,0,0
203.00000000000028,203.00000000000028,10
0,0,0
0,0,0
0,0,0
0,0,0
74.99999999999997,74.99999999999997,10
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
258.0000000000017,258.0000000000017,10
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
290.0000000000081,58.000000000007844,250
0,0,0
76.00000000000404,37.99999999999454,70
0,0,0
2296.0000000036603,28.00000000000429,4870
0,0,0
0,0,0
