Resilience,Size,Restoration_time
0,0,0
150.00000000000176,180.0000000000019,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1210.33333333334,437.99999999998795,120
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
323.3333333333333,388,0
0,0,0
167.16666666668502,59.0000000000058,120
0,0,0
0,0,0
606.3333333333342,213.99999999999505,120
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2331.433333333302,492.9999999999579,480
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
145.6666666666826,37.99999999999034,180
0,0,0
223.6666666666826,48.00000000000111,240
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
48.33333333332737,57.999999999991815,0
0,0,0
31.666666666716377,38.00000000004752,0
0,0,0
0,0,0
118.16666666668316,33.00000000000023,180
1311.3333333336996,28.000000000000853,2760
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
31.666666666617004,37.99999999994816,0
0,0,0
0,0,0
169.16666666666708,203.00000000000028,0
0,0,0
0,0,0
0,0,0
0,0,0
62.50000000000003,75.00000000000003,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
215.00000000000406,258.00000000000375,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
222.33333333329503,57.99999999998633,180
0,0,0
31.66666666665727,37.99999999999068,0
0,0,0
2263.333333332785,27.999999999989086,4800
0,0,0
0,0,0
0,0,0
16.666666666667183,19.999999999999943,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2683.766666666658,623,360
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
152.1666666666734,143.00000000000455,60
2353.833333333328,183.00000000000614,2760
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.4999999999977831,0,10
0,0,0
0,0,0
176.83333333327457,83.00000000000512,120
543.4999999999814,192.99999999999278,120
1123.9333333333284,358.00000000000193,180
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
576.4999999999795,244.99999999998215,180
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
629.8333333333345,192.99999999999682,180
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
