Resilience,Size,Restoration_time
2502.333154816015,0,790
0,0,0
431.3331548161162,0,790
2125.7331548159254,0,790
1854.5331548160375,0,790
253.92387481586883,0,370
1492.3331548160427,0,790
488.12387481601104,0,370
0,0,0
0,0,0
0,0,0
462.3238748161122,0,370
0,0,0
0,0,0
0,0,0
1224.1331548160995,0,790
478.70721676255835,0,370
2535.7331548161756,0,790
0,0,0
0,0,0
0,0,0
2086.533154816254,0,790
1743.664176898893,0,370
0,0,0
0,0,0
83.97317245447033,0,370
0,0,0
3232.3331548160113,0,790
0,0,0
0,0,0
0,0,0
145.52387481598493,0,370
0,0,0
2523.123874815933,0,370
0,0,0
1660.3331548153965,0,790
0,0,0
310.4,310.4,10
0,0,0
0,0,0
118.4380712960114,0,310
0,0,0
0,0,0
2269.5238748160245,0,370
2768.5886727412144,0,370
0,0,0
1123.1238748161018,0,370
1798.7238748159557,0,370
0,0,0
0,0,0
0,0,0
2305.0647642738422,0,370
0,0,0
35.52387481601568,0,370
4075.922868944823,0,1630
2306.3331548159185,0,790
0,0,0
2116.9150042040046,0,370
1162.333154816123,0,790
0,0,0
1203.5238748158963,0,370
2775.533154816362,0,790
980.1238748159911,0,370
0,0,0
1037.1238748161354,0,370
542.3238748160265,0,370
3715.3331548158676,0,790
2851.5331548158565,0,790
2703.533154815989,0,790
0,0,0
241.52387481592575,0,370
0,0,0
879.533154815808,0,790
0,0,0
0,0,0
0,0,0
1209.5238748160223,0,370
0,0,0
0,0,0
0,0,0
4227.133154816092,0,790
0,0,0
0,0,0
1545.7238748159425,0,370
0,0,0
654.6380712960475,0,310
0,0,0
0,0,0
0,0,0
0,0,0
1278.3238748160172,0,370
2852.3331548159567,0,790
2703.5331548160684,0,790
2180.133154816113,0,1630
2184.5238748162055,0,370
0,0,0
1497.333154816129,0,790
0,0,0
0,0,0
0,0,0
1359.1238748160044,0,370
0,0,0
0,0,0
569.9238748161824,0,370
2478.7331548163384,0,1630
3638.7484807828205,0,1630
25,25,10
0,0,0
0,0,0
0,0,0
887.7331548160939,0,790
0,0,0
513.1238748159191,0,370
1192.7238748159675,0,370
661.333154815939,0,790
1758.5331548159895,0,790
2133.1238748161195,0,370
1837.1420693865884,0,1630
0,0,0
0,0,0
178.72387481589098,0,370
0,0,0
824.5331548143254,0,790
0,0,0
972.1549591974986,0,370
1530.7238748159643,0,370
5737.613474816083,0,2950
754.9238748159032,0,370
1170.3331548160543,0,790
0,0,0
0,0,0
2522.8298441363922,0,790
1512.3331548160859,0,790
0,0,0
3116.3331548160954,0,790
1154.5238748160632,0,370
519.9238748160737,0,370
3101.191854947613,0,1630
0,0,0
0,0,0
2226.3238748163903,0,370
436.25747480322764,0,370
0,0,0
0,0,0
822.0053074145745,0,370
2670.333154816046,0,790
0,0,0
459.9238748159216,0,370
0,0,0
0,0,0
2168.73315481602,0,790
2665.9331548160512,0,790
0,0,0
1317.333154816257,0,790
3118.988534350279,0,790
107.92387481611388,0,370
1747.933154815649,0,790
83.12387481587075,0,370
2071.32387481594,0,370
0,0,0
0,0,0
0,0,0
730.3238748159238,0,370
518.7178839654824,0,790
1224.1331548160779,0,790
0,0,0
2184.690540619162,0,370
657.3331548160505,0,790
2799.923874816007,0,370
0,0,0
0,0,0
2226.32387481514,0,370
243.79303369174133,0,370
927.6619482794652,0,370
279.219057490847,0,790
1183.1238748159294,0,370
293.7331548159965,0,790
2719.733154816101,0,1630
0,0,0
0,0,0
1993.12387481612,0,370
3068.7331548141174,0,790
2253.9331548160317,0,790
1261.5238748158988,0,370
0,0,0
162.323874815872,0,370
0,0,0
2772.333154816073,0,790
1682.9331548160876,0,790
0,0,0
33.22138828341008,0,370
0,0,0
1459.1238748158394,0,370
0,0,0
329.12387481609153,0,370
0,0,0
953.1238748162814,0,370
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2557.0574941957066,0,790
832.3238748160375,0,370
0,0,0
1942.723874815964,0,370
2949.133154816072,0,790
0,0,0
0,0,0
0,0,0
0,0,0
2244.0735264055943,0,370
0,0,0
0,0,0
1210.5331548159484,0,790
276.03807129609146,0,310
761.5238748159381,0,370
3745.533154816277,0,1630
0,0,0
0,0,0
1529.1238748158357,0,370
0,0,0
0,0,0
519.6380712960494,0,310
0,0,0
0,0,0
0,0,0
675.1238748160577,0,370
0,0,0
0,0,0
0,0,0
1867.2852211051536,0,370
0,0,0
2033.1238748160802,0,370
0,0,0
431.3331548160325,0,790
909.1238748160586,0,370
186.52387481602403,0,370
230.12387481597017,0,370
0,0,0
0,0,0
0,0,0
1131.4975509435956,0,790
513.7331548160157,0,790
0,0,0
1753.523874816558,0,370
0,0,0
2538.882003267201,0,790
820.5238748161075,0,370
0,0,0
0,0,0
12.23807129604404,0,310
2515.3331548160795,0,790
0,0,0
1054.133154817132,0,790
1173.5238748161667,0,370
1036.4474166583793,0,370
1782.704219967121,0,1630
0,0,0
0,0,0
3633.533154816158,0,1390
2193.12387481584,0,370
1044.1331548160285,0,790
2111.8333417704257,0,1630
18.438071296006626,0,310
0,0,0
0,0,0
