Resilience,Size,Restoration_time
0,0,0
127.59999999999934,127.59999999999934,10
0,0,0
0,0,0
479.1000000003111,0,310
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
590.6000000001113,0,370
0,0,0
0,0,0
0,0,0
519.1000000000531,0,310
0,0,0
0,0,0
45.645397454994395,42.79999999999757,130
0,0,0
0,0,0
273.0000000000089,0,310
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
203.00000000001552,0,310
0,0,0
292.1000000000171,0,370
0,0,0
0,0,0
0,0,0
1146.4000000001208,368.6,310
112.49999999993332,0,310
0,0,0
531.6000000000489,0,310
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
198.39999999995285,0,310
0,0,0
135.5000000000441,0,310
0,0,0
0,0,0
0,0,0
586.6000000000187,0,310
0,0,0
0,0,0
0,0,0
0,0,0
100.50000000000784,0,310
0,0,0
0,0,0
0,0,0
0,0,0
1108.0000000000168,57.80000000000007,490
0,0,0
0,0,0
0,0,0
100.50000000005852,0,310
13.29999999988138,0,310
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
260.5000000001219,0,310
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
130.50000000005173,0,310
1525.200000000103,0,2770
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
237.50000000012608,0,790
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
918.8000000000548,49.09999999999911,370
301.4000000003856,0,310
0,0,0
0,0,0
0,0,0
457.3999999999205,62.49999999999997,310
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
104.10000000000502,104.10000000000502,10
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
311.40000000013407,0,310
1855.299999998831,0,4800
0,0,0
0,0,0
0,0,0
7.500000000000028,7.500000000000028,10
0,0,0
1.300000000010641,0,310
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
130.80000000010295,0,310
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4899902705801651e-26,0,0
1482.0000000000643,187.80000000002292,370
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
415.97252867812176,0,370
0,0,0
0,0,0
0,0,0
14.099999999850297,0,310
0,0,0
0,0,0
0,0,0
0,0,0
2096.8000000000807,0,2770
0,0,0
0,0,0
0,0,0
175.50000000003217,0,310
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
138.0000000003048,0,310
56.30000000002224,0,310
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
11.499999999978371,0,370
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1597.8000000001025,0,790
0,0,0
0,0,0
0,0,0
127.99999999999977,0,310
0,0,0
0,0,0
0,0,0
248.00000000013674,0,310
0,0,0
0,0,0
69.4000000000226,0,250
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
520.7999999999977,0,310
0,0,0
0,0,0
506.60000000007506,0,310
0,0,0
40.80000000003852,0,310
0,0,0
0,0,0
0,0,0
0,0,0
253.00000000011732,0,310
0,0,0
0,0,0
0,0,0
25295321393059567e-27,0,0
56.30000000002738,0,310
0,0,0
0,0,0
0,0,0
68.00000000000034,0,310
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
359.1000000000512,0,310
0,0,0
1308.8000000001928,0,2770
0,0,0
0,0,0
0,0,0
0,0,0
1057.5999999999287,0,790
0,0,0
0,0,0
0,0,0
0,0,0
657.3999999999999,657.3999999999999,10
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
281.9999999999469,0,310
532.800000000084,0,310
0,0,0
0,0,0
0,0,0
520.7999999999449,0,310
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
198.39999999982786,0,310
539.7000000004409,0,310
0,0,0
0,0,0
0,0,0
0,0,0
429.1000000001065,0,310
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
303.62964890410575,0,310
138.30000000001053,0,310
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1038.2000000000733,0,790
0,0,0
301.4000000000278,0,310
0,0,0
0,0,0
0,0,0
198.400000000067,0,310
151.60000000006767,0,310
1364.3000000014717,0,2770
0,0,0
560.7999999997677,0,310
160.95440255386006,0,370
0,0,0
0,0,0
0,0,0
0,0,0
520.7999999999663,0,310
0,0,0
163.00000000002973,0,310
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
533.3000000000915,0,310
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1581.200000000029,0,2890
0,0,0
546.3999999999642,0,310
0,0,0
0,0,0
1391.400000000176,0,3130
706.800000000036,0,370
0,0,0
0,0,0
0,0,0
