Resilience,Size,Restoration_time
0,0,0
179.9999999999991,179.9999999999991,10
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1330.0000000000014,478.0000000000022,130
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
388,388,10
0,0,0
177.0000000000161,59.0000000000058,120
0,0,0
0,0,0
642.0000000000787,214.00000000000642,130
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2413.6000000001213,492.99999999999534,490
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
152.00000000004542,38.00000000004138,190
0,0,0
240.0000000000522,47.99999999999966,250
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
58.000000000000625,58.000000000000625,10
0,0,0
37.999999999998636,37.999999999998636,10
0,0,0
0,0,0
132.00000000004894,33.00000000002427,190
1316.0000000017294,27.999999999995453,2770
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
38.000000000001734,38.000000000001734,10
0,0,0
0,0,0
203.00000000000028,203.00000000000028,10
0,0,0
0,0,0
0,0,0
0,0,0
74.99999999999997,74.99999999999997,10
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
258.0000000000017,258.0000000000017,10
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
231.99999999998192,58.000000000007844,190
0,0,0
37.99999999999454,37.99999999999454,10
0,0,0
2267.9999999994498,27.999999999989086,4800
0,0,0
0,0,0
