Resilience,Size,Restoration_time
6039613253960852e-26,8242295734817162e-28,0
6133404895081185e-26,7958078640513122e-28,0
6252776074688882e-26,8242295734817162e-28,0
6480149750132114e-26,8526512829121202e-28,0
6329514690150972e-26,22737367544323206e-29,0
3629452294262592e-26,19895196601282805e-29,0
3325340003357269e-26,3694822225952521e-28,0
6468781066359952e-26,8526512829121202e-28,0
6784262041037437e-26,9663381206337363e-28,0
6150457920739427e-26,9663381206337363e-28,0
6141931407910306e-26,8810729923425242e-28,0
6090772330935579e-26,8526512829121202e-28,0
6480149750132114e-26,8526512829121202e-28,0
3257127900724299e-26,3126388037344441e-28,0
6070877134334296e-26,22737367544323206e-29,0
3657874003692996e-26,3694822225952521e-28,0
6690470399917103e-26,8526512829121202e-29,0
6087930159992538e-26,8242295734817162e-28,0
701732005836675e-25,9379164112033322e-28,0
6139089236967266e-26,8526512829121202e-28,0
6176037459226791e-26,8526512829121202e-28,0
3399236447876319e-26,3694822225952521e-28,0
46554760047001764e-27,3694822225952521e-28,0
6124878382252064e-26,5684341886080801e-28,0
6136247066024225e-26,8242295734817162e-28,0
6494360604847316e-26,8810729923425242e-28,0
6147615749796387e-26,11368683772161603e-29,0
6136247066024225e-26,8242295734817162e-28,0
6130562724138144e-26,7673861546209082e-28,0
6090772330935579e-26,8526512829121202e-28,0
6068034963391256e-26,6252776074688882e-28,0
6224354365258478e-26,8526512829121202e-28,0
6394884621840902e-26,8526512829121202e-28,0
6090772330935579e-26,8526512829121202e-28,0
6929212759132497e-26,22737367544323206e-29,0
7793232725816779e-26,3410605131648481e-28,0
6139089236967266e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6261302587518003e-26,8526512829121202e-28,0
6284039955062326e-26,7673861546209082e-28,0
6127720553195104e-26,7389644451905042e-28,0
688089585310081e-25,7958078640513122e-28,0
6224354365258478e-26,8526512829121202e-28,0
6212985681486316e-26,7958078640513122e-28,0
6090772330935579e-26,8526512829121202e-28,0
21742607714259066e-26,3694822225952521e-28,0
24215296434704214e-27,-19895196601282805e-29,0
