Resilience,Size,Restoration_time
6136247066024225e-26,8242295734817162e-28,0
6133404895081185e-26,7958078640513122e-28,0
6301092980720568e-26,8242295734817162e-28,0
6480149750132114e-26,8526512829121202e-28,0
6377831596182659e-26,22737367544323206e-29,0
2944489096989855e-26,-25579538487363607e-29,0
28137492336099967e-27,3126388037344441e-28,0
6565414878423326e-26,8526512829121202e-28,0
6832578947069123e-26,9663381206337363e-28,0
6150457920739427e-26,9663381206337363e-28,0
6141931407910306e-26,8810729923425242e-28,0
6139089236967266e-26,8526512829121202e-28,0
6480149750132114e-26,8526512829121202e-28,0
28137492336099967e-27,3126388037344441e-28,0
616751094639767e-25,22737367544323206e-29,0
30951241569709964e-27,3126388037344441e-28,0
6690470399917103e-26,8526512829121202e-29,0
6136247066024225e-26,8242295734817162e-28,0
701732005836675e-25,9379164112033322e-28,0
6139089236967266e-26,8526512829121202e-28,0
6224354365258478e-26,8526512829121202e-28,0
28762769943568856e-27,3126388037344441e-28,0
33026026358129457e-27,8526512829121202e-29,0
617319528828375e-25,5684341886080801e-28,0
6136247066024225e-26,8242295734817162e-28,0
6494360604847316e-26,8810729923425242e-28,0
13631051842821762e-26,3694822225952521e-28,0
6136247066024225e-26,8242295734817162e-28,0
6130562724138144e-26,7673861546209082e-28,0
6139089236967266e-26,8526512829121202e-28,0
6116351869422942e-26,6252776074688882e-28,0
6224354365258478e-26,8526512829121202e-28,0
6394884621840902e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6929212759132497e-26,22737367544323206e-29,0
659667875879677e-25,3126388037344441e-28,0
6139089236967266e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
1103.600000000049,338.00000000000523,180
6284039955062326e-26,7673861546209082e-28,0
6127720553195104e-26,7389644451905042e-28,0
6929212759132497e-26,7958078640513122e-28,0
6224354365258478e-26,8526512829121202e-28,0
6212985681486316e-26,7958078640513122e-28,0
6139089236967266e-26,8526512829121202e-28,0
1836610863392707e-25,19895196601282805e-29,0
36777692002942786e-27,4831690603168681e-28,0
29538682611018885e-26,3126388037344441e-28,0
6136247066024225e-26,8242295734817162e-28,0
6349409886752255e-26,7389644451905042e-28,0
7418066161335446e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6372147254296578e-26,7958078640513122e-28,0
6127720553195104e-26,7389644451905042e-28,0
6224354365258478e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6133404895081185e-26,7958078640513122e-28,0
15859313862165436e-27,-19895196601282805e-29,0
6224354365258478e-26,8526512829121202e-28,0
-3015543370565865e-26,-22737367544323206e-29,0
856.7174400000434,27.999999999999602,2760
6139089236967266e-26,8526512829121202e-28,0
1063824583980022e-25,17053025658242404e-29,0
1199.600000000035,361.99999999999096,180
6136247066024225e-26,8242295734817162e-28,0
6224354365258478e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6480149750132114e-26,8526512829121202e-28,0
6301092980720568e-26,8242295734817162e-28,0
3495870259939693e-26,3979039320256561e-28,0
6139089236967266e-26,8526512829121202e-28,0
6224354365258478e-26,8526512829121202e-28,0
6136247066024225e-26,8242295734817162e-28,0
6224354365258478e-26,8526512829121202e-28,0
6969003152335063e-26,6252776074688882e-28,0
6821210263296962e-26,8526512829121202e-28,0
5346123543858994e-26,3126388037344441e-28,0
6394884621840902e-26,8526512829121202e-28,0
6298250809777528e-26,7958078640513122e-28,0
168.00000000006665,168.00000000000364,0
6130562724138144e-26,7673861546209082e-28,0
6218670023372397e-26,8242295734817162e-28,0
6139089236967266e-26,8526512829121202e-28,0
27569058147491887e-27,19895196601282805e-29,0
6139089236967266e-26,8526512829121202e-28,0
7247535904753022e-26,8526512829121202e-28,0
38397729440475814e-27,5400124791776761e-28,0
6136247066024225e-26,8242295734817162e-28,0
6133404895081185e-26,7958078640513122e-28,0
6139089236967266e-26,8526512829121202e-28,0
6718892109347507e-26,7389644451905042e-28,0
6221512194315437e-26,8242295734817162e-28,0
6644995664828457e-26,7958078640513122e-28,0
6139089236967266e-26,8526512829121202e-28,0
4345679371908773e-26,3126388037344441e-28,0
6224354365258478e-26,8526512829121202e-28,0
3532818482199218e-26,3126388037344441e-28,0
6139089236967266e-26,8526512829121202e-28,0
6070877134334296e-26,17053025658242404e-29,0
7150902092689648e-26,7389644451905042e-28,0
6224354365258478e-26,8526512829121202e-28,0
38909320210223086e-27,8526512829121202e-29,0
6818368092353921e-26,8242295734817162e-28,0
6127720553195104e-26,7389644451905042e-28,0
6116351869422942e-26,6252776074688882e-28,0
630961949354969e-25,8526512829121202e-28,0
6212985681486316e-26,7389644451905042e-28,0
7247535904753022e-26,7958078640513122e-28,0
4149569576838985e-26,22737367544323206e-29,0
6139089236967266e-26,8526512829121202e-28,0
6565414878423326e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6136247066024225e-26,8242295734817162e-28,0
6130562724138144e-26,7673861546209082e-28,0
6136247066024225e-26,8242295734817162e-28,0
6568257049366366e-26,8810729923425242e-28,0
6650680006714538e-26,8526512829121202e-28,0
957243173616007e-25,4263256414560601e-28,0
6247091732802801e-26,9663381206337363e-28,0
33.00000000003217,32.999999999997755,0
6139089236967266e-26,8526512829121202e-28,0
6536993168992922e-26,9663381206337363e-28,0
6906475391588174e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
15802470443304628e-27,11368683772161603e-29,0
6491518433904275e-26,9663381206337363e-28,0
6122036211309023e-26,17053025658242404e-29,0
6227196536201518e-26,8810729923425242e-28,0
6821210263296962e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
7503331289626658e-26,8526512829121202e-28,0
99.00000000005177,32.99999999999628,120
6136247066024225e-26,8242295734817162e-28,0
27199575924896635e-27,22737367544323206e-29,0
6139089236967266e-26,8526512829121202e-28,0
3115019353572279e-26,19895196601282805e-29,0
6139089236967266e-26,8526512829121202e-28,0
4354205884737894e-26,0,0
31519675758318044e-27,19895196601282805e-29,0
6224354365258478e-26,8526512829121202e-28,0
935.600000000032,304.9999999999934,180
6258460416574962e-26,17053025658242404e-29,0
6224354365258478e-26,8526512829121202e-28,0
5940137270954438e-26,-28421709430404007e-29,0
6212985681486316e-26,7958078640513122e-28,0
6139089236967266e-26,8526512829121202e-28,0
638351593806874e-25,8242295734817162e-28,0
6130562724138144e-26,7673861546209082e-28,0
30325963962241076e-27,3126388037344441e-28,0
6565414878423326e-26,8526512829121202e-28,0
6133404895081185e-26,7958078640513122e-28,0
6224354365258478e-26,8526512829121202e-28,0
6650680006714538e-26,8526512829121202e-28,0
6224354365258478e-26,8526512829121202e-28,0
6087930159992538e-26,3410605131648481e-28,0
6275513442233205e-26,7389644451905042e-28,0
6116351869422942e-26,6252776074688882e-28,0
6139089236967266e-26,8526512829121202e-28,0
6821210263296962e-26,8526512829121202e-28,0
3490185918053612e-26,5115907697472721e-28,0
6139089236967266e-26,8526512829121202e-28,0
6127720553195104e-26,7389644451905042e-28,0
6150457920739427e-26,9663381206337363e-28,0
6480149750132114e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6122036211309023e-26,3410605131648481e-28,0
6650680006714538e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6161826604511589e-26,22737367544323206e-29,0
6897948878759053e-26,7673861546209082e-28,0
6221512194315437e-26,8242295734817162e-28,0
6647837835771497e-26,-2842170943040401e-29,0
6218670023372397e-26,7958078640513122e-28,0
176.0000000000556,142.99999999999406,60
6139089236967266e-26,8526512829121202e-28,0
673594513500575e-25,8526512829121202e-28,0
6218670023372397e-26,7958078640513122e-28,0
6139089236967266e-26,8526512829121202e-28,0
6991740519879386e-26,8526512829121202e-28,0
1069.00000000005,392.9999999999953,120
6139089236967266e-26,8526512829121202e-28,0
6349409886752255e-26,22737367544323206e-29,0
6139089236967266e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6087930159992538e-26,3410605131648481e-28,0
6212985681486316e-26,22737367544323206e-29,0
6397726792783942e-26,8810729923425242e-28,0
3268496584496461e-26,4831690603168681e-28,0
6139089236967266e-26,8526512829121202e-28,0
896.7174400000428,39.99999999999926,2820
6221512194315437e-26,8242295734817162e-28,0
6536993168992922e-26,9663381206337363e-28,0
6224354365258478e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
19882.84498964531,382.99999999999517,59340
6127720553195104e-26,7389644451905042e-28,0
6397726792783942e-26,8810729923425242e-28,0
6127720553195104e-26,7389644451905042e-28,0
6139089236967266e-26,8526512829121202e-28,0
7247535904753022e-26,8526512829121202e-28,0
6394884621840902e-26,8526512829121202e-28,0
716227077646181e-25,8526512829121202e-28,0
4376943252282217e-26,3126388037344441e-28,0
162.0000000000675,53.99999999999932,120
29388047551037744e-27,3126388037344441e-28,0
6906475391588174e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6218670023372397e-26,7958078640513122e-28,0
6207301339600235e-26,7673861546209082e-28,0
6630784810113255e-26,8242295734817162e-28,0
6019718057359569e-26,-17053025658242404e-29,0
6139089236967266e-26,8526512829121202e-28,0
630961949354969e-25,8526512829121202e-28,0
2219735506514553e-26,0,0
1255671122635249e-25,25579538487363607e-29,0
6212985681486316e-26,7389644451905042e-28,0
6536993168992922e-26,9663381206337363e-28,0
6127720553195104e-26,7389644451905042e-28,0
6224354365258478e-26,8526512829121202e-28,0
6224354365258478e-26,8526512829121202e-28,0
6224354365258478e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
811.1567912960032,188.00000000000188,540
6076561476220377e-26,22737367544323206e-29,0
6136247066024225e-26,8242295734817162e-28,0
6565414878423326e-26,8526512829121202e-28,0
8930101103032939e-26,19895196601282805e-29,0
6141931407910306e-26,8810729923425242e-28,0
7042899596854113e-26,8242295734817162e-28,0
6150457920739427e-26,9663381206337363e-28,0
7310063665499911e-26,7389644451905042e-28,0
10030021257989574e-26,3126388037344441e-28,0
6224354365258478e-26,8526512829121202e-28,0
588329385209363e-25,-28421709430404007e-29,0
6215827852429356e-26,7673861546209082e-28,0
6991740519879386e-26,8526512829121202e-28,0
6247091732802801e-26,9663381206337363e-28,0
6480149750132114e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6215827852429356e-26,7958078640513122e-28,0
610214101470774e-25,-3694822225952521e-28,0
2617639438540209e-26,19895196601282805e-29,0
6136247066024225e-26,8242295734817162e-28,0
630961949354969e-25,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
6141931407910306e-26,8810729923425242e-28,0
6565414878423326e-26,8526512829121202e-28,0
6139089236967266e-26,8526512829121202e-28,0
624140739091672e-25,6252776074688882e-28,0
6301092980720568e-26,8242295734817162e-28,0
3694822225952521e-26,4263256414560601e-28,0
6184563972055912e-26,5684341886080802e-29,0
3538502824085299e-26,22737367544323206e-29,0
630961949354969e-25,8526512829121202e-28,0
552.000000000051,137.99999999999963,180
26290081223123707e-27,11368683772161603e-29,0
6139089236967266e-26,8526512829121202e-28,0
283.0000000000251,282.99999999999545,0
