time,load_shed,perc_load_served,lines_out,gens_out
10,3126388037344441e-28,1,1,3
25,-11368683772161603e-29,1,1,2
40,-15631940186722204e-29,1,1,2
55,-15631940186722204e-29,1,1,2
70,-15631940186722204e-29,1,1,2
85,-15631940186722204e-29,1,1,2
100,-15631940186722204e-29,1,1,2
115,-15631940186722204e-29,1,1,2
130,-15631940186722204e-29,1,1,2
145,-15631940186722204e-29,1,1,2
160,-15631940186722204e-29,1,1,2
175,-9947598300641403e-29,1,1,2
190,-4263256414560601e-29,1,1,2
205,-4263256414560601e-29,1,1,2
220,-4263256414560601e-29,1,1,2
235,-4263256414560601e-29,1,1,2
250,-4263256414560601e-29,1,1,2
265,-4263256414560601e-29,1,1,2
280,-4263256414560601e-29,1,1,2
295,-4263256414560601e-29,1,1,2
310,-4263256414560601e-29,1,1,2
325,-4263256414560601e-29,1,1,2
340,-4263256414560601e-29,1,1,2
355,-4263256414560601e-29,1,1,2
370,-4263256414560601e-29,1,1,2
385,-4263256414560601e-29,1,1,2
400,-4263256414560601e-29,1,1,2
415,-4263256414560601e-29,1,1,2
430,-4263256414560601e-29,1,1,2
445,-4263256414560601e-29,1,1,2
460,-4263256414560601e-29,1,1,2
475,-4263256414560601e-29,1,1,2
490,-4263256414560601e-29,1,1,2
505,-4263256414560601e-29,1,1,2
520,-4263256414560601e-29,1,1,1
535,-4263256414560601e-29,1,1,1
550,-4263256414560601e-29,1,1,1
565,-4263256414560601e-29,1,1,1
580,-4263256414560601e-29,1,0,1
595,-4263256414560601e-29,1,0,0
