time,load_shed,perc_load_served,lines_out,gens_out
10,3126388037344441e-28,1,1,3
25,-11368683772161603e-29,1,1,2
40,-15631940186722204e-29,1,1,2
55,-15631940186722204e-29,1,1,2
70,-15631940186722204e-29,1,1,2
85,-15631940186722204e-29,1,1,2
100,-15631940186722204e-29,1,1,2
115,-15631940186722204e-29,1,1,2
130,-15631940186722204e-29,1,1,2
145,-15631940186722204e-29,1,1,2
160,-15631940186722204e-29,1,1,2
175,-15631940186722204e-29,1,1,2
190,-15631940186722204e-29,1,1,2
205,-15631940186722204e-29,1,1,2
220,-15631940186722204e-29,1,1,2
235,-15631940186722204e-29,1,1,2
250,-15631940186722204e-29,1,1,2
265,-15631940186722204e-29,1,1,2
280,-15631940186722204e-29,1,1,2
295,-15631940186722204e-29,1,1,2
310,-15631940186722204e-29,1,1,2
325,-15631940186722204e-29,1,1,2
340,-15631940186722204e-29,1,1,2
355,-15631940186722204e-29,1,1,2
370,-15631940186722204e-29,1,1,2
385,-15631940186722204e-29,1,1,2
400,-15631940186722204e-29,1,1,2
415,-15631940186722204e-29,1,1,2
430,-15631940186722204e-29,1,1,2
445,-15631940186722204e-29,1,1,2
460,-15631940186722204e-29,1,1,2
475,-15631940186722204e-29,1,1,2
490,-15631940186722204e-29,1,1,2
505,-15631940186722204e-29,1,1,2
520,-15631940186722204e-29,1,1,1
535,-15631940186722204e-29,1,1,1
550,-15631940186722204e-29,1,1,1
565,-15631940186722204e-29,1,1,1
580,-15631940186722204e-29,1,0,1
595,-15631940186722204e-29,1,0,0
