time,load_shed,perc_load_served,lines_out,gens_out
10,3126388037344441e-28,1,1,1
25,-11368683772161603e-29,1,1,1
40,-15631940186722204e-29,1,1,1
55,-15631940186722204e-29,1,1,1
70,-15631940186722204e-29,1,1,1
85,-15631940186722204e-29,1,1,1
100,-15631940186722204e-29,1,1,1
115,-15631940186722204e-29,1,1,1
130,-15631940186722204e-29,1,1,1
145,-15631940186722204e-29,1,1,1
160,-15631940186722204e-29,1,1,0
175,-15631940186722204e-29,1,1,0
190,-15631940186722204e-29,1,1,0
205,-15631940186722204e-29,1,1,0
220,-15631940186722204e-29,1,0,0
