time,load_shed,perc_load_served,lines_out,gens_out
10,5684341886080801e-28,1,1,1
60,0,1,1,1
120,0,1,1,1
180,0,1,1,1
240,0,1,1,1
300,0,1,1,1
360,0,1,1,1
420,0,1,1,1
480,0,1,1,1
540,0,1,1,1
600,0,1,1,1
660,0,1,1,1
720,0,1,1,1
780,0,1,1,1
840,0,1,1,1
900,0,1,1,1
960,0,1,1,1
1020,0,1,1,1
1080,0,1,1,1
1140,0,1,1,1
1200,0,1,1,1
1260,0,1,1,1
1320,0,1,1,1
1380,0,1,1,1
1440,0,1,1,1
1500,0,1,1,1
1560,0,1,1,1
1620,0,1,1,1
1680,0,1,1,1
1740,0,1,1,1
1800,0,1,1,1
1860,0,1,1,1
1920,0,1,1,1
1980,0,1,1,1
2040,0,1,1,1
2100,0,1,1,0
2160,0,1,1,0
2220,0,1,1,0
2280,22737367544323206e-29,1,0,0
2340,22737367544323206e-29,1,0,0
2400,22737367544323206e-29,1,0,0
2460,22737367544323206e-29,1,0,0
2520,22737367544323206e-29,1,0,0
2580,22737367544323206e-29,1,0,0
2640,22737367544323206e-29,1,0,0
2700,22737367544323206e-29,1,0,0
2760,22737367544323206e-29,1,0,0
2820,22737367544323206e-29,1,0,0
2880,22737367544323206e-29,1,0,0
2940,22737367544323206e-29,1,0,0
3000,22737367544323206e-29,1,0,0
3060,22737367544323206e-29,1,0,0
3120,22737367544323206e-29,1,0,0
3180,22737367544323206e-29,1,0,0
3240,22737367544323206e-29,1,0,0
3300,22737367544323206e-29,1,0,0
3360,22737367544323206e-29,1,0,0
3420,22737367544323206e-29,1,0,0
3480,22737367544323206e-29,1,0,0
3540,22737367544323206e-29,1,0,0
3600,22737367544323206e-29,1,0,0
3660,22737367544323206e-29,1,0,0
3720,22737367544323206e-29,1,0,0
3780,22737367544323206e-29,1,0,0
3840,22737367544323206e-29,1,0,0
3900,22737367544323206e-29,1,0,0
3960,22737367544323206e-29,1,0,0
4020,22737367544323206e-29,1,0,0
4080,22737367544323206e-29,1,0,0
4140,22737367544323206e-29,1,0,0
4200,22737367544323206e-29,1,0,0
4260,22737367544323206e-29,1,0,0
4320,22737367544323206e-29,1,0,0
4380,22737367544323206e-29,1,0,0
4440,-4263256414560601e-28,1,0,0
4500,-4263256414560601e-28,1,0,0
4560,-4263256414560601e-28,1,0,0
4620,-4263256414560601e-28,1,0,0
4680,-4263256414560601e-28,1,0,0
4740,-4263256414560601e-28,1,0,0
4800,-4263256414560601e-28,1,0,0
4860,-4263256414560601e-28,1,0,0
4920,-4263256414560601e-28,1,0,0
4980,-4263256414560601e-28,1,0,0
5040,-4263256414560601e-28,1,0,0
5100,-3126388037344441e-28,1,0,0
5160,22737367544323206e-29,1,0,0
5220,22737367544323206e-29,1,0,0
5280,22737367544323206e-29,1,0,0
5340,22737367544323206e-29,1,0,0
5400,22737367544323206e-29,1,0,0
5460,22737367544323206e-29,1,0,0
5520,22737367544323206e-29,1,0,0
5580,22737367544323206e-29,1,0,0
5640,22737367544323206e-29,1,0,0
5700,22737367544323206e-29,1,0,0
5760,22737367544323206e-29,1,0,0
5820,22737367544323206e-29,1,0,0
5880,22737367544323206e-29,1,0,0
5940,22737367544323206e-29,1,0,0
6000,22737367544323206e-29,1,0,0
6060,22737367544323206e-29,1,0,0
6120,22737367544323206e-29,1,0,0
6180,22737367544323206e-29,1,0,0
6240,22737367544323206e-29,1,0,0
6300,22737367544323206e-29,1,0,0
6360,22737367544323206e-29,1,0,0
6420,22737367544323206e-29,1,0,0
6480,22737367544323206e-29,1,0,0
6540,22737367544323206e-29,1,0,0
6600,22737367544323206e-29,1,0,0
