time,load_shed,perc_load_served,lines_out,gens_out
10,6252776074688882e-28,1,1,0
60,11368683772161603e-29,1,1,0
120,11368683772161603e-29,1,1,0
180,11368683772161603e-29,1,1,0
240,11368683772161603e-29,1,1,0
300,11368683772161603e-29,1,1,0
360,11368683772161603e-29,1,1,0
420,11368683772161603e-29,1,1,0
480,11368683772161603e-29,1,1,0
540,11368683772161603e-29,1,1,0
600,11368683772161603e-29,1,1,0
660,11368683772161603e-29,1,1,0
720,11368683772161603e-29,1,1,0
780,11368683772161603e-29,1,1,0
840,11368683772161603e-29,1,1,0
900,11368683772161603e-29,1,1,0
960,11368683772161603e-29,1,1,0
1020,11368683772161603e-29,1,1,0
1080,11368683772161603e-29,1,1,0
1140,11368683772161603e-29,1,1,0
1200,11368683772161603e-29,1,1,0
1260,11368683772161603e-29,1,1,0
1320,11368683772161603e-29,1,1,0
1380,11368683772161603e-29,1,1,0
1440,11368683772161603e-29,1,1,0
1500,11368683772161603e-29,1,1,0
1560,11368683772161603e-29,1,1,0
1620,11368683772161603e-29,1,1,0
1680,22737367544323206e-29,1,0,0
1740,22737367544323206e-29,1,0,0
1800,22737367544323206e-29,1,0,0
1860,22737367544323206e-29,1,0,0
1920,22737367544323206e-29,1,0,0
1980,22737367544323206e-29,1,0,0
2040,22737367544323206e-29,1,0,0
2100,22737367544323206e-29,1,0,0
2160,22737367544323206e-29,1,0,0
2220,22737367544323206e-29,1,0,0
2280,22737367544323206e-29,1,0,0
2340,22737367544323206e-29,1,0,0
2400,22737367544323206e-29,1,0,0
2460,22737367544323206e-29,1,0,0
2520,22737367544323206e-29,1,0,0
2580,22737367544323206e-29,1,0,0
2640,22737367544323206e-29,1,0,0
2700,22737367544323206e-29,1,0,0
2760,22737367544323206e-29,1,0,0
2820,22737367544323206e-29,1,0,0
2880,22737367544323206e-29,1,0,0
2940,22737367544323206e-29,1,0,0
3000,22737367544323206e-29,1,0,0
3060,22737367544323206e-29,1,0,0
3120,22737367544323206e-29,1,0,0
3180,22737367544323206e-29,1,0,0
3240,22737367544323206e-29,1,0,0
3300,22737367544323206e-29,1,0,0
3360,22737367544323206e-29,1,0,0
3420,22737367544323206e-29,1,0,0
3480,22737367544323206e-29,1,0,0
3540,22737367544323206e-29,1,0,0
3600,22737367544323206e-29,1,0,0
3660,22737367544323206e-29,1,0,0
3720,22737367544323206e-29,1,0,0
3780,22737367544323206e-29,1,0,0
3840,22737367544323206e-29,1,0,0
3900,22737367544323206e-29,1,0,0
3960,22737367544323206e-29,1,0,0
4020,22737367544323206e-29,1,0,0
4080,22737367544323206e-29,1,0,0
4140,22737367544323206e-29,1,0,0
4200,22737367544323206e-29,1,0,0
4260,22737367544323206e-29,1,0,0
4320,22737367544323206e-29,1,0,0
4380,22737367544323206e-29,1,0,0
4440,-4263256414560601e-28,1,0,0
4500,-4263256414560601e-28,1,0,0
4560,-4263256414560601e-28,1,0,0
4620,-4263256414560601e-28,1,0,0
4680,-4263256414560601e-28,1,0,0
4740,-4263256414560601e-28,1,0,0
4800,-4263256414560601e-28,1,0,0
4860,-4263256414560601e-28,1,0,0
4920,-4263256414560601e-28,1,0,0
4980,-4263256414560601e-28,1,0,0
5040,-4263256414560601e-28,1,0,0
5100,-3126388037344441e-28,1,0,0
5160,22737367544323206e-29,1,0,0
5220,22737367544323206e-29,1,0,0
5280,22737367544323206e-29,1,0,0
5340,22737367544323206e-29,1,0,0
5400,22737367544323206e-29,1,0,0
5460,22737367544323206e-29,1,0,0
5520,22737367544323206e-29,1,0,0
5580,22737367544323206e-29,1,0,0
5640,22737367544323206e-29,1,0,0
5700,22737367544323206e-29,1,0,0
5760,22737367544323206e-29,1,0,0
5820,22737367544323206e-29,1,0,0
5880,22737367544323206e-29,1,0,0
5940,22737367544323206e-29,1,0,0
6000,22737367544323206e-29,1,0,0
