time,load_shed,perc_load_served,lines_out,gens_out
10,2851052727237402e-28,1,1,1
11,2851052727237402e-28,1,1,0
12,2851052727237402e-28,1,1,0
13,2851052727237402e-28,1,1,0
14,2851052727237402e-28,1,1,0
15,2851052727237402e-28,1,1,0
16,2851052727237402e-28,1,1,0
17,2851052727237402e-28,1,1,0
18,2851052727237402e-28,1,1,0
19,2851052727237402e-28,1,1,0
20,2851052727237402e-28,1,1,0
21,2851052727237402e-28,1,1,0
22,2851052727237402e-28,1,1,0
23,2851052727237402e-28,1,1,0
24,2851052727237402e-28,1,1,0
25,2851052727237402e-28,1,1,0
26,2851052727237402e-28,1,1,0
27,2851052727237402e-28,1,1,0
28,2851052727237402e-28,1,1,0
29,2851052727237402e-28,1,1,0
30,2851052727237402e-28,1,1,0
31,2851052727237402e-28,1,1,0
32,2851052727237402e-28,1,1,0
33,2851052727237402e-28,1,1,0
34,2851052727237402e-28,1,1,0
35,2851052727237402e-28,1,1,0
36,2851052727237402e-28,1,1,0
37,2851052727237402e-28,1,1,0
38,2851052727237402e-28,1,1,0
39,2851052727237402e-28,1,1,0
40,2851052727237402e-28,1,1,0
41,2851052727237402e-28,1,1,0
42,2851052727237402e-28,1,1,0
43,3419486915845482e-28,1,0,0
44,3419486915845482e-28,1,0,0
45,3419486915845482e-28,1,0,0
46,3419486915845482e-28,1,0,0
47,3419486915845482e-28,1,0,0
48,3419486915845482e-28,1,0,0
49,3419486915845482e-28,1,0,0
50,3419486915845482e-28,1,0,0
51,3419486915845482e-28,1,0,0
52,3419486915845482e-28,1,0,0
53,3419486915845482e-28,1,0,0
