Resilience,Size,Restoration_time,lines_bin,gens_bin,event_num,Prob
0.0,0.0,0.0,1.0,1.0,1,0.566784775864345
0.0,0.0,0.0,1.0,1.0,2,0.5611169281057015
0.0,0.0,0.0,1.0,1.0,3,0.5554490803470581
0.0,0.0,0.0,1.0,1.0,4,0.5497812325884146
0.0,0.0,0.0,1.0,1.0,5,0.5441133848297711
0.0,0.0,0.0,1.0,1.0,6,0.5384455370711277
0.0,0.0,0.0,1.0,1.0,7,0.5327776893124843
0.0,0.0,0.0,1.0,1.0,8,0.5271098415538408
0.0,0.0,0.0,1.0,1.0,9,0.5214419937951974
0.0,0.0,0.0,1.0,1.0,10,0.5157741460365539
0.0,0.0,0.0,1.0,1.0,11,0.5101062982779104
0.0,0.0,0.0,1.0,1.0,12,0.5044384505192671
0.0,0.0,0.0,1.0,1.0,14,0.4987706027606236
0.0,0.0,0.0,1.0,1.0,15,0.49310275500198014
0.0,0.0,0.0,1.0,1.0,16,0.4874349072433367
0.0,0.0,0.0,1.0,1.0,17,0.4817670594846933
0.0,0.0,0.0,1.0,1.0,18,0.4760992117260498
0.0,0.0,0.0,1.0,1.0,19,0.47043136396740637
0.0,0.0,0.0,1.0,1.0,21,0.4647635162087629
0.0,0.0,0.0,1.0,1.0,22,0.45909566845011945
0.0,0.0,0.0,1.0,1.0,23,0.453427820691476
0.0,0.0,0.0,1.0,1.0,24,0.44775997293283254
0.0,0.0,0.0,1.0,1.0,25,0.4420921251741891
0.0,0.0,0.0,1.0,1.0,26,0.4364242774155456
0.0,0.0,0.0,1.0,1.0,27,0.4307564296569022
0.0,0.0,0.0,1.0,1.0,28,0.42508858189825877
0.0,0.0,0.0,1.0,1.0,29,0.4194207341396153
0.0,0.0,0.0,1.0,1.0,30,0.41375288638097185
0.0,0.0,0.0,1.0,1.0,31,0.4080850386223284
0.0,0.0,0.0,1.0,1.0,32,0.40241719086368494
0.0,0.0,0.0,1.0,1.0,33,0.3967493431050415
0.0,0.0,0.0,1.0,1.0,34,0.3910814953463981
0.0,0.0,0.0,1.0,1.0,35,0.3854136475877546
0.0,0.0,0.0,1.0,1.0,36,0.37974579982911116
0.0,0.0,0.0,1.0,1.0,37,0.3740779520704677
0.0,0.0,0.0,1.0,1.0,38,0.36841010431182425
0.0,0.0,0.0,1.0,1.0,39,0.3627422565531808
0.0,0.0,0.0,1.0,1.0,40,0.35707440879453733
0.0,0.0,0.0,1.0,1.0,41,0.3514065610358939
0.0,0.0,0.0,1.0,1.0,42,0.3457387132772504
0.0,0.0,0.0,1.0,1.0,43,0.340070865518607
0.0,0.0,0.0,1.0,1.0,44,0.33440301775996356
0.0,0.0,0.0,1.0,1.0,45,0.3287351700013201
0.0,0.0,0.0,1.0,1.0,46,0.32306732224267665
0.0,0.0,0.0,1.0,1.0,47,0.3173994744840332
0.0,0.0,0.0,1.0,1.0,48,0.31173162672538973
0.0,0.0,0.0,1.0,1.0,49,0.3060637789667463
0.0,0.0,0.0,1.0,1.0,50,0.3003959312081029
0.0,0.0,0.0,1.0,1.0,51,0.2947280834494594
0.0,0.0,0.0,1.0,1.0,52,0.28906023569081596
0.0,0.0,0.0,1.0,1.0,53,0.2833923879321725
0.0,0.0,0.0,1.0,1.0,54,0.27772454017352904
0.0,0.0,0.0,1.0,1.0,55,0.2720566924148856
0.0,0.0,0.0,1.0,1.0,56,0.26638884465624213
0.0,0.0,0.0,1.0,1.0,57,0.2607209968975987
0.0,0.0,0.0,1.0,1.0,58,0.25505314913895527
0.0,0.0,0.0,1.0,1.0,59,0.24938530138031179
0.0,0.0,0.0,1.0,1.0,60,0.24371745362166836
0.0,0.0,0.0,1.0,1.0,61,0.2380496058630249
0.0,0.0,0.0,1.0,1.0,62,0.23238175810438144
0.0,0.0,0.0,1.0,1.0,63,0.22671391034573798
0.0,0.0,0.0,1.0,1.0,64,0.22104606258709453
0.0,0.0,0.0,1.0,1.0,65,0.2153782148284511
0.0,0.0,0.0,1.0,1.0,66,0.20971036706980764
0.0,0.0,0.0,1.0,1.0,67,0.20404251931116418
0.0,0.0,0.0,1.0,1.0,68,0.19837467155252075
0.0,0.0,0.0,1.0,1.0,69,0.1927068237938773
0.0,0.0,0.0,1.0,1.0,70,0.18703897603523384
0.0,0.0,0.0,1.0,1.0,71,0.18137112827659038
0.0,0.0,0.0,1.0,1.0,72,0.17570328051794692
0.0,0.0,0.0,1.0,1.0,73,0.1700354327593035
0.0,0.0,0.0,1.0,1.0,74,0.16436758500066004
0.0,0.0,0.0,1.0,1.0,75,0.15869973724201658
0.0,0.0,0.0,1.0,1.0,76,0.15303188948337315
0.0,0.0,0.0,1.0,1.0,77,0.1473640417247297
0.0,0.0,0.0,1.0,1.0,78,0.14169619396608624
0.0,0.0,0.0,1.0,1.0,79,0.13602834620744278
0.0,0.0,0.0,1.0,1.0,80,0.13036049844879935
0.0,0.0,0.0,1.0,1.0,81,0.1246926506901559
