Resilience,Size,Restoration_time,lines_bin,gens_bin,event_num,Prob
0.0,0.0,0.0,1.0,1.0,1,0.5667847758643452
0.0,0.0,0.0,1.0,1.0,11,0.5611169281057017
0.0,0.0,0.0,1.0,1.0,14,0.5554490803470582
0.0,0.0,0.0,1.0,1.0,16,0.5497812325884148
0.0,0.0,0.0,1.0,1.0,23,0.5441133848297713
0.0,0.0,0.0,1.0,1.0,25,0.5384455370711279
0.0,0.0,0.0,1.0,1.0,29,0.5327776893124845
0.0,0.0,0.0,1.0,1.0,55,0.527109841553841
0.0,0.0,0.0,1.0,1.0,56,0.5214419937951975
0.0,0.0,0.0,1.0,1.0,68,0.5157741460365541
0.0,0.0,0.0,1.0,1.0,71,0.5101062982779107
0.0,0.0,0.0,1.0,1.0,75,0.5044384505192672
0.0,0.0,0.0,1.0,1.0,79,0.4987706027606237
0.0,0.0,0.0,1.0,1.0,80,0.49310275500198025
0.0,0.0,0.0,1.0,1.0,89,0.48743490724333677
0.0,0.0,0.0,1.0,1.0,96,0.48176705948469334
0.0,0.0,0.0,7.0,1.0,3,0.010319603591626507
0.0,0.0,0.0,7.0,1.0,7,0.010215365171509066
0.0,0.0,0.0,7.0,1.0,14,0.010111126751391628
0.0,0.0,0.0,7.0,1.0,19,0.010006888331274189
0.0,0.0,0.0,7.0,1.0,29,0.009902649911156748
0.0,0.0,0.0,7.0,1.0,41,0.00979841149103931
0.0,0.0,0.0,7.0,1.0,46,0.00969417307092187
0.0,0.0,0.0,7.0,1.0,53,0.00958993465080443
0.0,0.0,0.0,7.0,1.0,58,0.00948569623068699
0.0,0.0,0.0,7.0,1.0,59,0.009381457810569552
0.0,0.0,0.0,7.0,1.0,65,0.009277219390452111
0.0,0.0,0.0,7.0,1.0,74,0.009172980970334673
0.0,0.0,0.0,7.0,1.0,78,0.009068742550217232
0.0,0.0,0.0,7.0,1.0,93,0.008964504130099794
0.0,0.0,0.0,14.0,1.0,20,0.0021256416621194653
0.0,0.0,0.0,14.0,1.0,46,0.0021043852454982704
0.0,0.0,0.0,14.0,1.0,52,0.002083128828877076
0.0,0.0,0.0,14.0,1.0,58,0.002061872412255881
0.0,0.0,0.0,14.0,1.0,70,0.0020406159956346866
0.0,0.0,0.0,14.0,1.0,78,0.0020193595790134918
0.0,0.0,0.0,14.0,1.0,84,0.0019981031623922973
0.0,0.0,0.0,14.0,1.0,99,0.0019768467457711024
0.0,0.0,0.0,20.0,1.0,38,0.0009389328253986002
0.0,0.0,0.0,26.0,1.0,57,0.0005693944255425532
2.0,2.0,10.0,14.0,1.0,2,0.001955590329149908
8.00000000000017,8.00000000000017,10.0,7.0,1.0,72,0.008860265709982353
19.999999999990337,9.999999999988745,70.0,7.0,1.0,27,0.008756027289864915
22.0,22.0,10.0,20.0,1.0,99,0.0009295434971446142
26.958863322470393,26.958863322470393,10.0,7.0,1.0,40,0.008651788869747474
39.999999999999886,19.999999999999943,70.0,26.0,1.0,32,0.0005637004812871278
52.0,52.0,10.0,14.0,1.0,77,0.0019343339125287135
65.99999999999864,65.99999999999864,10.0,26.0,1.0,42,0.0005580065370317022
66.00000000000682,66.00000000000682,10.0,7.0,1.0,13,0.008547550449630036
66.99999999999022,66.99999999999022,10.0,14.0,1.0,21,0.0019130774959075188
76.00000000000614,38.000000000002046,70.0,7.0,1.0,77,0.008443312029512597
96.0000000000565,48.00000000000989,70.0,20.0,1.0,60,0.0009201541688906282
110.0,110.0,10.0,20.0,1.0,29,0.0009107648406366422
110.00000000000045,110.00000000000045,10.0,1.0,1.0,7,0.47609921172604985
111.00000000000001,111.00000000000001,10.0,14.0,1.0,17,0.0018918210792863242
115.99999999991951,115.99999999991951,10.0,1.0,1.0,91,0.4704313639674064
116.41179011969433,116.41179011969433,10.0,20.0,1.0,78,0.0009013755123826562
117.00000000001472,117.00000000001472,10.0,7.0,1.0,30,0.008339073609395157
117.75031983996342,117.75031983996342,10.0,7.0,1.0,94,0.008234835189277718
134.0000000002357,58.00000000000048,130.0,1.0,1.0,82,0.464763516208763
140.0,140.0,10.0,26.0,1.0,31,0.0005523125927762766
142.0,142.0,10.0,26.0,1.0,86,0.0005466186485208512
176.00000000000634,140.0,250.0,7.0,1.0,54,0.008130596769160277
177.76808883580247,177.76808883580247,10.0,14.0,1.0,39,0.0018705646626651295
179.5550118667498,179.5550118667498,10.0,14.0,1.0,36,0.0018493082460439348
205.000000000002,205.000000000002,10.0,20.0,1.0,64,0.0008919861841286702
208.99999999999915,208.99999999999915,10.0,20.0,1.0,40,0.0008825968558746842
213.99999999999875,137.99999999999636,130.0,1.0,1.0,9,0.4590956684501195
222.00000000000045,222.00000000000045,10.0,20.0,1.0,88,0.0008732075276206982
250.99999999999977,250.99999999999977,10.0,39.0,1.0,38,0.00021810181845116592
256.99999999999994,256.99999999999994,10.0,33.0,1.0,70,0.0002875668777141324
262.00000000000625,191.0000000000025,70.0,7.0,1.0,99,0.008026358349042839
270.70812999688496,270.70812999688496,10.0,26.0,1.0,45,0.0005409247042654256
272.0000000000039,185.9999999999987,70.0,14.0,1.0,62,0.0018280518294227401
273.99999999999983,273.99999999999983,10.0,39.0,1.0,5,0.00021582992450896627
284.1914053364575,263.30210898552866,190.0,20.0,1.0,67,0.0008638181993667122
