time,load_shed,perc_load_served,lines_out,gens_out
10,0,1,2,2
0,9663381206337363e-28,0.9999999999999998,2,2
60,9663381206337363e-28,0.9999999999999998,2,1
120,9663381206337363e-28,0.9999999999999998,2,1
180,9663381206337363e-28,0.9999999999999998,2,1
240,8526512829121202e-28,1,1,1
300,8526512829121202e-28,1,1,1
360,8526512829121202e-28,1,1,1
420,8526512829121202e-28,1,1,1
480,8526512829121202e-28,1,1,1
540,8526512829121202e-28,1,0,0
600,8526512829121202e-28,1,0,0
660,8526512829121202e-28,1,0,0
720,8526512829121202e-28,1,0,0
780,8526512829121202e-28,1,0,0
840,8526512829121202e-28,1,0,0
900,8526512829121202e-28,1,0,0
960,8526512829121202e-28,1,0,0
1020,8526512829121202e-28,1,0,0
1080,8526512829121202e-28,1,0,0
1140,8526512829121202e-28,1,0,0
1200,8526512829121202e-28,1,0,0
1260,8526512829121202e-28,1,0,0
1320,8526512829121202e-28,1,0,0
1380,8526512829121202e-28,1,0,0
1440,8526512829121202e-28,1,0,0
1500,8526512829121202e-28,1,0,0
1560,8526512829121202e-28,1,0,0
1620,8526512829121202e-28,1,0,0
1680,8526512829121202e-28,1,0,0
1740,8526512829121202e-28,1,0,0
1800,8526512829121202e-28,1,0,0
1860,8526512829121202e-28,1,0,0
1920,8526512829121202e-28,1,0,0
1980,8526512829121202e-28,1,0,0
2040,8526512829121202e-28,1,0,0
2100,8526512829121202e-28,1,0,0
2160,8526512829121202e-28,1,0,0
2220,8526512829121202e-28,1,0,0
2280,8526512829121202e-28,1,0,0
2340,14210854715202004e-29,1,0,0
2400,8526512829121202e-28,1,0,0
2460,14210854715202004e-29,1,0,0
2520,8526512829121202e-28,1,0,0
2580,8526512829121202e-28,1,0,0
2640,8526512829121202e-28,1,0,0
2700,8526512829121202e-28,1,0,0
2760,8526512829121202e-28,1,0,0
2820,8526512829121202e-28,1,0,0
2880,8526512829121202e-28,1,0,0
2940,14210854715202004e-29,1,0,0
3000,8526512829121202e-28,1,0,0
3060,8526512829121202e-28,1,0,0
3120,8526512829121202e-28,1,0,0
3180,8526512829121202e-28,1,0,0
3240,8526512829121202e-28,1,0,0
3300,8526512829121202e-28,1,0,0
3360,14210854715202004e-29,1,0,0
3420,8526512829121202e-28,1,0,0
3480,14210854715202004e-29,1,0,0
3540,8526512829121202e-28,1,0,0
3600,8526512829121202e-28,1,0,0
3660,8526512829121202e-28,1,0,0
3720,8526512829121202e-28,1,0,0
3780,8526512829121202e-28,1,0,0
3840,8526512829121202e-28,1,0,0
3900,8526512829121202e-28,1,0,0
3960,8526512829121202e-28,1,0,0
4020,8526512829121202e-28,1,0,0
4080,8526512829121202e-28,1,0,0
4140,8526512829121202e-28,1,0,0
4200,8526512829121202e-28,1,0,0
4260,8526512829121202e-28,1,0,0
4320,8526512829121202e-28,1,0,0
4380,8526512829121202e-28,1,0,0
4440,8526512829121202e-28,1,0,0
4500,8526512829121202e-28,1,0,0
4560,8526512829121202e-28,1,0,0
4620,8526512829121202e-28,1,0,0
4680,8526512829121202e-28,1,0,0
4740,8526512829121202e-28,1,0,0
4800,8526512829121202e-28,1,0,0
