f,t,R,X,B,rateA,rateB,rateC,tap,shift,status,angMin,angMax,Pf,Qf,Pt,Qt,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX,bus_type,tap_min,tap_max,Pf_des,ImF,ImT
1001,1201,0.00177,0.03169,3.3446,996,996,996,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1202,0.0108,0.0965,0.3296,326,326,326,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,1004,0.0005,0.0053,0.0882,5934,5934,5934,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,1102,0.00179,0.01988,2.576,1583,1583,1583,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,1102,0.00179,0.01988,2.576,1583,1583,1583,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,6506,0.0048,0.0436,0.7078,721,721,721,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,7001,0.03903,0.27403,2,115,115,115,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,7002,0.00977,0.11,2,287,287,287,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,1401,0.0028,0.0211,1.0194,1485,1485,1485,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,1401,0.0028,0.0211,1.0194,1485,1485,1485,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,1202,0.00077,0.00536,1.39842,5834,5834,5834,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,1402,0.00179,0.02592,3.3922,1216,1216,1216,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,2901,0.00207,0.01369,3.9516,2282,2282,2282,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,1302,0.0028,0.0211,1.0194,1485,1485,1485,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,1402,0.00241,0.03489,4.8656,904,904,904,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,1302,0.0028,0.0211,1.0194,1485,1485,1485,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,1402,0.0028,0.0211,1.0194,1485,1485,1485,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,1402,0.0062,0.0673,1.1156,468,468,468,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,2603,0.00179,0.02524,0.53546,1249,1249,1249,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,2901,0.0108,0.0965,0.3296,326,326,326,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1303,6507,0.00811,0.1369,1.1156,231,231,231,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1401,1402,0.0004,0.0096,0.9038,3288,3288,3288,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1401,1402,0.0004,0.0096,0.9038,3288,3288,3288,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1401,2301,0.00259,0.02967,2.153,1061,1061,1061,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1401,2400,0.00259,0.02967,2.153,1061,1061,1061,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1403,2100,0.00845,0.07034,0.15954,446,446,446,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,2202,0.00138,0.05399,0.15252,585,585,585,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,2302,0.00138,0.05399,0.15252,585,585,585,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,2302,0.00845,0.07034,0.15954,446,446,446,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2201,2301,0.00179,0.02524,2.153,1249,1249,1249,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2202,2203,0.00312,0.02886,0.15252,1089,1089,1089,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2202,2203,0.00312,0.02886,0.15252,1089,1089,1089,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2202,2503,0.00312,0.02886,0.15252,1089,1089,1089,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2203,2503,0.00312,0.02886,0.15252,1089,1089,1089,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2203,2503,0.00312,0.02886,0.15252,1089,1089,1089,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,2403,0.00042,0.00905,0.66794,3487,3487,3487,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401,2402,0.00028,0.00753,0.51736,4192,4192,4192,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401,2402,0.00035,0.0075,0.5536,4208,4208,4208,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401,2404,0.00044,0.01125,0.8292,2806,2806,2806,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401,2404,0.00044,0.01125,0.8292,2806,2806,2806,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401,2501,0.0006,0.0128,0.9462,2466,2466,2466,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401,2603,0.0002,0.0041,0.2962,7696,7696,7696,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401,2901,0.00193,0.02779,4.6712,1134,1134,1134,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401,2902,0.0019,0.031,4.1402,1018,1018,1018,0,0,1,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
