bus,Pg,Qg,Qmax,Qmin,Vsp,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,rampAGC,ramp10,ramp30,rampQ,npf,MU_PMAX,MU_PMIN,MU_QMAX,MU_QMIN
1032,1030,0,1030,-1030,1,100,1,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032,357,0,357,-357,1,100,1,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,2293.5,0,2294,-2294,1,100,1,4587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,917.5,0,918,-918,1,100,1,1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,700,0,700,-700,1,100,1,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131,307.5,0,308,-308,1,100,1,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131,1915.4,0,1916,-1916,1,100,1,3830.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131,120,0,120,-120,1,100,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1232,1207.5,0,1208,-1208,1,100,1,2415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1232,628,0,628,-628,1,100,1,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1331,841,0,841,-841,1,100,1,1682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1331,1219,0,1219,-1219,1,100,1,2438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1333,302.5,0,303,-303,1,100,1,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1333,2745.5,0,2746,-2746,1,100,1,5491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1333,37.5,0,38,-38,1,100,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1431,3559.35,0,3559,-3559,1,100,1,7118.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1431,2056.5,0,2057,-2057,1,100,1,4113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1431,15,0,15,-15,1,100,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,1070,0,1070,-1070,1,100,1,2140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,349.5,0,350,-350,1,100,1,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130,200,0,200,-200,1,100,1,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130,253.5,0,254,-254,1,100,1,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130,250,0,250,-250,1,100,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130,86,0,86,-86,1,100,1,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2233,353,93,304,-118,1,100,1,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2233,626.5,215,611,-181,1,100,1,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2233,250,25.5,206,-155,1,100,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2332,559,113,590,-364,1,100,1,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2438,781.5,137,728,-454,1,100,1,1563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2438,1859,367,1902,-1168,1,100,1,3718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2438,1401.5,624,2301,-1053,1,100,1,2803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2438,670,68,659,-523,1,100,1,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2438,473,119.5,436,-197,1,100,1,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2438,636.5,4,561,-553,1,100,1,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2438,1983.5,380,1910,-1150,1,100,1,3967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2438,-503,0.25,0.5,0,1,100,1,0,-1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2533,1116,140,1100,-820,1,100,1,2232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2630,1346,0,1346,-1346,1,100,1,2692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2631,159,0,159,-159,1,100,1,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2634,950,0,950,-950,1,100,1,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2637,55,0,110,-110,1,100,1,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2638,0,0,100,-100,1,100,1,1272,-1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3133,21,6.5,42,-29,1,100,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3133,0.05,0,500,-500,1,100,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3135,184.5,19,239,-201,1,100,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3135,13,7.5,100,-85,1,100,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3234,60.5,13,101,-75,1,100,1,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3234,1314,5,1244,-1234,1,100,1,2628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3234,353.5,85,382,-212,1,100,1,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3234,345,10,75,-55,1,100,1,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3333,345,86,398,-226,1,100,1,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3333,106.5,29.5,202,-143,1,100,1,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3432,147,102,510,-306,1,100,1,1218,-924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3433,314,28,231,-175,1,100,1,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3433,1008,188.5,939,-562,1,100,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3531,434,202.5,1004,-599,1,100,1,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3531,162.5,36,253,-181,1,100,1,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3531,15,1.5,13,-10,1,100,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3631,26.5,3,20,-14,1,100,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3631,71.5,20,74,-34,1,100,1,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3731,127.5,39.5,200,-121,1,100,1,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3831,1133.5,97.5,1175,-980,1,100,1,2267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3835,690.5,91.5,662,-479,1,100,1,1381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3835,-255,0.25,0.5,0,1,100,1,0,-510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3836,510.5,62,476,-352,1,100,1,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3931,157,18,151,-115,1,100,1,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3931,1848,169,1284,-946,1,100,1,3696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3932,739,325,1150,-500,1,100,1,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3933,295,140.5,363,-82,1,100,1,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3933,95.5,11,77,-55,1,100,1,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3933,657,96.5,500,-307,1,100,1,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3933,1752.5,107.5,1256,-1041,1,100,1,3505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3933,146.5,1,13,-11,1,100,1,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3933,-224.5,0.25,0.5,0,1,100,1,0,-449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4039,102,0,102,-102,1,100,1,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4039,1459,0,1459,-1459,1,100,1,2918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4039,187.5,0,188,-188,1,100,1,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4031,501.5,0,502,-502,1,100,1,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4031,489,0,489,-489,1,100,1,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4031,37.5,0,38,-38,1,100,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4031,120,0,120,-120,1,100,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4035,255,0,255,-255,1,100,1,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4035,306.5,0,307,-307,1,100,1,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4035,1835.5,0,1836,-1836,1,100,1,3671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4035,488,0,488,-488,1,100,1,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4131,6481.5,0,6482,-6482,1,100,1,12963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4131,120,0,120,-120,1,100,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4132,1472.5,0,1473,-1473,1,100,1,2945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4132,2846.5,0,2847,-2847,1,100,1,5693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4132,580,0,580,-580,1,100,1,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
