bus,bus_type,status,P,Q,fracS,fracY,fracE,gamma,Qmin,Qmax,Qinc,Qcon
101,PV,1,108,22,1,0,0,0,0,0,0,0
102,PV,1,97,20,1,0,0,0,0,0,0,0
107,PV,1,125,25,1,0,0,0,0,0,0,0
114,PV,1,194,39,1,0,0,0,0,0,0,0
115,PV,1,317,64,1,0,0,0,0,0,0,0
116,PV,1,100,20,1,0,0,0,0,0,0,0
118,PV,1,333,68,1,0,0,0,0,0,0,0
121,PV,1,0,0,1,0,0,0,0,0,0,0
122,PV,1,0,0,1,0,0,0,0,0,0,0
123,PV,1,0,0,1,0,0,0,0,0,0,0
201,PV,1,108,22,1,0,0,0,0,0,0,0
202,PV,1,97,20,1,0,0,0,0,0,0,0
207,PV,1,125,25,1,0,0,0,0,0,0,0
213,PV,1,265,54,1,0,0,0,0,0,0,0
214,PV,1,194,39,1,0,0,0,0,0,0,0
215,PV,1,317,64,1,0,0,0,0,0,0,0
216,PV,1,100,20,1,0,0,0,0,0,0,0
218,PV,1,333,68,1,0,0,0,0,0,0,0
221,PV,1,0,0,1,0,0,0,0,0,0,0
222,PV,1,0,0,1,0,0,0,0,0,0,0
223,PV,1,0,0,1,0,0,0,0,0,0,0
301,PV,1,108,22,1,0,0,0,0,0,0,0
302,PV,1,97,20,1,0,0,0,0,0,0,0
307,PV,1,125,25,1,0,0,0,0,0,0,0
313,PV,1,265,54,1,0,0,0,0,0,0,0
314,PV,1,194,39,1,0,0,0,0,0,0,0
315,PV,1,317,64,1,0,0,0,0,0,0,0
316,PV,1,100,20,1,0,0,0,0,0,0,0
318,PV,1,333,68,1,0,0,0,0,0,0,0
321,PV,1,0,0,1,0,0,0,0,0,0,0
322,PV,1,0,0,1,0,0,0,0,0,0,0
323,PV,1,0,0,1,0,0,0,0,0,0,0
