id,bus_type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin,LAM_P,LAM_Q,MU_VMAX,MU_VMIN,Vsp,locX,locY
1,1,0,0,0,0,1,1.08220371214075,36.932205485073,220,1,1.11,0.95,0,0,0,0,0,0,0
2,1,0,0,0,0,1,1.0902671066582,38.640681149237,220,1,1.11,0.95,0,0,0,0,0,0,0
3,1,0,0,0,0,1,0.856143158146246,13.3217828888112,220,1,1.11,0.95,0,0,0,0,0,0,0
4,1,0,0,0,0,1,1.07165503472615,32.8914452715707,220,1,1.11,0.95,0,0,0,0,0,0,0
5,1,0,0,0,0,1,1.0715739081317,32.8897579035483,220,1,1.11,0.95,0,0,0,0,0,0,0
6,1,0,0,0,0,1,0.849628146358249,22.726940021455,220,1,1.11,0.95,0,0,0,0,0,0,0
7,1,0,0,0,0,1,0.849698277095183,22.7342259198129,220,1,1.11,0.95,0,0,0,0,0,0,0
8,1,0,0,0,0,1,0.822712497722532,26.480445107047,400,1,1.05,0.95,0,0,0,0,0,0,0
9,1,0,0,0,0,1,1.05,26.4866038592018,400,1,1.05,0.95,0,0,0,0,0,0,0
10,1,0,0,0,0,1,1.09628027918256,23.0637426772437,220,1,1.11,0.95,0,0,0,0,0,0,0
11,1,0,0,0,0,1,1.09626349399703,23.0545577006751,220,1,1.11,0.95,0,0,0,0,0,0,0
12,1,0,0,0,0,1,1.09621617982363,23.0546822667384,220,1,1.11,0.95,0,0,0,0,0,0,0
13,1,0,0,0,0,1,0.851057284690963,23.0430761633955,220,1,1.11,0.95,0,0,0,0,0,0,0
14,1,0,0,0,0,1,1.02003157740575,27.637005496457,400,1,1.05,0.95,0,0,0,0,0,0,0
15,1,0,0,0,0,1,0.818962932373626,23.5710165160144,400,1,1.05,0.95,0,0,0,0,0,0,0
16,1,0,0,0,0,1,0.818962932373626,23.5710165160144,400,1,1.05,0.95,0,0,0,0,0,0,0
17,1,0,0,0,0,1,0.851124368196165,16.1751070359731,220,1,1.11,0.95,0,0,0,0,0,0,0
18,1,0,0,0,0,1,0.851101080518771,16.1723265851457,220,1,1.11,0.95,0,0,0,0,0,0,0
19,1,0,0,0,0,1,1.075176538856,33.8269699133727,220,1,1.11,0.95,0,0,0,0,0,0,0
20,1,0,0,0,0,1,1.07519618383793,33.8291879816486,220,1,1.11,0.95,0,0,0,0,0,0,0
21,1,0,0,0,0,1,1.07363448247852,21.5535441725104,220,1,1.11,0.95,0,0,0,0,0,0,0
22,1,0,0,0,0,1,1.07363448247852,21.5535441725104,220,1,1.11,0.95,0,0,0,0,0,0,0
23,1,0,0,0,0,1,1.09891315222356,23.2875002855917,220,1,1.11,0.95,0,0,0,0,0,0,0
24,1,0,0,0,0,1,1.08057050047135,35.5416631316314,220,1,1.11,0.95,0,0,0,0,0,0,0
25,1,0,0,0,0,1,1.04556108503489,24.846425598157,400,1,1.05,0.95,0,0,0,0,0,0,0
26,2,0,0,0,0,1,1.09349784035959,37.2568942929756,220,1,1.11,0.95,0,0,0,0,0,0,0
27,2,0,0,0,0,1,1.09998758782349,38.9343583829519,220,1,1.11,0.95,0,0,0,0,0,0,0
28,3,0,0,0,0,1,0.999344996564725,36.029099,400,1,1.05,0.95,0,0,0,0,0,0,0
29,2,0,0,0,0,1,0.999311054673066,36.0357418951211,400,1,1.05,0.95,0,0,0,0,0,0,0
30,1,0,0,0,0,1,1.09326960388418,22.3988936908286,220,1,1.11,0.95,0,0,0,0,0,0,0
31,1,0,0,0,0,1,1.02521318202549,34.5675342317253,400,1,1.05,0.95,0,0,0,0,0,0,0
32,1,0,0,0,0,1,0.851088123568347,22.7329009440813,220,1,1.11,0.95,0,0,0,0,0,0,0
33,1,0,0,0,0,1,1.05878378561762,30.5267653305103,220,1,1.11,0.95,0,0,0,0,0,0,0
