bus,Pg,Qg,Qmax,Qmin,Vsp,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,rampAGC,ramp10,ramp30,rampQ,npf,MU_PMAX,MU_PMIN,MU_QMAX,MU_QMIN
1032,1030.0,0.0,1030.0,-1030,1,100,1,2060.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032,357.0,0.0,357.0,-357,1,100,1,714.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,2293.5,0.0,2294.0,-2294,1,100,1,4587.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,917.5,0.0,918.0,-918,1,100,1,1835.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,700.0,0.0,700.0,-700,1,100,1,1400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131,307.5,0.0,308.0,-308,1,100,1,615.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131,1915.4,0.0,1916.0,-1916,1,100,1,3830.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131,120.0,0.0,120.0,-120,1,100,1,240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1232,1207.5,0.0,1208.0,-1208,1,100,1,2415.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1232,628.0,0.0,628.0,-628,1,100,1,1256.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1331,841.0,0.0,841.0,-841,1,100,1,1682.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1331,1219.0,0.0,1219.0,-1219,1,100,1,2438.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1333,302.5,0.0,303.0,-303,1,100,1,605.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1333,2745.5,0.0,2746.0,-2746,1,100,1,5491.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1333,37.5,0.0,38.0,-38,1,100,1,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1431,3559.35,0.0,3559.0,-3559,1,100,1,7118.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1431,2056.5,0.0,2057.0,-2057,1,100,1,4113.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1431,15.0,0.0,15.0,-15,1,100,1,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,1070.0,0.0,1070.0,-1070,1,100,1,2140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,349.5,0.0,350.0,-350,1,100,1,699.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130,200.0,0.0,200.0,-200,1,100,1,400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130,253.5,0.0,254.0,-254,1,100,1,507.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130,250.0,0.0,250.0,-250,1,100,1,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130,86.0,0.0,86.0,-86,1,100,1,172.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2233,353.0,93.0,304.0,-118,1,100,1,706.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2233,626.5,215.0,611.0,-181,1,100,1,1253.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2233,250.0,25.5,206.0,-155,1,100,1,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2332,559.0,113.0,590.0,-364,1,100,1,1118.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2438,781.5,137.0,728.0,-454,1,100,1,1563.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2438,1859.0,367.0,1902.0,-1168,1,100,1,3718.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2438,1401.5,624.0,2301.0,-1053,1,100,1,2803.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2438,670.0,68.0,659.0,-523,1,100,1,1340.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2438,473.0,119.5,436.0,-197,1,100,1,946.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2438,636.5,4.0,561.0,-553,1,100,1,1273.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2438,1983.5,380.0,1910.0,-1150,1,100,1,3967.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2438,-503.0,0.25,0.5,0,1,100,1,0.0,-1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2533,1116.0,140.0,1100.0,-820,1,100,1,2232.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2630,1346.0,0.0,1346.0,-1346,1,100,1,2692.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2631,159.0,0.0,159.0,-159,1,100,1,318.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2634,950.0,0.0,950.0,-950,1,100,1,1900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2637,55.0,0.0,110.0,-110,1,100,1,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2638,0.0,0.0,100.0,-100,1,100,1,1272.0,-1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3133,21.0,6.5,42.0,-29,1,100,1,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3133,0.05,0.0,500.0,-500,1,100,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3135,184.5,19.0,239.0,-201,1,100,1,369.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3135,13.0,7.5,100.0,-85,1,100,1,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3234,60.5,13.0,101.0,-75,1,100,1,121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3234,1314.0,5.0,1244.0,-1234,1,100,1,2628.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3234,353.5,85.0,382.0,-212,1,100,1,707.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3234,345.0,10.0,75.0,-55,1,100,1,690.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3333,345.0,86.0,398.0,-226,1,100,1,690.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3333,106.5,29.5,202.0,-143,1,100,1,213.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3432,147.0,102.0,510.0,-306,1,100,1,1218.0,-924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3433,314.0,28.0,231.0,-175,1,100,1,628.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3433,1008.0,188.5,939.0,-562,1,100,1,2016.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3531,434.0,202.5,1004.0,-599,1,100,1,868.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3531,162.5,36.0,253.0,-181,1,100,1,325.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3531,15.0,1.5,13.0,-10,1,100,1,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3631,26.5,3.0,20.0,-14,1,100,1,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
