bus,bus_type,status,P,Q,fracS,fracY,fracE,gamma,Qmin,Qmax,Qinc,Qcon
1002,1,1,226.8419,-37.472,1,0,0,0,0,0,0,0
1003,1,1,2153.3224,366.856,1,0,0,0,0,0,0,0
1004,1,1,1037.9499,5.521,1,0,0,0,0,0,0,0
1101,1,1,4527.3661,-137.044,1,0,0,0,0,0,0,0
1102,1,1,176.4436,23.004,1,0,0,0,0,0,0,0
1201,1,1,166.9882,-2.012,1,0,0,0,0,0,0,0
1202,1,1,875.61,287.131,1,0,0,0,0,0,0,0
1301,1,1,2704.7793,352.826,1,0,0,0,0,0,0,0
1302,1,1,17.5556,2.304,1,0,0,0,0,0,0,0
1303,1,1,6235.136,813.349,1,0,0,0,0,0,0,0
1401,1,1,6535.5365,1524.594,1,0,0,0,0,0,0,0
1402,1,1,5366.6305,-600.162,1,0,0,0,0,0,0,0
2000,1,1,2207.188,287.916,1,0,0,0,0,0,0,0
2100,1,1,281.1513,54.83,1,0,0,0,0,0,0,0
2202,1,1,1545.949,268.565,1,0,0,0,0,0,0,0
2203,1,1,1708.5525,278.273,1,0,0,0,0,0,0,0
2400,1,1,843.2926,76.663,1,0,0,0,0,0,0,0
2401,1,1,882.3636,105.214,1,0,0,0,0,0,0,0
2402,1,1,1080.0201,81.979,1,0,0,0,0,0,0,0
2403,1,1,1050.004,38.543,1,0,0,0,0,0,0,0
2405,1,1,824.6826,22.901,1,0,0,0,0,0,0,0
2406,1,1,737.4036,-40.751,1,0,0,0,0,0,0,0
2407,1,1,1732.771,-36.535,1,0,0,0,0,0,0,0
2408,1,1,1743.2768,-72.623,1,0,0,0,0,0,0,0
2409,1,1,1601.7777,-86.698,1,0,0,0,0,0,0,0
2410,1,1,1576.7872,58.184,1,0,0,0,0,0,0,0
2411,1,1,1087.6239,75.955,1,0,0,0,0,0,0,0
2502,1,1,2369.1531,-91.905,1,0,0,0,0,0,0,0
2503,1,1,1845.9256,201.991,1,0,0,0,0,0,0,0
2600,1,1,-1863.9044,0.0,1,0,0,0,0,0,0,0
2602,1,1,99.2784,12.955,1,0,0,0,0,0,0,0
2604,1,1,2050.7816,0.0,1,0,0,0,0,0,0,0
2608,1,1,99.2784,12.955,1,0,0,0,0,0,0,0
2609,1,1,134.0261,26.805,1,0,0,0,0,0,0,0
2610,1,1,99.2784,12.955,1,0,0,0,0,0,0,0
2611,1,1,99.2784,12.955,1,0,0,0,0,0,0,0
2612,1,1,120.1277,24.819,1,0,0,0,0,0,0,0
2613,1,1,317.693,64.532,1,0,0,0,0,0,0,0
2614,1,1,137.0047,27.798,1,0,0,0,0,0,0,0
2615,1,1,801.9756,131.148,1,0,0,0,0,0,0,0
2616,1,1,116.1565,23.827,1,0,0,0,0,0,0,0
2617,1,1,120.1277,24.819,1,0,0,0,0,0,0,0
2618,1,1,881.2994,-6.155,1,0,0,0,0,0,0,0
2619,1,1,-2773.8339,0.0,1,0,0,0,0,0,0,0
2620,1,1,203.7206,17.473,1,0,0,0,0,0,0,0
2621,1,1,235.4897,-62.745,1,0,0,0,0,0,0,0
3101,1,1,341.3057,52.828,1,0,0,0,0,0,0,0
3102,1,1,159.4648,24.929,1,0,0,0,0,0,0,0
3103,1,1,419.6109,59.777,1,0,0,0,0,0,0,0
3104,1,1,309.9718,40.133,1,0,0,0,0,0,0,0
3105,1,1,239.3018,49.091,1,0,0,0,0,0,0,0
3201,1,1,462.4769,97.849,1,0,0,0,0,0,0,0
3202,1,1,586.1795,83.473,1,0,0,0,0,0,0,0
3203,1,1,657.1046,158.476,1,0,0,0,0,0,0,0
3204,1,1,668.7879,95.313,1,0,0,0,0,0,0,0
3205,1,1,546.0609,77.782,1,0,0,0,0,0,0,0
3302,1,1,345.3259,85.791,1,0,0,0,0,0,0,0
3303,1,1,625.4106,150.715,1,0,0,0,0,0,0,0
3304,1,1,533.4822,122.616,1,0,0,0,0,0,0,0
3305,1,1,430.3196,61.225,1,0,0,0,0,0,0,0
3401,1,1,557.7071,135.909,1,0,0,0,0,0,0,0
3403,1,1,515.9687,73.583,1,0,0,0,0,0,0,0
3404,1,1,438.461,62.075,1,0,0,0,0,0,0,0
3405,1,1,448.8976,63.723,1,0,0,0,0,0,0,0
3501,1,1,625.0164,89.015,1,0,0,0,0,0,0,0
3601,1,1,104.8564,14.844,1,0,0,0,0,0,0,0
3701,1,1,317.0506,15.847,1,0,0,0,0,0,0,0
3801,1,1,191.2229,47.411,1,0,0,0,0,0,0,0
3804,1,1,223.6404,55.318,1,0,0,0,0,0,0,0
3805,1,1,499.3888,163.106,1,0,0,0,0,0,0,0
3806,1,1,289.5858,41.366,1,0,0,0,0,0,0,0
3902,1,1,152.9913,38.248,1,0,0,0,0,0,0,0
3903,1,1,213.2478,30.269,1,0,0,0,0,0,0,0
3907,1,1,461.3573,63.071,1,0,0,0,0,0,0,0
3908,1,1,200.2788,24.716,1,0,0,0,0,0,0,0
3909,1,1,170.957,39.785,1,0,0,0,0,0,0,0
3910,1,1,241.8392,34.44,1,0,0,0,0,0,0,0
3911,1,1,233.1345,47.114,1,0,0,0,0,0,0,0
3912,1,1,174.5029,-0.634,1,0,0,0,0,0,0,0
3913,1,1,329.5484,43.435,1,0,0,0,0,0,0,0
3914,1,1,227.7536,52.549,1,0,0,0,0,0,0,0
3915,1,1,254.4589,53.402,1,0,0,0,0,0,0,0
3916,1,1,155.0024,0.0,1,0,0,0,0,0,0,0
3917,1,1,238.1882,43.995,1,0,0,0,0,0,0,0
3918,1,1,319.2809,75.464,1,0,0,0,0,0,0,0
3919,1,1,184.5093,24.094,1,0,0,0,0,0,0,0
