bus,Pg,Qg,Qmax,Qmin,Vsp,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,rampAGC,ramp10,ramp30,rampQ,npf,MU_PMAX,MU_PMIN,MU_QMAX,MU_QMIN
17,0,0,168,-84,1.07106,241.9,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,160,-80,1.07106,233.2,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,369.999999916464,55.9937136825813,296,-148,1.10999999775325,415.9,1,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,359.999999915291,41.0839710958252,288,-144,1.10999999860351,407.1,1,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,359.999999915291,41.0839710958252,288,-144,1.10999999860351,407.1,1,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,369.999999915291,41.0839710958252,296,-148,1.10999999860351,415.9,1,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,369.999999916464,55.9937136825813,296,-148,1.10999999775325,415.9,1,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,369.99999991929,-18.9470049871693,296,-148,1.04845546355008,415.9,1,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,296,-148,1.02665,415.9,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,369.99999991929,-18.9470049871693,296,-148,1.04845546355008,415.9,1,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,296,-148,1.02665,415.9,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,369.999999919279,18.9020537604985,296,-148,1.04848496323234,415.9,1,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,369.999999919279,18.9020537604985,296,-148,1.04848496323234,415.9,1,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,214.99999884802,-33.9999715320266,172,-86,1.09951464374759,253.9,1,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,164,-82,1.09091,242.7,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,224.99999884802,-33.9999715320412,180,-90,1.09951464374759,267.7,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,224.999998841044,-33.9999719583514,180,-90,1.09944965992361,267.7,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,224.999998841044,-33.9999719583514,180,-90,1.09944965992361,267.7,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,164,-82,1.09091,242.7,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,534.999999252344,-19.2546949684224,428,-214,1.03363428120461,646.5,1,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,448,-224,1.01857,659.3,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,119.646535692172,-0.99999803843211,180,-90,1.08927391644906,247.9,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,149.559812818531,-15.9999980418292,180,-90,1.08922622923496,259.9,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,180,-90,1.09116,259.9,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0.0131473300450538,-15.9999982276121,180,-90,1.04332221919944,259.9,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,61.4742095081062,-15.9999982281848,180,-90,1.04330442350487,259.9,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,180,-90,1.04036,247.9,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,61.4742095081062,-15.9999982281848,180,-90,1.04330442350487,259.9,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,48.0999999796951,1.18701299271823e-05,38.48,-19.24,1.09170371161355,66.5,1,48.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,224.999999731525,55.9734606615598,180,-90,1.10148564267312,256.4,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,224.999999731525,55.9734606615598,180,-90,1.10148564267312,256.4,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,176,-88,1.09091,252,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,224.999999733738,-1.80987556570088,180,-90,1.09984489409195,256.4,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,224.999999733738,-1.80987556570088,180,-90,1.09984489409195,256.4,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,379.999999843416,-30.9999027655929,304,-152,1.03281901476362,445.2,1,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,296,-148,1.02168,434.6,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,8.99999997954835,7.87425259094081e-06,7.2,-3.6,1.09876758307479,12,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,5.99999997954835,7.87425259094081e-06,4.8,-2.4,1.09876758307479,6.1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,224.999999813147,111.50888339229,180,-90,1.09994511601289,256.4,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,180,-90,1.08898,256.4,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,119.999999781347,43.3543335638884,96,-48,1.09550921102654,144.2,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,96,-48,1.0874,144.2,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,96,-48,1.08993,150,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,119.999999662142,-1.99996188693891,96,-48,1.09935052226159,145.3,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,109.999999538917,4.4614644064959e-05,88,-44,1.09736229605782,117,1,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,214.999999826627,-34.9994458745959,172,-86,1.1002017741476,253.9,1,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,224.999999826541,24.1710002099027,180,-90,1.10010904949375,265,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,214.999999826541,23.124475581458,172,-86,1.10010904949375,253.9,1,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,224.999999832375,-39.9999918608088,180,-90,1.0369109001462,265,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,176,-88,1.02511,259.2,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,124.999999979725,39.9999844390716,100,-50,1.10077874988693,131.2,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,0,0,100,-50,1.08591,131.2,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,100,-50,1.08371,131.2,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,100,-50,1.08371,131.2,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,0,96,-48,1.09091,150,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,119.999999826889,13.6477086590671,96,-48,1.10999999587892,150,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,119.999999826899,36.6422158394133,96,-48,1.10999999562147,150,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,40,-20,1.08954,51.4,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,40,-20,1.08954,51.4,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,96,-48,1.08953,150,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,177.6,-88.8,1.08582,267.4,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,164,-82,1.08582,253.4,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,164,-82,1.08582,253.4,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,158.384163164382,95.7887202706203,177.6,-88.8,1.10999999767701,267.4,1,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,6.51037780495382e-06,-22.9977459327825,177.6,-88.8,1.04033263144204,253.8,1,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,6.53035830977045e-06,-26.6241161451296,177.6,-88.8,1.04032235008365,267.4,1,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,177.6,-88.8,1.025,253.8,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,234.999999661572,-52.9999708123629,188,-94,1.08712905574504,278.3,1,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,188,-94,1.09091,278.3,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,260.999999661572,2.9186269295229e-05,208.8,-104.4,1.08712905574504,287.3,1,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,208.8,-104.4,1.09091,292.5,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,208.8,-104.4,1.09091,287.3,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,204.99999966197,-21.999968783983,164,-82,1.08716069033316,236,1,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,205.99999966197,-19.9999687841608,164.8,-82.4,1.08716069033316,233.1,1,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
