bus,bus_type,status,P,Q,fracS,fracY,fracE,gamma,Qmin,Qmax,Qinc,Qcon
26,1,1,61.358,72.054,1,0,0,0,0,0,0,0
27,1,1,84.861,122.06,1,0,0,0,0,0,0,0
28,1,1,49,74,1,0,0,0,0,0,0,0
29,1,1,49,74,1,0,0,0,0,0,0,0
42,1,1,25,0,1,0,0,0,0,0,0,0
43,1,1,26,0,1,0,0,0,0,0,0,0
44,1,1,25,0,1,0,0,0,0,0,0,0
54,1,1,13,0,1,0,0,0,0,0,0,0
55,1,1,13,0,1,0,0,0,0,0,0,0
56,1,1,13,0,1,0,0,0,0,0,0,0
57,1,1,26,0,1,0,0,0,0,0,0,0
58,1,1,89.067,40,1,0,0,0,0,0,0,0
69,1,1,10.327,0,1,0,0,0,0,0,0,0
70,1,1,8.032,3.714,1,0,0,0,0,0,0,0
77,1,1,27,70,1,0,0,0,0,0,0,0
78,1,1,18.7,42,1,0,0,0,0,0,0,0
79,1,1,4.934,0.817,1,0,0,0,0,0,0,0
81,1,1,18,57,1,0,0,0,0,0,0,0
85,1,1,44.864,-6.4,1,0,0,0,0,0,0,0
97,1,1,12.49,3.696,1,0,0,0,0,0,0,0
98,1,1,17.327,6.126,1,0,0,0,0,0,0,0
103,1,1,14,40,1,0,0,0,0,0,0,0
105,1,1,7,18,1,0,0,0,0,0,0,0
107,1,1,0,13.892,1,0,0,0,0,0,0,0
108,1,1,73.779,8.097,1,0,0,0,0,0,0,0
116,1,1,8,15,1,0,0,0,0,0,0,0
117,1,1,5.5,10,1,0,0,0,0,0,0,0
124,1,1,11,17.5,1,0,0,0,0,0,0,0
125,1,1,41.353,61.2,1,0,0,0,0,0,0,0
126,1,1,14,33,1,0,0,0,0,0,0,0
131,1,1,1.5,9,1,0,0,0,0,0,0,0
133,1,1,11.215,8.3,1,0,0,0,0,0,0,0
134,1,1,10.333,7.7,1,0,0,0,0,0,0,0
147,1,1,25.553,12.9,1,0,0,0,0,0,0,0
149,1,1,11,12,1,0,0,0,0,0,0,0
150,1,1,11.922,13.7,1,0,0,0,0,0,0,0
154,1,1,19.475,64.3,1,0,0,0,0,0,0,0
155,1,1,16,33,1,0,0,0,0,0,0,0
157,1,1,10,25,1,0,0,0,0,0,0,0
163,1,1,5.54,2.93,1,0,0,0,0,0,0,0
164,1,1,18.255,11.5,1,0,0,0,0,0,0,0
179,1,1,3.13,1.5,1,0,0,0,0,0,0,0
208,1,1,9.59,1,1,0,0,0,0,0,0,0
209,1,1,4.795,0.5,1,0,0,0,0,0,0,0
210,1,1,4.262,2,1,0,0,0,0,0,0,0
211,1,1,6.5,5.4,1,0,0,0,0,0,0,0
212,1,1,2.877,0.6,1,0,0,0,0,0,0,0
213,1,1,3.197,0.3,1,0,0,0,0,0,0,0
214,1,1,21.711,12.3,1,0,0,0,0,0,0,0
215,1,1,12.254,2,1,0,0,0,0,0,0,0
216,1,1,6.926,2,1,0,0,0,0,0,0,0
217,1,1,10.655,1.5,1,0,0,0,0,0,0,0
218,1,1,7.672,3,1,0,0,0,0,0,0,0
219,1,1,8.524,2,1,0,0,0,0,0,0,0
221,1,1,6.606,2.1,1,0,0,0,0,0,0,0
222,1,1,8.099,1.5,1,0,0,0,0,0,0,0
223,1,1,0.746,0.1,1,0,0,0,0,0,0,0
224,1,1,3.943,0.2,1,0,0,0,0,0,0,0
225,1,1,3.197,0.5,1,0,0,0,0,0,0,0
226,1,1,12.787,1,1,0,0,0,0,0,0,0
227,1,1,4.475,0.7,1,0,0,0,0,0,0,0
228,1,1,4.262,0.7,1,0,0,0,0,0,0,0
229,1,1,2.451,0.98,1,0,0,0,0,0,0,0
230,1,1,2.451,0.98,1,0,0,0,0,0,0,0
231,1,1,5.327,1,1,0,0,0,0,0,0,0
232,1,1,4.262,1,1,0,0,0,0,0,0,0
233,1,1,9.057,0.4,1,0,0,0,0,0,0,0
234,1,1,31.966,28.001,1,0,0,0,0,0,0,0
235,1,1,5.86,0.8,1,0,0,0,0,0,0,0
236,1,1,8.631,2.94,1,0,0,0,0,0,0,0
237,1,1,5.967,0.2,1,0,0,0,0,0,0,0
238,1,1,5.328,0.5,1,0,0,0,0,0,0,0
240,1,1,12.04,1,1,0,0,0,0,0,0,0
241,1,1,3.836,1.18,1,0,0,0,0,0,0,0
242,1,1,3.729,0.4,1,0,0,0,0,0,0,0
243,1,1,3.729,0.4,1,0,0,0,0,0,0,0
244,1,1,2.131,1.1,1,0,0,0,0,0,0,0
246,1,1,0,5,1,0,0,0,0,0,0,0
247,1,1,7.458,1,1,0,0,0,0,0,0,0
248,1,1,2.131,0,1,0,0,0,0,0,0,0
249,1,1,2.131,0,1,0,0,0,0,0,0,0
250,1,1,2.664,0.5,1,0,0,0,0,0,0,0
251,1,1,3.516,0.1,1,0,0,0,0,0,0,0
252,1,1,11.721,5.4,1,0,0,0,0,0,0,0
253,1,1,11.721,4,1,0,0,0,0,0,0,0
254,1,1,10.122,1,1,0,0,0,0,0,0,0
255,1,1,12.787,1.5,1,0,0,0,0,0,0,0
256,1,1,4.795,0,1,0,0,0,0,0,0,0
