id,bus_type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin,LAM_P,LAM_Q,MU_VMAX,MU_VMIN,Vsp,locX,locY
1,1,0,0,0,0,1,1.10161885593238,36.932205485073,220,1,1.11,0.95,0,0,0,0,0,0,0
2,1,0,0,0,0,1,1.10760003104757,38.640681149237,220,1,1.11,0.95,0,0,0,0,0,0,0
3,1,0,0,0,0,1,1.07622903146859,13.3217828888112,220,1,1.11,0.95,0,0,0,0,0,0,0
4,1,0,0,0,0,1,1.07792597443293,32.8914452715707,220,1,1.11,0.95,0,0,0,0,0,0,0
5,1,0,0,0,0,1,1.07795303361894,32.8897579035483,220,1,1.11,0.95,0,0,0,0,0,0,0
6,1,0,0,0,0,1,0.870056025318923,22.726940021455,220,1,1.11,0.95,0,0,0,0,0,0,0
7,1,0,0,0,0,1,0.870056025318923,22.7342259198129,220,1,1.11,0.95,0,0,0,0,0,0,0
8,1,0,0,0,0,1,1.03322974102865,26.480445107047,400,1,1.05,0.95,0,0,0,0,0,0,0
9,1,0,0,0,0,1,1.033222220642,26.4866038592018,400,1,1.05,0.95,0,0,0,0,0,0,0
10,1,0,0,0,0,1,1.04334627061236,23.0637426772437,220,1,1.11,0.95,0,0,0,0,0,0,0
11,1,0,0,0,0,1,1.04354777799165,23.0545577006751,220,1,1.11,0.95,0,0,0,0,0,0,0
12,1,0,0,0,0,1,1.04360100363257,23.0546822667384,220,1,1.11,0.95,0,0,0,0,0,0,0
13,1,0,0,0,0,1,0.868981236723182,23.0430761633955,220,1,1.11,0.95,0,0,0,0,0,0,0
14,1,0,0,0,0,1,1.03980392092761,27.637005496457,400,1,1.05,0.95,0,0,0,0,0,0,0
15,1,0,0,0,0,1,1.00597637184535,23.5710165160144,400,1,1.05,0.95,0,0,0,0,0,0,0
16,1,0,0,0,0,1,1.00597637184535,23.5710165160144,400,1,1.05,0.95,0,0,0,0,0,0,0
17,2,0,0,0,0,1,1.08926997334518,16.1751070359731,220,1,1.11,0.95,0,0,0,0,0,0,0
18,1,0,0,0,0,1,1.08936615345388,16.1723265851457,220,1,1.11,0.95,0,0,0,0,0,0,0
19,1,0,0,0,0,1,1.09112994873708,33.8269699133727,220,1,1.11,0.95,0,0,0,0,0,0,0
20,1,0,0,0,0,1,1.09112559990778,33.8291879816486,220,1,1.11,0.95,0,0,0,0,0,0,0
21,1,0,0,0,0,1,0.903849492249512,21.5535441725104,220,1,1.11,0.95,0,0,0,0,0,0,0
