bus,bus_type,status,P,Q,fracS,fracY,fracE,gamma,Qmin,Qmax,Qinc,Qcon
26,1,1,61.358,72.054,1,0,0,0,0,0,0,0
27,1,1,84.861,122.06,1,0,0,0,0,0,0,0
28,1,1,49,74,1,0,0,0,0,0,0,0
29,1,1,49,74,1,0,0,0,0,0,0,0
42,1,1,25,0,1,0,0,0,0,0,0,0
43,1,1,26,0,1,0,0,0,0,0,0,0
44,1,1,25,0,1,0,0,0,0,0,0,0
54,1,1,13,0,1,0,0,0,0,0,0,0
55,1,1,13,0,1,0,0,0,0,0,0,0
56,1,1,13,0,1,0,0,0,0,0,0,0
57,1,1,26,0,1,0,0,0,0,0,0,0
58,1,1,89.067,40,1,0,0,0,0,0,0,0
69,1,1,10.327,0,1,0,0,0,0,0,0,0
70,1,1,8.032,3.714,1,0,0,0,0,0,0,0
77,1,1,27,70,1,0,0,0,0,0,0,0
78,1,1,18.7,42,1,0,0,0,0,0,0,0
79,1,1,4.934,0.817,1,0,0,0,0,0,0,0
81,1,1,18,57,1,0,0,0,0,0,0,0
85,1,1,44.864,-6.4,1,0,0,0,0,0,0,0
97,1,1,12.49,3.696,1,0,0,0,0,0,0,0
98,1,1,17.327,6.126,1,0,0,0,0,0,0,0
103,1,1,14,40,1,0,0,0,0,0,0,0
105,1,1,7,18,1,0,0,0,0,0,0,0
107,1,1,0,13.892,1,0,0,0,0,0,0,0
108,1,1,73.779,8.097,1,0,0,0,0,0,0,0
116,1,1,8,15,1,0,0,0,0,0,0,0
117,1,1,5.5,10,1,0,0,0,0,0,0,0
124,1,1,11,17.5,1,0,0,0,0,0,0,0
125,1,1,41.353,61.2,1,0,0,0,0,0,0,0
126,1,1,14,33,1,0,0,0,0,0,0,0
131,1,1,1.5,9,1,0,0,0,0,0,0,0
133,1,1,11.215,8.3,1,0,0,0,0,0,0,0
134,1,1,10.333,7.7,1,0,0,0,0,0,0,0
147,1,1,15.8871776462229,8.02037301437307,1,0,0,0,0,0,0,0
149,1,1,6.83907776419409,7.46081210639355,1,0,0,0,0,0,0,0
150,1,1,7.412316827702,8.51776048813264,1,0,0,0,0,0,0,0
154,1,1,19.475,64.3,1,0,0,0,0,0,0,0
155,1,1,16,33,1,0,0,0,0,0,0,0
157,1,1,10,25,1,0,0,0,0,0,0,0
163,1,1,5.54,2.93,1,0,0,0,0,0,0,0
164,1,1,18.255,11.5,1,0,0,0,0,0,0,0
179,1,1,1.94602849108432,0.932601513299194,1,0,0,0,0,0,0,0
209,1,1,1.40404262040991,0.146406946862347,1,0,0,0,0,0,0,0
212,1,1,2.877,0.6,1,0,0,0,0,0,0,0
213,1,1,3.197,0.3,1,0,0,0,0,0,0,0
214,1,1,16.8827146797105,9.56461657963428,1,0,0,0,0,0,0,0
215,1,1,5.48524149197137,0.895257302427186,1,0,0,0,0,0,0,0
216,1,1,5.38573450654854,1.55522220807061,1,0,0,0,0,0,0,0
217,1,1,8.28544631349619,1.16641665605296,1,0,0,0,0,0,0,0
221,1,1,6.606,2.1,1,0,0,0,0,0,0,0
223,1,1,0.746,0.1,1,0,0,0,0,0,0,0
225,1,1,2.48602269960088,0.388805552017653,1,0,0,0,0,0,0,0
229,1,1,2.451,0.98,1,0,0,0,0,0,0,0
230,1,1,2.451,0.98,1,0,0,0,0,0,0,0
232,1,1,4.262,1,1,0,0,0,0,0,0,0
233,1,1,9.057,0.4,1,0,0,0,0,0,0,0
234,1,1,31.966,28.001,1,0,0,0,0,0,0,0
236,1,1,8.631,2.94,1,0,0,0,0,0,0,0
241,1,1,3.836,1.18,1,0,0,0,0,0,0,0
242,1,1,3.729,0.4,1,0,0,0,0,0,0,0
243,1,1,3.729,0.4,1,0,0,0,0,0,0,0
244,1,1,1.65708926269924,0.855372214438838,1,0,0,0,0,0,0,0
246,1,1,0,5,1,0,0,0,0,0,0,0
247,1,1,4.11915480956168,0.552313597420445,1,0,0,0,0,0,0,0
248,1,1,1.65708926269924,0,1,0,0,0,0,0,0,0
249,1,1,1.65708926269924,0,1,0,0,0,0,0,0,0
250,1,1,0.878595228487376,0.164901506848231,1,0,0,0,0,0,0,0
255,1,1,0.881032619902149,0.103350975979763,1,0,0,0,0,0,0,0
257,1,1,3.197,0.65,1,0,0,0,0,0,0,0
258,1,1,3.197,0.65,1,0,0,0,0,0,0,0
259,1,1,7.992,2.47,1,0,0,0,0,0,0,0
264,1,1,25.574,22,1,0,0,0,0,0,0,0
265,1,1,34.097,30,1,0,0,0,0,0,0,0
266,1,1,27.704,0.8,1,0,0,0,0,0,0,0
268,1,1,9.59,0.8,1,0,0,0,0,0,0,0
269,1,1,2.12563070455765,0.712462109789727,1,0,0,0,0,0,0,0
270,1,1,0.199009731094311,0.0329595447324133,1,0,0,0,0,0,0,0
272,1,1,0.209380448980572,0.0491254065458539,1,0,0,0,0,0,0,0
274,1,1,0.16563116515952,0.0466566662421184,1,0,0,0,0,0,0,0
276,1,1,11.401,5.18,1,0,0,0,0,0,0,0
278,1,1,5.328,1.4,1,0,0,0,0,0,0,0
279,1,1,1.65708926269924,0.388805552017653,1,0,0,0,0,0,0,0
