f,t,R,X,B,rateA,rateB,rateC,tap,shift,status,angMin,angMax,Pf,Qf,Pt,Qt,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX,bus_type,tap_min,tap_max,Pf_des,ImF,ImT
1,2,0.0035,0.0411,0.6987,600,600,600,0.0,0,1,-360,360,443.4414936726728,0.0,-443.4414936726728,0.0,0,0,0,0,0,0,0,0,0,0
1,39,0.001,0.025,0.75,1000,1000,1000,0.0,0,1,-360,360,-443.44149367267266,0.0,443.44149367267266,0.0,0,0,0,0,0,0,0,0,0,0
2,3,0.0013,0.0151,0.2572,500,500,500,0.0,0,1,-360,360,487.5766177232505,0.0,-487.5766177232505,0.0,0,0,0,0,0,0,0,0,0,0
2,25,0.007,0.0086,0.146,500,500,500,0.0,0,1,-360,360,-44.13512405057897,0.0,44.13512405057897,0.0,0,0,0,0,0,0,0,0,0,0
2,30,0.0,0.0181,0.0,900,900,2500,1.025,0,1,-360,360,1.3034386338831257e-12,0.0,-1.3034386338831257e-12,0.0,0,0,0,0,0,0,0,0,0,0
3,4,0.0013,0.0213,0.2214,500,500,500,0.0,0,1,-360,360,186.76068613759134,0.0,-186.76068613759134,0.0,0,0,0,0,0,0,0,0,0,0
3,18,0.0011,0.0133,0.2138,500,500,500,0.0,0,1,-360,360,-21.184068414337908,0.0,21.184068414337908,0.0,0,0,0,0,0,0,0,0,0,0
4,5,0.0008,0.0128,0.1342,600,600,600,0.0,0,1,-360,360,-245.34491198368707,0.0,245.34491198368707,0.0,0,0,0,0,0,0,0,0,0,0
4,14,0.0008,0.0129,0.1382,500,500,500,0.0,0,1,-360,360,-67.89440187872174,0.0,67.89440187872174,0.0,0,0,0,0,0,0,0,0,0,0
5,6,0.0002,0.0026,0.0434,1200,1200,1200,0.0,0,1,-360,360,-16.43679029982247,0.0,16.43679029982247,0.0,0,0,0,0,0,0,0,0,0,0
5,8,0.0008,0.0112,0.1476,900,900,900,0.0,0,1,-360,360,-228.9081216838646,0.0,228.9081216838646,0.0,0,0,0,0,0,0,0,0,0,0
6,7,0.0006,0.0092,0.113,900,900,900,0.0,0,1,-360,360,-104.75038464345978,0.0,104.75038464345978,0.0,0,0,0,0,0,0,0,0,0,0
6,11,0.0007,0.0082,0.1389,480,480,480,0.0,0,1,-360,360,88.31359434363335,0.0,-88.31359434363335,0.0,0,0,0,0,0,0,0,0,0,0
6,31,0.0,0.025,0.0,1800,1800,1800,1.07,0,1,-360,360,3.954940109519098e-12,0.0,-3.954940109519098e-12,0.0,0,0,0,0,0,0,0,0,0,0
7,8,0.0004,0.0046,0.078,900,900,900,0.0,0,1,-360,360,-338.5503846434597,0.0,338.5503846434597,0.0,0,0,0,0,0,0,0,0,0,0
8,9,0.0023,0.0363,0.3804,900,900,900,0.0,0,1,-360,360,-567.4585063273244,0.0,567.4585063273244,0.0,0,0,0,0,0,0,0,0,0,0
9,39,0.001,0.025,1.2,900,900,900,0.0,0,1,-360,360,-573.9585063273237,0.0,573.9585063273237,0.0,0,0,0,0,0,0,0,0,0,0
10,11,0.0004,0.0043,0.0729,600,600,600,0.0,0,1,-360,360,-80.36906598217676,0.0,80.36906598217676,0.0,0,0,0,0,0,0,0,0,0,0
10,13,0.0004,0.0043,0.0729,600,600,600,0.0,0,1,-360,360,80.36906598217756,0.0,-80.36906598217756,0.0,0,0,0,0,0,0,0,0,0,0
10,32,0.0,0.02,0.0,900,900,2500,1.07,0,1,-360,360,-6.938893903907228e-13,0.0,6.938893903907228e-13,0.0,0,0,0,0,0,0,0,0,0,0
12,11,0.0016,0.0435,0.0,500,500,500,1.006,0,1,-360,360,-7.944528361456596,0.0,7.944528361456596,0.0,0,0,0,0,0,0,0,0,0,0
12,13,0.0016,0.0435,0.0,500,500,500,1.006,0,1,-360,360,7.944528361456593,0.0,-7.944528361456593,0.0,0,0,0,0,0,0,0,0,0,0
13,14,0.0009,0.0101,0.1723,600,600,600,0.0,0,1,-360,360,88.31359434363422,0.0,-88.31359434363422,0.0,0,0,0,0,0,0,0,0,0,0
14,15,0.0018,0.0217,0.366,600,600,600,0.0,0,1,-360,360,20.419192464912477,0.0,-20.419192464912477,0.0,0,0,0,0,0,0,0,0,0,0
15,16,0.0009,0.0094,0.171,600,600,600,0.0,0,1,-360,360,-299.58080753508636,0.0,299.58080753508636,0.0,0,0,0,0,0,0,0,0,0,0
16,17,0.0007,0.0089,0.1342,600,600,600,0.0,0,1,-360,360,-278.68080753508355,0.0,278.68080753508355,0.0,0,0,0,0,0,0,0,0,0,0
16,19,0.0016,0.0195,0.304,600,600,2500,0.0,0,1,-360,360,-600.0000000000034,0.0,600.0000000000034,0.0,0,0,0,0,0,0,0,0,0,0
16,21,0.0008,0.0135,0.2548,600,600,600,0.0,0,1,-360,360,75.57038461538274,0.0,-75.57038461538274,0.0,0,0,0,0,0,0,0,0,0,0
16,24,0.0003,0.0059,0.068,600,600,600,0.0,0,1,-360,360,174.52961538461636,0.0,-174.52961538461636,0.0,0,0,0,0,0,0,0,0,0,0
17,18,0.0007,0.0082,0.1319,600,600,600,0.0,0,1,-360,360,179.1840684143384,0.0,-179.1840684143384,0.0,0,0,0,0,0,0,0,0,0,0
17,27,0.0013,0.0173,0.3216,600,600,600,0.0,0,1,-360,360,-457.86487594942207,0.0,457.86487594942207,0.0,0,0,0,0,0,0,0,0,0,0
19,20,0.0007,0.0138,0.0,900,900,2500,1.06,0,1,-360,360,-507.99999999999994,0.0,507.99999999999994,0.0,0,0,0,0,0,0,0,0,0,0
19,33,0.0007,0.0142,0.0,900,900,2500,1.07,0,1,-360,360,-92.00000000000395,0.0,92.00000000000395,0.0,0,0,0,0,0,0,0,0,0,0
20,34,0.0009,0.018,0.0,900,900,2500,1.009,0,1,-360,360,-508.0,0.0,508.0,0.0,0,0,0,0,0,0,0,0,0,0
21,22,0.0008,0.014,0.2565,900,900,900,0.0,0,1,-360,360,-198.42961538461486,0.0,198.42961538461486,0.0,0,0,0,0,0,0,0,0,0,0
22,23,0.0006,0.0096,0.1846,600,600,600,0.0,0,1,-360,360,-198.42961538461455,0.0,198.42961538461455,0.0,0,0,0,0,0,0,0,0,0,0
22,35,0.0,0.0143,0.0,900,900,2500,1.025,0,1,-360,360,-3.3966613515629793e-13,0.0,3.3966613515629793e-13,0.0,0,0,0,0,0,0,0,0,0,0
23,24,0.0022,0.035,0.361,600,600,600,0.0,0,1,-360,360,134.07038461538505,0.0,-134.07038461538505,0.0,0,0,0,0,0,0,0,0,0,0
23,36,0.0005,0.0272,0.0,900,900,2500,1.0,0,1,-360,360,-580.0,0.0,580.0,0.0,0,0,0,0,0,0,0,0,0,0
25,26,0.0032,0.0323,0.531,600,600,600,0.0,0,1,-360,360,-268.13512405057924,0.0,268.13512405057924,0.0,0,0,0,0,0,0,0,0,0,0
25,37,0.0006,0.0232,0.0,900,900,2500,1.025,0,1,-360,360,5.981805089575198e-14,0.0,-5.981805089575198e-14,0.0,0,0,0,0,0,0,0,0,0,0
26,27,0.0014,0.0147,0.2396,600,600,600,0.0,0,1,-360,360,457.86487594942196,0.0,-457.86487594942196,0.0,0,0,0,0,0,0,0,0,0,0
26,28,0.0043,0.0474,0.7802,600,600,600,0.0,0,1,-360,360,-432.50000000000125,0.0,432.50000000000125,0.0,0,0,0,0,0,0,0,0,0,0
26,29,0.0057,0.0625,1.029,600,600,600,0.0,0,1,-360,360,-432.5000000000012,0.0,432.5000000000012,0.0,0,0,0,0,0,0,0,0,0,0
28,29,0.0014,0.0151,0.249,600,600,600,0.0,0,1,-360,360,-432.5000000000008,0.0,432.5000000000008,0.0,0,0,0,0,0,0,0,0,0,0
29,38,0.0008,0.0156,0.0,1200,1200,2500,1.025,0,1,-360,360,-865.0000000000015,0.0,865.0000000000015,0.0,0,0,0,0,0,0,0,0,0,0
