bus,Pg,Qg,Qmax,Qmin,Vsp,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,rampAGC,ramp10,ramp30,rampQ,npf,MU_PMAX,MU_PMIN,MU_QMAX,MU_QMIN
30,-1.4210854715202004e-12,161.762,400,140,1.0499,100,1,1040.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,8.185452315956354e-12,221.574,300,-100,0.982,100,1,646.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,6.821210263296962e-13,206.965,300,150,0.9841,100,1,725.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,92.00000000000364,108.293,250,0,0.9972,100,1,652.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,508.0,166.688,167,0,1.0123,100,1,508.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3.410605131648481e-13,210.661,300,-100,1.0494,100,1,687.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,580.0,100.165,240,0,1.0636,100,1,580.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.0,-1.36945,250,0,1.0275,100,1,564.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,865.0,21.7327,300,-150,1.0265,100,1,865.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1017.3999999999962,78.4674,300,-100,1.03,100,1,1100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,97.6,0.0,167,0,1.0123,100,1,97.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.9558577807620168e-12,0.0,240,0,1.0636,100,1,322.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-1.7053025658242404e-13,0.0,300,-100,0.982,100,1,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8.526512829121202e-14,0.0,167,0,1.0123,100,1,233.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,522.0,0.0,300,-100,0.982,100,1,522.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4.050093593832571e-13,0.0,300,-150,1.0265,100,1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,8.53,0.0,300,-150,1.0265,100,1,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1.1368683772161603e-12,0.0,240,0,1.0636,100,1,320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-1.3642420526593924e-12,0.0,240,0,1.0636,100,1,329.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-5.400124791776761e-13,0.0,250,0,1.0275,100,1,158.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,680.0,0.0,167,0,1.0123,100,1,680.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2.3874235921539366e-12,0.0,300,-150,1.0265,100,1,274.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,-3.979039320256561e-13,0.0,167,0,1.0123,100,1,247.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,-1.3642420526593924e-12,0.0,300,-150,1.0265,100,1,308.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,-1.1368683772161603e-13,0.0,300,-150,1.0265,100,1,224.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,-1.1084466677857563e-12,0.0,167,0,1.0123,100,1,139.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,281.0,0.0,167,0,1.0123,100,1,281.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,206.0,0.0,300,-150,1.0265,100,1,206.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,283.5,0.0,167,0,1.0123,100,1,283.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1104.0,0.0,400,140,1.0499,100,1,1104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
