f,t,R,X,B,rateA,rateB,rateC,tap,shift,status,angMin,angMax,Pf,Qf,Pt,Qt,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX,bus_type,tap_min,tap_max,Pf_des,ImF,ImT
1,2,0.0035,0.0411,0.6987,600,600,600,0.0,0,1.0,-360,360,-178.3535831714147,0.0,178.3535831714147,0.0,0,0,0,0,0,0,0,0,0,0
1,39,0.001,0.025,0.75,1000,1000,1000,0.0,0,1.0,-360,360,80.75358317141456,0.0,-80.75358317141456,0.0,0,0,0,0,0,0,0,0,0,0
2,3,0.0013,0.0151,0.2572,500,500,500,0.0,0,1.0,-360,360,333.4301566895016,0.0,-333.4301566895016,0.0,0,0,0,0,0,0,0,0,0,0
2,25,0.007,0.0086,0.146,500,500,500,0.0,0,1.0,-360,360,-261.78373986091617,0.0,261.78373986091617,0.0,0,0,0,0,0,0,0,0,0,0
2,30,0.0,0.0181,0.0,900,900,2500,1.025,0,1.0,-360,360,-249.99999999999986,0.0,249.99999999999986,0.0,0,0,0,0,0,0,0,0,0,0
3,4,0.0013,0.0213,0.2214,500,500,500,0.0,0,1.0,-360,360,54.115273055652416,0.0,-54.115273055652416,0.0,0,0,0,0,0,0,0,0,0,0
3,18,0.0011,0.0133,0.2138,500,500,500,0.0,0,1.0,-360,360,-42.68511636615075,0.0,42.68511636615075,0.0,0,0,0,0,0,0,0,0,0,0
4,5,0.0008,0.0128,0.1342,600,600,600,0.0,0,1.0,-360,360,-177.6870860885065,0.0,177.6870860885065,0.0,0,0,0,0,0,0,0,0,0,0
4,14,0.0008,0.0129,0.1382,500,500,500,0.0,0,1.0,-360,360,-268.19764085584075,0.0,268.19764085584075,0.0,0,0,0,0,0,0,0,0,0,0
5,6,0.0002,0.0026,0.0434,1200,1200,1200,0.0,0,1.0,-360,360,-514.754989291563,0.0,514.754989291563,0.0,0,0,0,0,0,0,0,0,0,0
5,8,0.0008,0.0112,0.1476,900,900,900,0.0,0,1.0,-360,360,337.0679032030567,0.0,-337.0679032030567,0.0,0,0,0,0,0,0,0,0,0,0
6,7,0.0006,0.0092,0.113,900,900,900,0.0,0,1.0,-360,360,448.47851362552893,0.0,-448.47851362552893,0.0,0,0,0,0,0,0,0,0,0,0
6,11,0.0007,0.0082,0.1389,480,480,480,0.0,0,1.0,-360,360,-338.2035029170931,0.0,338.2035029170931,0.0,0,0,0,0,0,0,0,0,0,0
6,31,0.0,0.025,0.0,1800,1800,1800,1.07,0,1.0,-360,360,-625.0299999999967,0.0,625.0299999999967,0.0,0,0,0,0,0,0,0,0,0,0
7,8,0.0004,0.0046,0.078,900,900,900,0.0,0,1.0,-360,360,214.67851362552875,0.0,-214.67851362552875,0.0,0,0,0,0,0,0,0,0,0,0
8,9,0.0023,0.0363,0.3804,900,900,900,0.0,0,1.0,-360,360,29.74641682858549,0.0,-29.74641682858549,0.0,0,0,0,0,0,0,0,0,0,0
9,39,0.001,0.025,1.2,900,900,900,0.0,0,1.0,-360,360,23.246416828585303,0.0,-23.246416828585303,0.0,0,0,0,0,0,0,0,0,0,0
10,11,0.0004,0.0043,0.0729,600,600,600,0.0,0,1.0,-360,360,340.89706855425777,0.0,-340.89706855425777,0.0,0,0,0,0,0,0,0,0,0,0
10,13,0.0004,0.0043,0.0729,600,600,600,0.0,0,1.0,-360,360,309.1029314457429,0.0,-309.1029314457429,0.0,0,0,0,0,0,0,0,0,0,0
10,32,0.0,0.02,0.0,900,900,2500,1.07,0,1.0,-360,360,-650.0,0.0,650.0,0.0,0,0,0,0,0,0,0,0,0,0
12,11,0.0016,0.0435,0.0,500,500,500,1.006,0,1.0,-360,360,-2.693565637165367,0.0,2.693565637165367,0.0,0,0,0,0,0,0,0,0,0,0
12,13,0.0016,0.0435,0.0,500,500,500,1.006,0,1.0,-360,360,-5.836434362834649,0.0,5.836434362834649,0.0,0,0,0,0,0,0,0,0,0,0
13,14,0.0009,0.0101,0.1723,600,600,600,0.0,0,1.0,-360,360,303.26649708290876,0.0,-303.26649708290876,0.0,0,0,0,0,0,0,0,0,0,0
