bus,bus_type,status,P,Q,fracS,fracY,fracE,gamma,Qmin,Qmax,Qinc,Qcon
1,1,1,97.6,44.2,1,0,0,0,0,0,0,0
3,1,1,322.0,2.4,1,0,0,0,0,0,0,0
4,1,1,500.0,184.0,1,0,0,0,0,0,0,0
7,1,1,233.80000000000004,84.0,1,0,0,0,0,0,0,0
8,1,1,522.0,176.6,1,0,0,0,0,0,0,0
9,1,1,6.5,-66.6,1,0,0,0,0,0,0,0
12,1,1,8.53,88.0,1,0,0,0,0,0,0,0
15,1,1,320.0,153.0,1,0,0,0,0,0,0,0
16,1,1,329.0,32.3,1,0,0,0,0,0,0,0
18,1,1,158.0,30.0,1,0,0,0,0,0,0,0
20,1,1,680.0,103.0,1,0,0,0,0,0,0,0
21,1,1,274.0,115.0,1,0,0,0,0,0,0,0
23,1,1,247.5,84.6,1,0,0,0,0,0,0,0
24,1,1,308.6,-92.2,1,0,0,0,0,0,0,0
25,1,1,224.00000000000003,47.2,1,0,0,0,0,0,0,0
26,1,1,139.0,17.0,1,0,0,0,0,0,0,0
27,1,1,281.00000000000006,75.5,1,0,0,0,0,0,0,0
28,1,1,206.0,27.6,1,0,0,0,0,0,0,0
29,1,1,283.5,26.9,1,0,0,0,0,0,0,0
31,1,1,9.2,4.6,1,0,0,0,0,0,0,0
39,1,1,1104.0,250.0,1,0,0,0,0,0,0,0
