bus,Pg,Qg,Qmax,Qmin,Vsp,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,rampAGC,ramp10,ramp30,rampQ,npf,MU_PMAX,MU_PMIN,MU_QMAX,MU_QMIN
30,0.0,161.762,400,140,1.0499,100,1,1040.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,-2165.8119241100167,221.574,300,-100,0.982,100,1,646.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.0,206.965,300,150,0.9841,100,1,725.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.0,108.293,250,0,0.9972,100,1,652.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,79.99999999999878,166.688,167,0,1.0123,100,1,508.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.0,210.661,300,-100,1.0494,100,1,687.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.0,100.165,240,0,1.0636,100,1,580.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,562.505645012655,-1.36945,250,0,1.0275,100,1,564.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.0,21.7327,300,-150,1.0265,100,1,865.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.0,78.4674,300,-100,1.03,100,1,1100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.0,-1.36945,250,0,1.0275,100,1,104.31944900001697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.0,161.762,400,140,1.0499,100,1,182.1705866126996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.0,161.762,400,140,1.0499,100,1,44.541628849114325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1544.4854662085404,-1.36945,250,0,1.0275,100,1,212.854836458564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1070.129212970759,21.7327,300,-150,1.0265,100,1,54.057893395123706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1317.9738196555795,-1.36945,250,0,1.0275,100,1,128.54188757923134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,471.8707870292429,161.762,400,140,1.0499,100,1,190.48700653120736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,487.05432439834175,-1.36945,250,0,1.0275,100,1,225.94434012680713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0,78.4674,300,-100,1.03,100,1,151.3293450919594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.0,21.7327,300,-150,1.0265,100,1,110.00807385405813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0,21.7327,300,-150,1.0265,100,1,220.31839128883078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0,161.762,400,140,1.0499,100,1,130.61131128286053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,720.2107447248907,166.688,167,0,1.0123,100,1,121.08424992952706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
