f,t,R,X,B,rateA,rateB,rateC,tap,shift,status,angMin,angMax,Pf,Qf,Pt,Qt,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX,bus_type,tap_min,tap_max,Pf_des,ImF,ImT
1,2,0.0035,0.0411,0.6987,600,600,600,0.0,0,1,-360,360,-97.17295983635907,0.0,97.17295983635907,0.0,0,0,0,0,0,0,0,0,0,0
1,39,0.001,0.025,0.75,1000,1000,1000,0.0,0,1,-360,360,19.092959836359114,0.0,-19.092959836359114,0.0,0,0,0,0,0,0,0,0,0,0
2,3,0.0013,0.0151,0.2572,500,500,500,0.0,0,1,-360,360,471.2407354585154,0.0,-471.2407354585154,0.0,0,0,0,0,0,0,0,0,0,0
2,25,0.007,0.0086,0.146,500,500,500,0.0,0,1,-360,360,-318.4136952948747,0.0,318.4136952948747,0.0,0,0,0,0,0,0,0,0,0,0
2,30,0.0,0.0181,0.0,900,900,2500,1.025,0,1,-360,360,-125.00000000000004,0.0,125.00000000000004,0.0,0,0,0,0,0,0,0,0,0,0
3,4,0.0013,0.0213,0.2214,500,500,500,0.0,0,1,-360,360,190.88787464083882,0.0,-190.88787464083882,0.0,0,0,0,0,0,0,0,0,0,0
3,18,0.0011,0.0133,0.2138,500,500,500,0.0,0,1,-360,360,22.75286081767711,0.0,-22.75286081767711,0.0,0,0,0,0,0,0,0,0,0,0
4,5,0.0008,0.0128,0.1342,600,600,600,0.0,0,1,-360,360,-172.6746058740593,0.0,172.6746058740593,0.0,0,0,0,0,0,0,0,0,0,0
4,14,0.0008,0.0129,0.1382,500,500,500,0.0,0,1,-360,360,-236.43751948510197,0.0,236.43751948510197,0.0,0,0,0,0,0,0,0,0,0,0
5,6,0.0002,0.0026,0.0434,1200,1200,1200,0.0,0,1,-360,360,-497.78167757643894,0.0,497.78167757643894,0.0,0,0,0,0,0,0,0,0,0,0
5,8,0.0008,0.0112,0.1476,900,900,900,0.0,0,1,-360,360,325.10707170238,0.0,-325.10707170238,0.0,0,0,0,0,0,0,0,0,0,0
6,7,0.0006,0.0092,0.113,900,900,900,0.0,0,1,-360,360,451.159968461261,0.0,-451.159968461261,0.0,0,0,0,0,0,0,0,0,0,0
6,11,0.0007,0.0082,0.1389,480,480,480,0.0,0,1,-360,360,-325.75164603769935,0.0,325.75164603769935,0.0,0,0,0,0,0,0,0,0,0,0
6,31,0.0,0.025,0.0,1800,1800,1800,1.07,0,1,-360,360,-623.189999999998,0.0,623.189999999998,0.0,0,0,0,0,0,0,0,0,0,0
7,8,0.0004,0.0046,0.078,900,900,900,0.0,0,1,-360,360,170.59996846126,0.0,-170.59996846126,0.0,0,0,0,0,0,0,0,0,0,0
8,9,0.0023,0.0363,0.3804,900,900,900,0.0,0,1,-360,360,-130.69295983635905,0.0,130.69295983635905,0.0,0,0,0,0,0,0,0,0,0,0
9,39,0.001,0.025,1.2,900,900,900,0.0,0,1,-360,360,-135.89295983635907,0.0,135.89295983635907,0.0,0,0,0,0,0,0,0,0,0,0
10,11,0.0004,0.0043,0.0729,600,600,600,0.0,0,1,-360,360,330.3416234861911,0.0,-330.3416234861911,0.0,0,0,0,0,0,0,0,0,0,0
10,13,0.0004,0.0043,0.0729,600,600,600,0.0,0,1,-360,360,319.6583765138102,0.0,-319.6583765138102,0.0,0,0,0,0,0,0,0,0,0,0
10,32,0.0,0.02,0.0,900,900,2500,1.07,0,1,-360,360,-325.0,0.0,325.0,0.0,0,0,0,0,0,0,0,0,0,0
12,11,0.0016,0.0435,0.0,500,500,500,1.006,0,1,-360,360,-4.589977448491549,0.0,4.589977448491549,0.0,0,0,0,0,0,0,0,0,0,0
12,13,0.0016,0.0435,0.0,500,500,500,1.006,0,1,-360,360,-5.646022551508509,0.0,5.646022551508509,0.0,0,0,0,0,0,0,0,0,0,0
13,14,0.0009,0.0101,0.1723,600,600,600,0.0,0,1,-360,360,314.01235396230277,0.0,-314.01235396230277,0.0,0,0,0,0,0,0,0,0,0,0
14,15,0.0018,0.0217,0.366,600,600,600,0.0,0,1,-360,360,77.57483447720071,0.0,-77.57483447720071,0.0,0,0,0,0,0,0,0,0,0,0
15,16,0.0009,0.0094,0.171,600,600,600,0.0,0,1,-360,360,-306.42516552279926,0.0,306.42516552279926,0.0,0,0,0,0,0,0,0,0,0,0
16,17,0.0007,0.0089,0.1342,600,600,600,0.0,0,1,-360,360,-41.13916552280236,0.0,41.13916552280236,0.0,0,0,0,0,0,0,0,0,0,0
16,19,0.0016,0.0195,0.304,600,600,2500,0.0,0,1,-360,360,-223.10299999999916,0.0,223.10299999999916,0.0,0,0,0,0,0,0,0,0,0,0
16,21,0.0008,0.0135,0.2548,600,600,600,0.0,0,1,-360,360,-258.8360512820515,0.0,258.8360512820515,0.0,0,0,0,0,0,0,0,0,0,0
16,24,0.0003,0.0059,0.068,600,600,600,0.0,0,1,-360,360,44.95605128205201,0.0,-44.95605128205201,0.0,0,0,0,0,0,0,0,0,0,0
17,18,0.0007,0.0082,0.1319,600,600,600,0.0,0,1,-360,360,103.64713918232357,0.0,-103.64713918232357,0.0,0,0,0,0,0,0,0,0,0,0
17,27,0.0013,0.0173,0.3216,600,600,600,0.0,0,1,-360,360,-144.78630470512536,0.0,144.78630470512536,0.0,0,0,0,0,0,0,0,0,0,0
19,20,0.0007,0.0138,0.0,900,900,2500,1.06,0,1,-360,360,185.794000000002,0.0,-185.794000000002,0.0,0,0,0,0,0,0,0,0,0,0
19,33,0.0007,0.0142,0.0,900,900,2500,1.07,0,1,-360,360,-315.9999999999999,0.0,315.9999999999999,0.0,0,0,0,0,0,0,0,0,0,0
20,34,0.0009,0.018,0.0,900,900,2500,1.009,0,1,-360,360,-254.0,0.0,254.0,0.0,0,0,0,0,0,0,0,0,0,0
21,22,0.0008,0.014,0.2565,900,900,900,0.0,0,1,-360,360,-587.6360512820511,0.0,587.6360512820511,0.0,0,0,0,0,0,0,0,0,0,0
22,23,0.0006,0.0096,0.1846,600,600,600,0.0,0,1,-360,360,62.363948717948894,0.0,-62.363948717948894,0.0,0,0,0,0,0,0,0,0,0,0
22,35,0.0,0.0143,0.0,900,900,2500,1.025,0,1,-360,360,-325.0,0.0,325.0,0.0,0,0,0,0,0,0,0,0,0,0
23,24,0.0022,0.035,0.361,600,600,600,0.0,0,1,-360,360,325.3639487179488,0.0,-325.3639487179488,0.0,0,0,0,0,0,0,0,0,0,0
23,36,0.0005,0.0272,0.0,900,900,2500,1.0,0,1,-360,360,-280.0,0.0,280.0,0.0,0,0,0,0,0,0,0,0,0,0
25,26,0.0032,0.0323,0.531,600,600,600,0.0,0,1,-360,360,42.38630470512535,0.0,-42.38630470512535,0.0,0,0,0,0,0,0,0,0,0,0
25,37,0.0006,0.0232,0.0,900,900,2500,1.025,0,1,-360,360,-270.00000000000006,0.0,270.00000000000006,0.0,0,0,0,0,0,0,0,0,0,0
26,27,0.0014,0.0147,0.2396,600,600,600,0.0,0,1,-360,360,369.5863047051252,0.0,-369.5863047051252,0.0,0,0,0,0,0,0,0,0,0,0
26,28,0.0043,0.0474,0.7802,600,600,600,0.0,0,1,-360,360,-199.29215999999994,0.0,199.29215999999994,0.0,0,0,0,0,0,0,0,0,0,0
26,29,0.0057,0.0625,1.029,600,600,600,0.0,0,1,-360,360,-239.10783999999995,0.0,239.10783999999995,0.0,0,0,0,0,0,0,0,0,0,0
28,29,0.0014,0.0151,0.249,600,600,600,0.0,0,1,-360,360,-364.09215999999986,0.0,364.09215999999986,0.0,0,0,0,0,0,0,0,0,0,0
29,38,0.0008,0.0156,0.0,1200,1200,2500,1.025,0,1,-360,360,-415.00000000000006,0.0,415.00000000000006,0.0,0,0,0,0,0,0,0,0,0,0
2,30,0.0,0.0181,0.0,900,900,2500,1.025,0,1,-360,360,-125.00000000000004,0.0,125.00000000000004,0.0,0,0,0,0,0,0,0,0,0,0
10,32,0.0,0.02,0.0,900,900,2500,1.07,0,1,-360,360,-325.0,0.0,325.0,0.0,0,0,0,0,0,0,0,0,0,0
16,19,0.0016,0.0195,0.304,600,600,2500,0.0,0,1,-360,360,-223.10299999999916,0.0,223.10299999999916,0.0,0,0,0,0,0,0,0,0,0,0
19,33,0.0007,0.0142,0.0,900,900,2500,1.07,0,1,-360,360,-315.9999999999999,0.0,315.9999999999999,0.0,0,0,0,0,0,0,0,0,0,0
20,34,0.0009,0.018,0.0,900,900,2500,1.009,0,1,-360,360,-254.0,0.0,254.0,0.0,0,0,0,0,0,0,0,0,0,0
22,35,0.0,0.0143,0.0,900,900,2500,1.025,0,1,-360,360,-325.0,0.0,325.0,0.0,0,0,0,0,0,0,0,0,0,0
23,36,0.0005,0.0272,0.0,900,900,2500,1.0,0,1,-360,360,-280.0,0.0,280.0,0.0,0,0,0,0,0,0,0,0,0,0
25,37,0.0006,0.0232,0.0,900,900,2500,1.025,0,1,-360,360,-270.00000000000006,0.0,270.00000000000006,0.0,0,0,0,0,0,0,0,0,0,0
29,38,0.0008,0.0156,0.0,1200,1200,2500,1.025,0,1,-360,360,-415.00000000000006,0.0,415.00000000000006,0.0,0,0,0,0,0,0,0,0,0,0
