id,bus_type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin,LAM_P,LAM_Q,MU_VMAX,MU_VMIN,Vsp,locX,locY
1,1,0,0,0,0,2,1.0,-10.46228767844863,345,1,1.06,0.94,0,0,0,0,0.0,0,0
2,1,0,0,0,0,2,1.0,-6.740238468447453,345,1,1.06,0.94,0,0,0,0,0.0,0,0
3,1,0,0,0,0,2,1.0,-9.923036381515688,345,1,1.06,0.94,0,0,0,0,0.0,0,0
4,1,0,0,0,0,1,1.0,-11.000752472836101,345,1,1.06,0.94,0,0,0,0,0.0,0,0
5,1,0,0,0,0,1,1.0,-9.706810505917193,345,1,1.06,0.94,0,0,0,0,0.0,0,0
6,1,0,0,0,0,1,1.0,-8.946306252621412,345,1,1.06,0.94,0,0,0,0,0.0,0,0
7,1,0,0,0,0,1,1.0,-11.313865076697358,345,1,1.06,0.94,0,0,0,0,0.0,0,0
8,1,0,0,0,0,1,1.0,-11.850629606752669,345,1,1.06,0.94,0,0,0,0,0.0,0,0
9,1,0,0,0,0,1,1.0,-11.635087231623821,345,1,1.06,0.94,0,0,0,0,0.0,0,0
10,1,0,0,0,0,1,1.0,-6.538592806089318,345,1,1.06,0.94,0,0,0,0,0.0,0,0
11,1,0,0,0,0,1,1.0,-7.3719658156077905,345,1,1.06,0.94,0,0,0,0,0.0,0,0
12,1,0,0,0,0,1,1.0,-7.450915723487587,345,1,1.06,0.94,0,0,0,0,0.0,0,0
13,1,0,0,0,0,1,1.0,-7.3066368339615,345,1,1.06,0.94,0,0,0,0,0.0,0,0
14,1,0,0,0,0,1,1.0,-9.077147988591419,345,1,1.06,0.94,0,0,0,0,0.0,0,0
15,1,0,0,0,0,3,1.0,-9.64528669995564,345,1,1.06,0.94,0,0,0,0,0.0,0,0
16,1,0,0,0,0,3,1.0,-8.081762969714159,345,1,1.06,0.94,0,0,0,0,0.0,0,0
17,1,0,0,0,0,2,1.0,-8.893533855011876,345,1,1.06,0.94,0,0,0,0,0.0,0,0
18,1,0,0,0,0,2,1.0,-9.72242622550444,345,1,1.06,0.94,0,0,0,0,0.0,0,0
19,1,0,0,0,0,3,1.0,-5.531311746878379,345,1,1.06,0.94,0,0,0,0,0.0,0,0
20,1,0,0,0,0,3,1.0,-6.918551029800723,345,1,1.06,0.94,0,0,0,0,0.0,0,0
21,1,0,0,0,0,3,1.0,-5.63914285567718,345,1,1.06,0.94,0,0,0,0,0.0,0,0
22,1,0,0,0,0,3,1.0,-0.7982959227812749,345,1,1.06,0.94,0,0,0,0,0.0,0,0
23,1,0,0,0,0,3,1.0,-1.0541146675547053,345,1,1.06,0.94,0,0,0,0,0.0,0,0
24,1,0,0,0,0,3,1.0,-8.005350713768513,345,1,1.06,0.94,0,0,0,0,0.0,0,0
25,1,0,0,0,0,2,1.0,-5.38055543770971,345,1,1.06,0.94,0,0,0,0,0.0,0,0
26,1,0,0,0,0,2,1.0,-6.329177773851345,345,1,1.06,0.94,0,0,0,0,0.0,0,0
27,1,0,0,0,0,2,1.0,-8.72270978682325,345,1,1.06,0.94,0,0,0,0,0.0,0,0
28,1,0,0,0,0,3,1.0,-2.0151808890822016,345,1,1.06,0.94,0,0,0,0,0.0,0,0
29,1,0,0,0,0,3,1.0,1.0522396494107809,345,1,1.06,0.94,0,0,0,0,0.0,0,0
30,2,0,0,0,0,2,1.0,-5.443921456963966,345,1,1.06,0.94,0,0,0,0,1.0499,0,0
31,3,0,0,0,0,1,1.0,0.0,345,1,1.06,0.94,0,0,0,0,0.982,0,0
32,2,0,0,0,0,1,1.0,-2.8143671377389667,345,1,1.06,0.94,0,0,0,0,0.9841,0,0
33,2,0,0,0,0,3,1.0,-2.9603355285673496,345,1,1.06,0.94,0,0,0,0,0.9972,0,0
34,2,0,0,0,0,3,1.0,-4.2989879904625985,345,1,1.06,0.94,0,0,0,0,1.0123,0,0
35,2,0,0,0,0,3,1.0,1.8645254300892258,345,1,1.06,0.94,0,0,0,0,1.0494,0,0
36,2,0,0,0,0,3,1.0,3.3095319001616437,345,1,1.06,0.94,0,0,0,0,1.0636,0,0
37,2,0,0,0,0,2,1.0,-1.7915478090102324,345,1,1.06,0.94,0,0,0,0,1.0275,0,0
38,2,0,0,0,0,3,1.0,4.76156841508773,345,1,1.06,0.94,0,0,0,0,1.0265,0,0
39,2,0,0,0,0,1,1.0,-11.398191710066028,345,1,1.06,0.94,0,0,0,0,1.03,0,0
