bus,Pg,Qg,Qmax,Qmin,Vsp,mBase,status,Pmax,Pmin,minDownTimeHr,minUpTimeHr,RampRateMW/Min,StartTimeColdHr,StartTimeWarmHr,StartTimeHotHr,StartHeatColdMBTU,StartHeatWarmMBTU,StartHeatHotMBTU,NonFuelStartCost$,NonFuelShutdownCost$,FOR,MTTF_Hr,MTTR_Hr,ScheduledMaintWeeks,FuelPrice$/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,Output_pct_4,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,HR_incr_4,VOM,FuelSulfurContent%,EmissionsSO2 Lbs/MMBTU,EmissionsNOXLbs/MMBTU,EmissionsPartLbs/MMBTU,EmissionsCO2 Lbs/MMBTU,EmissionsCH4Lbs/MMBTU,EmissionsN2OLbs/MMBTU,EmissionsCOLbs/MMBTU,EmissionsVOCsLbs/MMBTU,DampingRatio,InertiaMJ/MW,BaseMVA,TransformerXp.u.,UnitXp.u.,PumpLoadMW,StorageRoundtripEfficiency,GEN_UID,Gen_ID,UnitGroup,UnitType,Category,Fuel
30,250.0,161.762,400,140,1.0499,100,1,1040.0,0,0.0,0.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.01,1980,20,2.0,0.0,1.0,0.0,0.0,0,NA,3412,0,0,0,NA,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3.5,53,0.1,0.28,0,0,122_HYDRO_1,1,U50,HYDRO,Hydro,Hydro
31,634.2299999999998,221.574,300,-100,0.982,100,1,646.0,600,48.0,24.0,20.0,9999,9999.0,9999.0,78978.0,0.0,9999.0,0,0,0.12,1100,150,6.0,0.81035,0.99,0.993333333,0.996666667,1,NA,10000,10000,10000,10000,NA,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5.0,471,0.15,0.4,0,0,121_NUCLEAR_1,1,U400,NUCLEAR,Nuclear,Nuclear
32,650.0,206.965,300,150,0.9841,100,1,725.0,650,48.0,24.0,20.0,9999,9999.0,9999.0,78978.0,0.0,9999.0,0,0,0.12,1100,150,6.0,0.81035,0.99,0.993333333,0.996666667,1,NA,10000,10000,10000,10000,NA,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5.0,471,0.15,0.4,0,0,121_NUCLEAR_1,1,U400,NUCLEAR,Nuclear,Nuclear
33,632.0,108.293,250,0,0.9972,100,1,652.0,100,4.0,8.0,2.0,12,10.0,3.0,5284.8,4861.4,3379.4,0,0,0.02,1960,40,3.0,2.11399,0.394736842,0.596491228,0.798245614,1,NA,11846,9989,10070,12902,NA,0,Unit-specific,Unit-specific,Unit-specific,Unit-specific,210,0.001,0.004,0.02,0.003,0,3.0,89,0.13,0.3,0,0,202_STEAM_4,4,U76,STEAM,Coal,Coal
34,508.0000000000001,166.688,167,0,1.0123,100,1,508.0,50,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,13051,8804,9481,10955,NA,0,0,0.0006,0.079999998,0,118,0.0,0.0,0.0,0.0,0,2.8,64,0.13,0.32,0,0,207_CT_1,1,U55,CT,Gas CT,NG
35,650.0,210.661,300,-100,1.0494,100,1,687.0,600,48.0,24.0,20.0,9999,9999.0,9999.0,78978.0,0.0,9999.0,0,0,0.12,1100,150,6.0,0.81035,0.99,0.993333333,0.996666667,1,NA,10000,10000,10000,10000,NA,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5.0,471,0.15,0.4,0,0,121_NUCLEAR_1,1,U400,NUCLEAR,Nuclear,Nuclear
36,560.0,100.165,240,0,1.0636,100,1,580.0,250,1.0,1.0,3.0,1,0.0,0.0,5.0,5.0,5.0,0,0,0.1,450,50,2.0,10.3494,0.4,0.6,0.8,1,NA,14639,8597,9147,9622,NA,0,0.2,0.2,0.5,0.036,160,0.002,0.004,0.11,0.04,0,2.8,24,0.13,0.32,0,0,102_CT_1,1,U20,CT,Oil CT,Oil
37,540.0,-1.36945,250,0,1.0275,100,1,564.0,500,48.0,24.0,20.0,9999,9999.0,9999.0,78978.0,0.0,9999.0,0,0,0.12,1100,150,6.0,0.81035,0.99,0.993333333,0.996666667,1,NA,10000,10000,10000,10000,NA,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5.0,471,0.15,0.4,0,0,121_NUCLEAR_1,1,U400,NUCLEAR,Nuclear,Nuclear
38,830.0,21.7327,300,-150,1.0265,100,1,865.0,700,48.0,24.0,20.0,9999,9999.0,9999.0,78978.0,0.0,9999.0,0,0,0.12,1100,150,6.0,0.81035,0.99,0.993333333,0.996666667,1,NA,10000,10000,10000,10000,NA,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5.0,471,0.15,0.4,0,0,121_NUCLEAR_1,1,U400,NUCLEAR,Nuclear,Nuclear
39,1000.0,78.4674,300,-100,1.03,100,1,1100.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,NA,NA,NA,NA,DC Canada,NA
