f,t,R,X,B,rateA,rateB,rateC,tap,shift,status,angMin,angMax,Pf,Qf,Pt,Qt,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX,bus_type,tap_min,tap_max,Pf_des,ImF,ImT
1,2,0.1,0.2,0.04,40,40,40,0,0,1,-360,360,-5.866586704802323,0.0,5.866586704802323,0.0,0,0,0,0,0,0,0,0,0,0
1,4,0.05,0.2,0.04,60,60,60,0,0,1,-360,360,14.74512155741107,0.0,-14.74512155741107,0.0,0,0,0,0,0,0,0,0,0,0
1,5,0.08,0.3,0.06,40,40,40,0,0,1,-360,360,-8.878534852608754,0.0,8.878534852608754,0.0,0,0,0,0,0,0,0,0,0,0
2,3,0.05,0.25,0.06,40,40,40,0,0,1,-360,360,-35.59164090971997,0.0,35.59164090971997,0.0,0,0,0,0,0,0,0,0,0,0
2,4,0.05,0.1,0.02,60,60,60,0,0,1,-360,360,41.22341652442679,0.0,-41.22341652442679,0.0,0,0,0,0,0,0,0,0,0,0
2,5,0.1,0.3,0.04,30,30,30,0,0,1,-360,360,-4.967477049407205,0.0,4.967477049407205,0.0,0,0,0,0,0,0,0,0,0,0
2,6,0.07,0.2,0.05,90,90,90,0,0,1,-360,360,-6.530885270101952,0.0,6.530885270101952,0.0,0,0,0,0,0,0,0,0,0,0
3,5,0.12,0.26,0.05,70,70,70,0,0,1,-360,360,28.491027356183963,0.0,-28.491027356183963,0.0,0,0,0,0,0,0,0,0,0,0
3,6,0.02,0.1,0.02,80,80,80,0,0,1,-360,360,75.91733173409602,0.0,-75.91733173409602,0.0,0,0,0,0,0,0,0,0,0,0
4,5,0.2,0.4,0.08,20,20,20,0,0,1,-360,360,-14.0314619181621,0.0,14.0314619181621,0.0,0,0,0,0,0,0,0,0,0,0
5,6,0.1,0.3,0.06,40,40,40,0,0,1,-360,360,0.6135535360059033,0.0,-0.6135535360059033,0.0,0,0,0,0,0,0,0,0,0,0
