f,t,R,X,B,rateA,rateB,rateC,tap,shift,status,angMin,angMax,Pf,Qf,Pt,Qt,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX,bus_type,tap_min,tap_max,Pf_des,ImF,ImT
1,2,0.1,0.2,0.04,40,40,40,0,0,1,-360,360,25.328359881111655,0.0,-25.328359881111655,0.0,0,0,0,0,0,0,0,0,0,0
1,4,0.05,0.2,0.04,60,60,60,0,0,1,-360,360,41.56716467091519,0.0,-41.56716467091519,0.0,0,0,0,0,0,0,0,0,0,0
1,5,0.08,0.3,0.06,40,40,40,0,0,1,-360,360,33.10447544797317,0.0,-33.10447544797317,0.0,0,0,0,0,0,0,0,0,0,0
2,3,0.05,0.25,0.06,40,40,40,0,0,1,-360,360,1.853709329836109,0.0,-1.853709329836109,0.0,0,0,0,0,0,0,0,0,0,0
2,4,0.05,0.1,0.02,60,60,60,0,0,1,-360,360,32.47760957960707,0.0,-32.47760957960707,0.0,0,0,0,0,0,0,0,0,0,0
2,5,0.1,0.3,0.04,30,30,30,0,0,1,-360,360,16.218902193898735,0.0,-16.218902193898735,0.0,0,0,0,0,0,0,0,0,0,0
2,6,0.07,0.2,0.05,90,90,90,0,0,1,-360,360,24.77813877776974,0.0,-24.77813877776974,0.0,0,0,0,0,0,0,0,0,0,0
3,5,0.12,0.26,0.05,70,70,70,0,0,1,-360,360,16.931705098886894,0.0,-16.931705098886894,0.0,0,0,0,0,0,0,0,0,0,0
3,6,0.02,0.1,0.02,80,80,80,0,0,1,-360,360,44.922004230949206,0.0,-44.922004230949206,0.0,0,0,0,0,0,0,0,0,0,0
4,5,0.2,0.4,0.08,20,20,20,0,0,1,-360,360,4.044774250522284,0.0,-4.044774250522284,0.0,0,0,0,0,0,0,0,0,0,0
5,6,0.1,0.3,0.06,40,40,40,0,0,1,-360,360,0.2998569912810908,0.0,-0.2998569912810908,0.0,0,0,0,0,0,0,0,0,0,0
