f,t,R,X,B,rateA,rateB,rateC,tap,shift,status,angMin,angMax,Pf,Qf,Pt,Qt,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX,bus_type,tap_min,tap_max,Pf_des,ImF,ImT,UID,Perm OutRate,Duration,Tr Ratio,Tran OutRate,Length
101,102,0.003,0.014,0.461,175,193,200,0,0,1,-360,360,-19.273226144509675,0.0,19.273226144509675,0.0,0,0,0,0,0,0,0,0,0,0,A1,0.24,16,0.0,0.0,3.0
101,103,0.055,0.211,0.057,175,208,220,0,0,1,-360,360,93.29095779123203,0.0,-93.29095779123203,0.0,0,0,0,0,0,0,0,0,0,0,A2,0.51,10,0.0,2.9,55.0
101,105,0.022,0.085,0.023,175,208,220,0,0,1,-360,360,93.98226835327753,0.0,-93.98226835327753,0.0,0,0,0,0,0,0,0,0,0,0,A3,0.33,10,0.0,1.2,22.0
102,104,0.033,0.127,0.034,175,208,220,0,0,1,-360,360,83.39571618299925,0.0,-83.39571618299925,0.0,0,0,0,0,0,0,0,0,0,0,A4,0.39,10,0.0,1.7,33.0
102,106,0.05,0.192,0.052,175,208,220,0,0,1,-360,360,65.33105767249073,0.0,-65.33105767249073,0.0,0,0,0,0,0,0,0,0,0,0,A5,0.48,10,0.0,2.6,50.0
103,109,0.031,0.119,0.032,175,208,220,0,0,1,-360,360,-5.796695980674445,0.0,5.796695980674445,0.0,0,0,0,0,0,0,0,0,0,0,A6,0.38,10,0.0,1.6,31.0
103,124,0.002,0.084,0.0,400,510,600,0,0,1,-360,360,99.08765377190649,0.0,-99.08765377190649,0.0,0,0,0,0,0,0,0,0,0,0,A7,0.02,768,1.015,0.0,0.0
104,109,0.027,0.104,0.028,175,208,220,0,0,1,-360,360,83.39571618299931,0.0,-83.39571618299931,0.0,0,0,0,0,0,0,0,0,0,0,A8,0.36,10,0.0,1.4,27.0
105,110,0.023,0.088,0.024,175,208,220,0,0,1,-360,360,93.98226835327762,0.0,-93.98226835327762,0.0,0,0,0,0,0,0,0,0,0,0,A9,0.34,10,0.0,1.2,23.0
106,110,0.014,0.061,2.459,175,193,200,0,0,1,-360,360,65.33105767249072,0.0,-65.33105767249072,0.0,0,0,0,0,0,0,0,0,0,0,A10,0.33,35,0.0,0.0,16.0
107,108,0.016,0.061,0.017,175,208,220,0,0,1,-360,360,67.02393326749377,0.0,-67.02393326749377,0.0,0,0,0,0,0,0,0,0,0,0,A11,0.3,10,0.0,0.8,16.0
107,203,0.042,0.161,0.044,175,208,220,0,0,1,-360,360,174.99999999999548,0.0,-174.99999999999548,0.0,0,0,0,0,0,0,0,0,0,0,AB1,0.44,10,0.0,2.2,42.0
108,109,0.043,0.165,0.045,175,208,220,0,0,1,-360,360,41.801823746270124,0.0,-41.801823746270124,0.0,0,0,0,0,0,0,0,0,0,0,A12-1,0.44,10,0.0,2.3,43.0
108,110,0.043,0.165,0.045,175,208,220,0,0,1,-360,360,25.222109521223583,0.0,-25.222109521223583,0.0,0,0,0,0,0,0,0,0,0,0,A13-2,0.44,10,0.0,2.3,43.0
109,111,0.002,0.084,0.0,400,510,600,0,0,1,-360,360,79.3088951585996,0.0,-79.3088951585996,0.0,0,0,0,0,0,0,0,0,0,0,A14,0.02,768,1.03,0.0,0.0
109,112,0.002,0.084,0.0,400,510,600,0,0,1,-360,360,40.0919487899954,0.0,-40.0919487899954,0.0,0,0,0,0,0,0,0,0,0,0,A15,0.02,768,1.03,0.0,0.0
110,111,0.002,0.084,0.0,400,510,600,0,0,1,-360,360,111.87619095779814,0.0,-111.87619095779814,0.0,0,0,0,0,0,0,0,0,0,0,A16,0.02,768,1.015,0.0,0.0
110,112,0.002,0.084,0.0,400,510,600,0,0,1,-360,360,72.65924458919395,0.0,-72.65924458919395,0.0,0,0,0,0,0,0,0,0,0,0,A17,0.02,768,1.015,0.0,0.0
111,113,0.006,0.048,0.1,500,600,625,0,0,1,-360,360,13.389928953487326,0.0,-13.389928953487326,0.0,0,0,0,0,0,0,0,0,0,0,A18,0.4,11,0.0,0.8,33.0
111,114,0.005,0.042,0.088,500,600,625,0,0,1,-360,360,177.7951571629104,0.0,-177.7951571629104,0.0,0,0,0,0,0,0,0,0,0,0,A19,0.39,11,0.0,0.7,29.0
112,113,0.006,0.048,0.1,500,600,625,0,0,1,-360,360,82.01958509854467,0.0,-82.01958509854467,0.0,0,0,0,0,0,0,0,0,0,0,A20,0.4,11,0.0,0.8,33.0
112,123,0.012,0.097,0.203,500,600,625,0,0,1,-360,360,30.731608280644725,0.0,-30.731608280644725,0.0,0,0,0,0,0,0,0,0,0,0,A21,0.52,11,0.0,1.6,67.0
113,123,0.011,0.087,0.182,500,600,625,0,0,1,-360,360,-10.988207833420761,0.0,10.988207833420761,0.0,0,0,0,0,0,0,0,0,0,0,A22,0.49,11,0.0,1.5,60.0
113,215,0.01,0.075,0.158,500,600,625,0,0,1,-360,360,194.39772188544077,0.0,-194.39772188544077,0.0,0,0,0,0,0,0,0,0,0,0,AB2,0.47,11,0.0,1.3,52.0
114,116,0.005,0.059,0.082,500,600,625,0,0,1,-360,360,-16.20484283708957,0.0,16.20484283708957,0.0,0,0,0,0,0,0,0,0,0,0,A23,0.38,11,0.0,0.7,27.0
115,116,0.002,0.017,0.036,500,600,625,0,0,1,-360,360,-58.38056870018963,0.0,58.38056870018963,0.0,0,0,0,0,0,0,0,0,0,0,A24,0.33,11,0.0,0.3,12.0
115,121,0.006,0.049,0.103,500,600,625,0,0,1,-360,360,-43.765888763951864,0.0,43.765888763951864,0.0,0,0,0,0,0,0,0,0,0,0,A25-1,0.41,11,0.0,0.8,34.0
115,121,0.006,0.049,0.103,500,600,625,0,0,1,-360,360,-43.765888763951864,0.0,43.765888763951864,0.0,0,0,0,0,0,0,0,0,0,0,A25-2,0.41,11,0.0,0.8,34.0
115,124,0.007,0.052,0.109,500,600,625,0,0,1,-360,360,-99.0876537719065,0.0,99.0876537719065,0.0,0,0,0,0,0,0,0,0,0,0,A26,0.41,11,0.0,0.9,36.0
116,117,0.003,0.026,0.055,500,600,625,0,0,1,-360,360,13.795484114468298,0.0,-13.795484114468298,0.0,0,0,0,0,0,0,0,0,0,0,A27,0.35,11,0.0,0.4,18.0
116,119,0.003,0.023,0.049,500,600,625,0,0,1,-360,360,-126.38089565174386,0.0,126.38089565174386,0.0,0,0,0,0,0,0,0,0,0,0,A28,0.34,11,0.0,0.4,16.0
117,118,0.002,0.014,0.03,500,600,625,0,0,1,-360,360,22.52809375901497,0.0,-22.52809375901497,0.0,0,0,0,0,0,0,0,0,0,0,A29,0.32,11,0.0,0.2,10.0
117,122,0.014,0.105,0.221,500,600,625,0,0,1,-360,360,-8.732609644546782,0.0,8.732609644546782,0.0,0,0,0,0,0,0,0,0,0,0,A30,0.54,11,0.0,1.8,73.0
118,121,0.003,0.026,0.055,500,600,625,0,0,1,-360,360,-70.23595312049243,0.0,70.23595312049243,0.0,0,0,0,0,0,0,0,0,0,0,A31-1,0.35,11,0.0,0.4,18.0
118,121,0.003,0.026,0.055,500,600,625,0,0,1,-360,360,-70.23595312049243,0.0,70.23595312049243,0.0,0,0,0,0,0,0,0,0,0,0,A31-2,0.35,11,0.0,0.4,18.0
119,120,0.005,0.04,0.083,500,600,625,0,0,1,-360,360,-63.19044782587192,0.0,63.19044782587192,0.0,0,0,0,0,0,0,0,0,0,0,A32-1,0.38,11,0.0,0.7,27.5
119,120,0.005,0.04,0.083,500,600,625,0,0,1,-360,360,-63.19044782587192,0.0,63.19044782587192,0.0,0,0,0,0,0,0,0,0,0,0,A32-2,0.38,11,0.0,0.7,27.5
120,123,0.003,0.022,0.046,500,600,625,0,0,1,-360,360,-63.19044782587191,0.0,63.19044782587191,0.0,0,0,0,0,0,0,0,0,0,0,A33-1,0.34,11,0.0,0.4,15.0
120,123,0.003,0.022,0.046,500,600,625,0,0,1,-360,360,-63.19044782587191,0.0,63.19044782587191,0.0,0,0,0,0,0,0,0,0,0,0,A33-2,0.34,11,0.0,0.4,15.0
