id,bus_type,Pd,Pq,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin,LAM_P,LAM_Q,MU_VMAX,MU_VMIN,Vsp,lat,lng,BusName,SubArea
101,1,108,22,0,0,1,1.0,15.068359752343682,138,11,1.06,0.94,0,0,0,0,0.0,33.39610326,-113.835642,Abel,11
102,1,97,20,0,0,1,1.0,15.222958184539106,138,12,1.06,0.94,0,0,0,0,0.0,33.35767844,-113.8259335,Adams,11
103,2,180,37,0,0,1,1.0,3.7900338597035046,138,11,1.06,0.94,0,0,0,0,1.01085,33.53683282,-114.6703991,Adler,11
104,2,74,15,0,0,1,1.0,9.154615524758075,138,11,1.06,0.94,0,0,0,0,1.01765,33.81230352,-113.8254191,Agricola,11
105,2,71,14,0,0,1,1.0,10.491290525491266,138,11,1.06,0.94,0,0,0,0,1.03568,33.65955984,-113.9990231,Aiken,11
106,2,136,28,0,-100,1,1.0,8.036025943080876,138,12,1.06,0.94,0,0,0,0,1.03242,33.73803645,-114.1819242,Alber,11
107,1,125,25,0,0,1,1.0,10.47964136832153,138,12,1.06,0.94,0,0,0,0,0.0,34.69726196,-113.7013088,Alder,11
108,2,171,35,0,0,1,1.0,8.137126381739272,138,12,1.06,0.94,0,0,0,0,1.01024,34.4592108,-113.7616436,Alger,11
109,2,175,36,0,0,1,1.0,4.185264055331086,138,13,1.06,0.94,0,0,0,0,1.0261,33.92043627,-114.308281,Ali,11
110,2,195,40,0,0,1,1.0,5.752677678867585,138,13,1.06,0.94,0,0,0,0,1.05,33.91279307,-114.2929646,Allen,11
111,2,0,0,0,0,1,1.0,0.36824948016712655,230,13,1.06,0.94,0,0,0,0,1.02764,33.90438607,-114.3011177,Anna,11
112,2,0,0,0,0,1,1.0,2.25570051050914,230,13,1.06,0.94,0,0,0,0,1.02024,33.91086601,-114.3134024,Archer,11
113,3,265,54,0,0,1,1.0,0.0,230,14,1.06,0.94,0,0,0,0,1.03943,34.35428034,-114.274657,Arne,12
114,1,194,39,0,0,1,1.0,-3.910253611618846,230,16,1.06,0.94,0,0,0,0,0.0,33.77708609,-114.8199113,Arnold,12
115,1,317,64,0,0,1,1.0,-3.9311000739544566,230,16,1.06,0.94,0,0,0,0,0.0,33.50618372,-115.3295084,Arthur,12
116,1,100,20,0,0,1,1.0,-3.3624568412984055,230,16,1.06,0.94,0,0,0,0,0.0,33.66103124,-115.321058,Asser,12
117,2,0,0,0,0,1,1.0,-3.5679668254840946,230,17,1.06,0.94,0,0,0,0,1.04783,33.57523255,-115.6408087,Aston,12
118,1,333,68,0,0,1,1.0,-3.748673882485414,230,17,1.06,0.94,0,0,0,0,0.0,33.54453082,-115.799956,Astor,12
119,2,181,37,0,0,1,1.0,-1.6970056969549236,230,15,1.06,0.94,0,0,0,0,1.03962,33.86907891,-115.3691306,Attar,12
120,2,128,26,0,0,1,1.0,-0.24878731056928768,230,15,1.06,0.94,0,0,0,0,1.04399,34.24457859,-115.2624699,Attila,12
121,1,0,0,0,0,1,1.0,-2.702375724675855,230,17,1.06,0.94,0,0,0,0,0.0,33.52712147,-116.070778,Attlee,12
122,1,0,0,0,0,1,1.0,-3.0426080648779377,230,17,1.06,0.94,0,0,0,0,0.0,32.81886407,-116.3243473,Aubrey,12
123,1,0,0,0,0,1,1.0,0.5477328019428119,230,15,1.06,0.94,0,0,0,0,0.0,34.38200027,-115.0687884,Austen,12
124,2,0,0,0,0,1,1.0,-0.9789018052028833,230,16,1.06,0.94,0,0,0,0,1.01155,33.54296506,-114.6564883,Avery,12
201,1,108,22,0,0,2,1.0,-12.986627389945175,138,21,1.06,0.94,0,0,0,0,0.0,36.2556636,-113.7214959,Bach,21
202,1,97,20,0,0,2,1.0,-13.01272841694546,138,22,1.06,0.94,0,0,0,0,0.0,36.28996256,-113.7459985,Bacon,21
203,2,180,37,0,0,2,1.0,-5.663444509488996,138,21,1.06,0.94,0,0,0,0,1.01886,35.35440226,-113.9759336,Baffin,21
204,2,74,15,0,0,2,1.0,-11.967324009092271,138,21,1.06,0.94,0,0,0,0,1.0189,36.19029231,-114.2218682,Bailey,21
205,2,71,14,0,0,2,1.0,-12.758766657436738,138,21,1.06,0.94,0,0,0,0,1.03603,36.07922951,-113.9830412,Bain,21
206,2,136,28,0,-100,2,1.0,-12.640973436631812,138,22,1.06,0.94,0,0,0,0,1.03259,35.78739717,-113.8903468,Bajer,21
207,1,125,25,0,0,2,1.0,-17.061336994026682,138,22,1.06,0.94,0,0,0,0,0.0,36.05246663,-113.0828494,Baker,21
208,2,171,35,0,0,2,1.0,-15.645844761155983,138,22,1.06,0.94,0,0,0,0,1.01203,35.93381421,-113.3177011,Balch,21
209,2,175,36,0,0,2,1.0,-11.111244808960524,138,23,1.06,0.94,0,0,0,0,1.02781,35.80510733,-114.1508325,Balzac,21
210,2,195,40,0,0,2,1.0,-12.522863781427999,138,23,1.06,0.94,0,0,0,0,1.05,35.78782341,-114.1628815,Banks,21
211,2,0,0,0,0,2,1.0,-12.235601588885034,230,23,1.06,0.94,0,0,0,0,1.02735,35.80148483,-114.1675516,Bardeen,21
212,2,0,0,0,0,2,1.0,-10.832421926032044,230,23,1.06,0.94,0,0,0,0,1.01921,35.79144538,-114.1461651,Barkla,21
213,1,265,54,0,0,2,1.0,-11.255460668458408,230,24,1.06,0.94,0,0,0,0,0.0,36.1460954,-114.6228964,Barlow,22
214,1,194,39,0,0,2,1.0,-13.511772187949106,230,26,1.06,0.94,0,0,0,0,0.0,35.56761113,-114.4925684,Barry,22
215,1,317,64,0,0,2,1.0,-8.353626758245284,230,26,1.06,0.94,0,0,0,0,0.0,35.14859089,-114.5757743,Barton,22
216,1,100,20,0,0,2,1.0,-8.746413106424088,230,26,1.06,0.94,0,0,0,0,0.0,35.26148957,-114.7307626,Basov,22
217,2,0,0,0,0,2,1.0,-7.183217835395267,230,27,1.06,0.94,0,0,0,0,1.04847,35.0877489,-114.9211636,Bates,22
218,1,333,68,0,0,2,1.0,-7.805276030787617,230,27,1.06,0.94,0,0,0,0,0.0,35.11490694,-115.0778823,Bayle,22
219,2,181,37,0,0,2,1.0,-8.302209049581633,230,25,1.06,0.94,0,0,0,0,1.03946,35.4192172,-114.9791817,Bede,22
220,2,128,26,0,0,2,1.0,-7.91594465232733,230,25,1.06,0.94,0,0,0,0,1.0438,35.64669555,-115.4465869,Beethoven,22
221,1,0,0,0,0,2,1.0,-7.168803930055442,230,27,1.06,0.94,0,0,0,0,0.0,35.3163216,-115.1979424,Behring,22
222,1,0,0,0,0,2,1.0,-7.174469511345086,230,27,1.06,0.94,0,0,0,0,0.0,36.33098104,-115.2902095,Bell,22
223,1,0,0,0,0,2,1.0,-7.703499233837463,230,25,1.06,0.94,0,0,0,0,0.0,35.82434965,-115.5364456,Bloch,22
224,2,0,0,0,0,2,1.0,-7.325027663132585,230,26,1.06,0.94,0,0,0,0,1.01456,35.35643752,-113.9602525,Bordet,22
301,1,108,22,0,0,3,1.0,-25.132497610816902,138,31,1.06,0.94,0,0,0,0,0.0,35.0475822,-118.8217654,Cabell,31
302,1,97,20,0,0,3,1.0,-25.135264653851433,138,32,1.06,0.94,0,0,0,0,0.0,35.02993688,-118.8648595,Cabot,31
303,2,180,37,0,0,3,1.0,-22.09959013649201,138,31,1.06,0.94,0,0,0,0,1.01045,35.21754253,-118.0435499,Caesar,31
304,2,74,15,0,0,3,1.0,-23.626650814607142,138,31,1.06,0.94,0,0,0,0,1.01785,34.63209145,-118.5635853,Caine,31
305,2,71,14,0,0,3,1.0,-23.999817273718463,138,31,1.06,0.94,0,0,0,0,1.03609,34.87388488,-118.5104873,Calvin,31
306,2,136,28,0,-100,3,1.0,-23.383659528560308,138,32,1.06,0.94,0,0,0,0,1.0326,34.88716764,-118.2761997,Camus,31
307,1,125,25,0,0,3,1.0,-27.853487943257747,138,32,1.06,0.94,0,0,0,0,0.0,34.10126562,-118.878178,Carew,31
308,2,171,35,0,0,3,1.0,-26.437995710387053,138,32,1.06,0.94,0,0,0,0,1.01056,34.22471784,-118.6542579,Carrel,31
309,2,175,36,0,0,3,1.0,-22.391250505304725,138,33,1.06,0.94,0,0,0,0,1.02579,34.73575793,-118.127342,Carter,31
310,2,195,40,0,0,3,1.0,-22.82715998354594,138,33,1.06,0.94,0,0,0,0,1.05,34.72931591,-118.1045248,Caruso,31
311,2,0,0,0,0,3,1.0,-22.18041610454515,230,33,1.06,0.94,0,0,0,0,1.0283,34.74209387,-118.1119332,Cary,31
312,2,0,0,0,0,3,1.0,-19.7499782914026,230,33,1.06,0.94,0,0,0,0,1.019,34.72296307,-118.1198874,Caxton,31
313,1,265,54,0,0,3,1.0,-20.13175313602789,230,34,1.06,0.94,0,0,0,0,0.0,34.26526814,-118.0188551,Cecil,32
314,1,194,39,0,0,3,1.0,-23.54420706211758,230,36,1.06,0.94,0,0,0,0,0.0,34.94496423,-117.6848792,Chain,32
315,1,317,64,0,0,3,1.0,-19.811404206828392,230,36,1.06,0.94,0,0,0,0,0.0,35.26597012,-117.3864335,Chase,32
316,1,100,20,0,0,3,1.0,-18.90193372230668,230,36,1.06,0.94,0,0,0,0,0.0,35.13836711,-117.2515886,Chifa,32
317,2,0,0,0,0,3,1.0,-18.041736001104127,230,37,1.06,0.94,0,0,0,0,1.04785,35.37843341,-117.0558295,Chuhsi,32
318,1,333,68,0,0,3,1.0,-17.75809179563837,230,37,1.06,0.94,0,0,0,0,0.0,35.50581323,-116.9765714,Clark,32
319,2,181,37,0,0,3,1.0,-16.12195290351867,230,35,1.06,0.94,0,0,0,0,1.03953,34.9176312,-117.1244195,Clay,32
320,2,128,26,0,0,3,1.0,-13.704578278485622,230,35,1.06,0.94,0,0,0,0,1.04389,34.46246563,-117.0635083,Clive,32
321,1,0,0,0,0,3,1.0,-17.53743439290593,230,37,1.06,0.94,0,0,0,0,0.0,35.74534438,-117.1153628,Cobb,32
322,1,0,0,0,0,3,1.0,-16.69519212954855,230,37,1.06,0.94,0,0,0,0,0.0,36.43895848,-117.4852717,Cole,32
323,1,0,0,0,0,3,1.0,-12.37502223471745,230,35,1.06,0.94,0,0,0,0,0.0,34.25300337,-117.1132211,Comte,32
324,2,0,0,0,0,3,1.0,-20.686298826993895,230,36,1.06,0.94,0,0,0,0,1.01046,35.20658182,-118.0348168,Curie,32
325,2,0,0,0,0,3,1.0,-11.553759795185622,230,35,1.06,0.94,0,0,0,0,1.04986,34.25189131,-117.1289772,Curtiss,32
