f,t,R,X,B,rateA,rateB,rateC,tap,shift,status,angMin,angMax,Pf,Qf,Pt,Qt,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX,bus_type,tap_min,tap_max,Pf_des,ImF,ImT,UID,Perm OutRate,Duration,Tr Ratio,Tran OutRate,Length
101,102,0.003,0.014,0.461,175,193,200,0,0,1,-360,360,-22.686752910631593,0.0,22.686752910631593,0.0,0,0,0,0,0,0,0,0,0,0,A1,0.24,16,0.0,0.0,3.0
101,103,0.055,0.211,0.057,175,208,220,0,0,1,-360,360,100.3904739621946,0.0,-100.3904739621946,0.0,0,0,0,0,0,0,0,0,0,0,A2,0.51,10,0.0,2.9,55.0
101,105,0.022,0.085,0.023,175,208,220,0,0,1,-360,360,90.29627894843689,0.0,-90.29627894843689,0.0,0,0,0,0,0,0,0,0,0,0,A3,0.33,10,0.0,1.2,22.0
102,104,0.033,0.127,0.034,175,208,220,0,0,1,-360,360,82.31375776593566,0.0,-82.31375776593566,0.0,0,0,0,0,0,0,0,0,0,0,A4,0.39,10,0.0,1.7,33.0
102,106,0.05,0.192,0.052,175,208,220,0,0,1,-360,360,62.99948932343254,0.0,-62.99948932343254,0.0,0,0,0,0,0,0,0,0,0,0,A5,0.48,10,0.0,2.6,50.0
103,109,0.031,0.119,0.032,175,208,220,0,0,1,-360,360,-20.886777334796335,0.0,20.886777334796335,0.0,0,0,0,0,0,0,0,0,0,0,A6,0.38,10,0.0,1.6,31.0
103,124,0.002,0.084,0.0,400,510,600,0,0,1,-360,360,121.27725129699094,0.0,-121.27725129699094,0.0,0,0,0,0,0,0,0,0,0,0,A7,0.02,768,1.015,0.0,0.0
104,109,0.027,0.104,0.028,175,208,220,0,0,1,-360,360,82.31375776593566,0.0,-82.31375776593566,0.0,0,0,0,0,0,0,0,0,0,0,A8,0.36,10,0.0,1.4,27.0
105,110,0.023,0.088,0.024,175,208,220,0,0,1,-360,360,90.29627894843699,0.0,-90.29627894843699,0.0,0,0,0,0,0,0,0,0,0,0,A9,0.34,10,0.0,1.2,23.0
106,110,0.014,0.061,2.459,175,193,200,0,0,1,-360,360,62.99948932343251,0.0,-62.99948932343251,0.0,0,0,0,0,0,0,0,0,0,0,A10,0.33,35,0.0,0.0,16.0
