bus,E,Ps,Emax,Emin,Psmax,Psmin,status
101.0,1296.0,0.0,2592.0,0.0,108.0,-108.0,1
102.0,1164.0,0.0,2328.0,0.0,97.0,-97.0,1
107.0,1500.0,0.0,3000.0,0.0,125.0,-125.0,1
114.0,2328.0,0.0,4656.0,0.0,194.0,-194.0,1
115.0,3804.0,0.0,7608.0,0.0,317.0,-317.0,1
116.0,1200.0,0.0,2400.0,0.0,100.0,-100.0,1
118.0,3996.0,0.0,7992.0,0.0,333.0,-333.0,1
121.0,0.0,0.0,0.0,0.0,0.0,-0.0,1
122.0,0.0,0.0,0.0,0.0,0.0,-0.0,1
123.0,0.0,0.0,0.0,0.0,0.0,-0.0,1
201.0,1296.0,0.0,2592.0,0.0,108.0,-108.0,1
202.0,1164.0,0.0,2328.0,0.0,97.0,-97.0,1
207.0,1500.0,0.0,3000.0,0.0,125.0,-125.0,1
213.0,3180.0,0.0,6360.0,0.0,265.0,-265.0,1
214.0,2328.0,0.0,4656.0,0.0,194.0,-194.0,1
215.0,3804.0,0.0,7608.0,0.0,317.0,-317.0,1
216.0,1200.0,0.0,2400.0,0.0,100.0,-100.0,1
218.0,3996.0,0.0,7992.0,0.0,333.0,-333.0,1
221.0,0.0,0.0,0.0,0.0,0.0,-0.0,1
222.0,0.0,0.0,0.0,0.0,0.0,-0.0,1
223.0,0.0,0.0,0.0,0.0,0.0,-0.0,1
301.0,1296.0,0.0,2592.0,0.0,108.0,-108.0,1
302.0,1164.0,0.0,2328.0,0.0,97.0,-97.0,1
307.0,1500.0,0.0,3000.0,0.0,125.0,-125.0,1
313.0,3180.0,0.0,6360.0,0.0,265.0,-265.0,1
314.0,2328.0,0.0,4656.0,0.0,194.0,-194.0,1
315.0,3804.0,0.0,7608.0,0.0,317.0,-317.0,1
316.0,1200.0,0.0,2400.0,0.0,100.0,-100.0,1
318.0,3996.0,0.0,7992.0,0.0,333.0,-333.0,1
321.0,0.0,0.0,0.0,0.0,0.0,-0.0,1
322.0,0.0,0.0,0.0,0.0,0.0,-0.0,1
323.0,0.0,0.0,0.0,0.0,0.0,-0.0,1
