bus,E,Ps,Emax,Emin,Psmax,Psmin,status
101,259.20000000000005,0.0,518.4000000000001,0.0,21.6,-21.6,1
102,232.80000000000004,0.0,465.6000000000001,0.0,19.400000000000002,-19.400000000000002,1
107,300.00000000000006,0.0,600.0000000000001,0.0,25.0,-25.0,1
114,465.6000000000001,0.0,931.2000000000002,0.0,38.800000000000004,-38.800000000000004,1
115,760.8000000000001,0.0,1521.6000000000001,0.0,63.400000000000006,-63.400000000000006,1
116,240.00000000000003,0.0,480.00000000000006,0.0,20.0,-20.0,1
118,799.2000000000002,0.0,1598.4000000000003,0.0,66.60000000000001,-66.60000000000001,1
121,0.0,0.0,0.0,0.0,0.0,-0.0,1
122,0.0,0.0,0.0,0.0,0.0,-0.0,1
123,0.0,0.0,0.0,0.0,0.0,-0.0,1
201,259.20000000000005,0.0,518.4000000000001,0.0,21.6,-21.6,1
202,232.80000000000004,0.0,465.6000000000001,0.0,19.400000000000002,-19.400000000000002,1
207,300.00000000000006,0.0,600.0000000000001,0.0,25.0,-25.0,1
213,636.0000000000001,0.0,1272.0000000000002,0.0,53.0,-53.0,1
214,465.6000000000001,0.0,931.2000000000002,0.0,38.800000000000004,-38.800000000000004,1
215,760.8000000000001,0.0,1521.6000000000001,0.0,63.400000000000006,-63.400000000000006,1
216,240.00000000000003,0.0,480.00000000000006,0.0,20.0,-20.0,1
218,799.2000000000002,0.0,1598.4000000000003,0.0,66.60000000000001,-66.60000000000001,1
221,0.0,0.0,0.0,0.0,0.0,-0.0,1
222,0.0,0.0,0.0,0.0,0.0,-0.0,1
223,0.0,0.0,0.0,0.0,0.0,-0.0,1
301,259.20000000000005,0.0,518.4000000000001,0.0,21.6,-21.6,1
302,232.80000000000004,0.0,465.6000000000001,0.0,19.400000000000002,-19.400000000000002,1
307,300.00000000000006,0.0,600.0000000000001,0.0,25.0,-25.0,1
313,636.0000000000001,0.0,1272.0000000000002,0.0,53.0,-53.0,1
314,465.6000000000001,0.0,931.2000000000002,0.0,38.800000000000004,-38.800000000000004,1
315,760.8000000000001,0.0,1521.6000000000001,0.0,63.400000000000006,-63.400000000000006,1
316,240.00000000000003,0.0,480.00000000000006,0.0,20.0,-20.0,1
318,799.2000000000002,0.0,1598.4000000000003,0.0,66.60000000000001,-66.60000000000001,1
321,0.0,0.0,0.0,0.0,0.0,-0.0,1
322,0.0,0.0,0.0,0.0,0.0,-0.0,1
323,0.0,0.0,0.0,0.0,0.0,-0.0,1
