f,t,R,X,B,rateA,rateB,rateC,tap,shift,status,angMin,angMax,Pf,Qf,Pt,Qt,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX,bus_type,tap_min,tap_max,Pf_des,ImF,ImT,UID,Perm OutRate,Duration,Tr Ratio,Tran OutRate,Length
101,102,0.003,0.014,0.461,175,193,200,0,0,1,-360,360,-15.030079908292684,0,15.030079908292684,0,0,0,0,0,0,0,0,0,0,0,A1,0.24,16,0,0,3
101,103,0.055,0.211,0.057,175,208,220,0,0,1,-360,360,-31.4148248429806,0,31.4148248429806,0,0,0,0,0,0,0,0,0,0,0,A2,0.51,10,0,2.9,55
101,105,0.022,0.085,0.023,175,208,220,0,0,1,-360,360,-93.55509524872632,0,93.55509524872632,0,0,0,0,0,0,0,0,0,0,0,A3,0.33,10,0,1.2,22
102,104,0.033,0.127,0.034,175,208,220,0,0,1,-360,360,-69.88932749993863,0,69.88932749993863,0,0,0,0,0,0,0,0,0,0,0,A4,0.39,10,0,1.7,33
102,106,0.05,0.192,0.052,175,208,220,0,0,1,-360,360,-63.140752408354025,0,63.140752408354025,0,0,0,0,0,0,0,0,0,0,0,A5,0.48,10,0,2.6,50
103,109,0.031,0.119,0.032,175,208,220,0,0,1,-360,360,-81.7338464649834,0,81.7338464649834,0,0,0,0,0,0,0,0,0,0,0,A6,0.38,10,0,1.6,31
103,124,0.002,0.084,0,400,510,600,0,0,1,-360,360,50.319021622002815,0,-50.319021622002815,0,0,0,0,0,0,0,0,0,0,0,A7,0.02,768,1.015,0,0
104,109,0.027,0.104,0.028,175,208,220,0,0,1,-360,360,-69.88932749993872,0,69.88932749993872,0,0,0,0,0,0,0,0,0,0,0,A8,0.36,10,0,1.4,27
105,110,0.023,0.088,0.024,175,208,220,0,0,1,-360,360,-93.55509524872646,0,93.55509524872646,0,0,0,0,0,0,0,0,0,0,0,A9,0.34,10,0,1.2,23
106,110,0.014,0.061,2.459,175,193,200,0,0,1,-360,360,-63.140752408353976,0,63.140752408353976,0,0,0,0,0,0,0,0,0,0,0,A10,0.33,35,0,0,16
107,108,0.016,0.061,0.017,175,208,220,0,0,1,-360,360,100.12784508380057,0,-100.12784508380057,0,0,0,0,0,0,0,0,0,0,0,A11,0.3,10,0,0.8,16
107,203,0.042,0.161,0.044,175,208,220,0,0,1,-360,360,-175.00000000005866,0,175.00000000005866,0,0,0,0,0,0,0,0,0,0,0,AB1,0.44,10,0,2.2,42
108,109,0.043,0.165,0.045,175,208,220,0,0,1,-360,360,49.54930347168129,0,-49.54930347168129,0,0,0,0,0,0,0,0,0,0,0,A12-1,0.44,10,0,2.3,43
108,110,0.043,0.165,0.045,175,208,220,0,0,1,-360,360,50.578541612119245,0,-50.578541612119245,0,0,0,0,0,0,0,0,0,0,0,A13-2,0.44,10,0,2.3,43
109,111,0.002,0.084,0,400,510,600,0,0,1,-360,360,3.2203812374856033,0,-3.2203812374856033,0,0,0,0,0,0,0,0,0,0,0,A14,0.02,768,1.03,0,0
109,112,0.002,0.084,0,400,510,600,0,0,1,-360,360,-105.29425173072653,0,105.29425173072653,0,0,0,0,0,0,0,0,0,0,0,A15,0.02,768,1.03,0,0
110,111,0.002,0.084,0,400,510,600,0,0,1,-360,360,1.198663461625327,0,-1.198663461625327,0,0,0,0,0,0,0,0,0,0,0,A16,0.02,768,1.015,0,0
110,112,0.002,0.084,0,400,510,600,0,0,1,-360,360,-107.3159695065868,0,107.3159695065868,0,0,0,0,0,0,0,0,0,0,0,A17,0.02,768,1.015,0,0
111,113,0.006,0.048,0.1,500,600,625,0,0,1,-360,360,-321.72422741803837,0,321.72422741803837,0,0,0,0,0,0,0,0,0,0,0,A18,0.4,11,0,0.8,33
111,114,0.005,0.042,0.088,500,600,625,0,0,1,-360,360,326.1432721171495,0,-326.1432721171495,0,0,0,0,0,0,0,0,0,0,0,A19,0.39,11,0,0.7,29
112,113,0.006,0.048,0.1,500,600,625,0,0,1,-360,360,-131.82361972366718,0,131.82361972366718,0,0,0,0,0,0,0,0,0,0,0,A20,0.4,11,0,0.8,33
112,123,0.012,0.097,0.203,500,600,625,0,0,1,-360,360,-80.78660151364613,0,80.78660151364613,0,0,0,0,0,0,0,0,0,0,0,A21,0.52,11,0,1.6,67
