f,t,R,X,B,rateA,rateB,rateC,tap,shift,status,angMin,angMax,Pf,Qf,Pt,Qt,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX,bus_type,tap_min,tap_max,Pf_des,ImF,ImT,UID,Perm OutRate,Duration,Tr Ratio,Tran OutRate,Length
101,102,0.003,0.014,0.461,175,193,200,0,0,1,-360,360,-12.924051526916235,0,12.924051526916235,0,0,0,0,0,0,0,0,0,0,0,A1,0.24,16,0,0,3
101,103,0.055,0.211,0.057,175,208,220,0,0,1,-360,360,-6.65828310010176,0,6.65828310010176,0,0,0,0,0,0,0,0,0,0,0,A2,0.51,10,0,2.9,55
101,105,0.022,0.085,0.023,175,208,220,0,0,1,-360,360,-28.41766537298206,0,28.41766537298206,0,0,0,0,0,0,0,0,0,0,0,A3,0.33,10,0,1.2,22
102,104,0.033,0.127,0.034,175,208,220,0,0,1,-360,360,-20.20737410340187,0,20.20737410340187,0,0,0,0,0,0,0,0,0,0,0,A4,0.39,10,0,1.7,33
102,106,0.05,0.192,0.052,175,208,220,0,0,1,-360,360,-18.71667742351412,0,18.71667742351412,0,0,0,0,0,0,0,0,0,0,0,A5,0.48,10,0,2.6,50
103,109,0.031,0.119,0.032,175,208,220,0,0,1,-360,360,-28.940692480178072,0,28.940692480178072,0,0,0,0,0,0,0,0,0,0,0,A6,0.38,10,0,1.6,31
103,124,0.002,0.084,0,400,510,600,0,0,1,-360,360,22.282409380076302,0,-22.282409380076302,0,0,0,0,0,0,0,0,0,0,0,A7,0.02,768,1.015,0,0
104,109,0.027,0.104,0.028,175,208,220,0,0,1,-360,360,-20.207374103401893,0,20.207374103401893,0,0,0,0,0,0,0,0,0,0,0,A8,0.36,10,0,1.4,27
105,110,0.023,0.088,0.024,175,208,220,0,0,1,-360,360,-28.4176653729821,0,28.4176653729821,0,0,0,0,0,0,0,0,0,0,0,A9,0.34,10,0,1.2,23
106,110,0.014,0.061,2.459,175,193,200,0,0,1,-360,360,-18.716677423514103,0,18.716677423514103,0,0,0,0,0,0,0,0,0,0,0,A10,0.33,35,0,0,16
107,108,0.016,0.061,0.017,175,208,220,0,0,1,-360,360,35.04081800056138,0,-35.04081800056138,0,0,0,0,0,0,0,0,0,0,0,A11,0.3,10,0,0.8,16
107,203,0.042,0.161,0.044,175,208,220,0,0,1,-360,360,69.95918199943861,0,-69.95918199943861,0,0,0,0,0,0,0,0,0,0,0,AB1,0.44,10,0,2.2,42
