bus,E,Ps,Emax,Emin,Psmax,Psmin,Efficiency,status
101,324,0,324,0,108,-108,0.925,1
102,291,0,291,0,97,-97,0.925,1
107,375,0,375,0,125,-125,0.925,1
114,582,0,582,0,194,-194,0.925,1
115,951,0,951,0,317,-317,0.925,1
116,300,0,300,0,100,-100,0.925,1
118,999,0,999,0,333,-333,0.925,1
121,0,0,0,0,0,0,0.925,1
122,0,0,0,0,0,0,0.925,1
123,0,0,0,0,0,0,0.925,1
201,324,0,324,0,108,-108,0.925,1
202,291,0,291,0,97,-97,0.925,1
207,375,0,375,0,125,-125,0.925,1
213,795,0,795,0,265,-265,0.925,1
214,582,0,582,0,194,-194,0.925,1
215,951,0,951,0,317,-317,0.925,1
216,300,0,300,0,100,-100,0.925,1
218,999,0,999,0,333,-333,0.925,1
221,0,0,0,0,0,0,0.925,1
222,0,0,0,0,0,0,0.925,1
223,0,0,0,0,0,0,0.925,1
301,324,0,324,0,108,-108,0.925,1
302,291,0,291,0,97,-97,0.925,1
307,375,0,375,0,125,-125,0.925,1
313,795,0,795,0,265,-265,0.925,1
314,582,0,582,0,194,-194,0.925,1
315,951,0,951,0,317,-317,0.925,1
316,300,0,300,0,100,-100,0.925,1
318,999,0,999,0,333,-333,0.925,1
321,0,0,0,0,0,0,0.925,1
322,0,0,0,0,0,0,0.925,1
323,0,0,0,0,0,0,0.925,1
