state,recovery_time
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,120.24733681861174
1,0
0,30.084656988490412
1,0
1,0
1,0
1,0
1,0
1,0
0,7.26223080955758
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,4.076479183124193
1,0
0,23.929962970797828
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0.6796752607505824
1,0
0,13.184477462321661
1,0
1,0
1,0
1,0
1,0
0,2.1804775924471063
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0.1705864658070402
1,0
1,0
1,0
1,0
1,0
0,1690.9379919336584
1,0
1,0
0,149.07621808798956
1,0
1,0
0,67.05381034938138
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,3.036751797209567
1,0
1,0
1,0
1,0
0,2.001130288098212
1,0
1,0
0,12.622171454692587
1,0
0,33.05491051953102
1,0
0,89.85473398347601
0,40.540886667627184
1,0
