time,load_shed,perc_load_served,lines_out,gens_out
10,0,1,380,326
10,1771.6576939017468,0.9019803195825643,145,303
70,41.879284485312795,0.9976829643246035,60,133
130,14.502999999999826,0.9991975992710176,45,104
190,4.475999999999833,0.999752358431847,36,82
250,-1674216321134736e-28,1,29,67
310,-1674216321134736e-28,1,25,55
370,-1674216321134736e-28,1,22,49
430,-1674216321134736e-28,1,19,46
490,-1674216321134736e-28,1,16,39
550,-1674216321134736e-28,1,14,37
610,-1674216321134736e-28,1,11,33
670,-1674216321134736e-28,1,9,31
730,-1674216321134736e-28,1,9,30
790,-1674216321134736e-28,1,9,28
850,-1674216321134736e-28,1,8,27
910,-1674216321134736e-28,1,8,26
970,-1674216321134736e-28,1,7,24
1030,-1674216321134736e-28,1,7,23
1090,-1674216321134736e-28,1,6,23
1150,-1674216321134736e-28,1,6,22
1210,-1674216321134736e-28,1,6,22
1270,-1674216321134736e-28,1,6,22
1330,-1674216321134736e-28,1,5,22
1390,-1674216321134736e-28,1,5,20
1450,-1674216321134736e-28,1,4,20
1510,-1674216321134736e-28,1,3,20
1570,-1674216321134736e-28,1,3,19
1630,-1674216321134736e-28,1,3,19
1690,-1674216321134736e-28,1,3,19
1750,-1674216321134736e-28,1,3,19
1810,-1674216321134736e-28,1,3,19
1870,-1674216321134736e-28,1,3,19
1930,-1674216321134736e-28,1,3,18
1990,-1674216321134736e-28,1,3,17
2050,-1674216321134736e-28,1,3,17
2110,-1674216321134736e-28,1,3,16
2170,-1674216321134736e-28,1,3,15
2230,-1674216321134736e-28,1,3,14
2290,-1674216321134736e-28,1,3,13
2350,-1674216321134736e-28,1,3,13
2410,-1674216321134736e-28,1,3,13
2470,-1674216321134736e-28,1,3,12
2530,-1674216321134736e-28,1,3,11
2590,-1674216321134736e-28,1,3,11
2650,-1674216321134736e-28,1,3,11
2710,-1674216321134736e-28,1,3,11
2770,-1674216321134736e-28,1,3,10
2830,-1674216321134736e-28,1,3,10
2890,-1674216321134736e-28,1,3,10
2950,-1674216321134736e-28,1,3,10
3010,-1674216321134736e-28,1,3,10
3070,-1674216321134736e-28,1,3,10
3130,-1674216321134736e-28,1,3,10
3190,-1674216321134736e-28,1,3,8
3250,-1674216321134736e-28,1,3,6
3310,-1674216321134736e-28,1,3,4
3370,-1674216321134736e-28,1,3,4
3430,-1674216321134736e-28,1,3,3
3490,-1674216321134736e-28,1,2,3
3550,-1674216321134736e-28,1,2,3
3610,-1674216321134736e-28,1,2,3
3670,-1674216321134736e-28,1,2,3
3730,-1674216321134736e-28,1,2,3
3790,-1674216321134736e-28,1,2,3
3850,-1674216321134736e-28,1,2,3
3910,-1674216321134736e-28,1,2,3
3970,-1674216321134736e-28,1,2,3
4030,-1674216321134736e-28,1,1,3
4090,-1674216321134736e-28,1,1,2
4150,-1674216321134736e-28,1,1,2
4210,-1674216321134736e-28,1,0,2
4270,-1674216321134736e-28,1,0,2
4330,-1674216321134736e-28,1,0,2
4390,-1674216321134736e-28,1,0,2
4450,-1674216321134736e-28,1,0,1
4510,-1674216321134736e-28,1,0,1
4570,-1674216321134736e-28,1,0,1
4630,-1674216321134736e-28,1,0,1
4690,-1674216321134736e-28,1,0,1
4750,-1674216321134736e-28,1,0,1
4810,-1674216321134736e-28,1,0,1
4870,-1674216321134736e-28,1,0,1
4930,-1674216321134736e-28,1,0,1
4990,-1674216321134736e-28,1,0,1
5050,-1674216321134736e-28,1,0,1
5110,-1674216321134736e-28,1,0,1
5170,-1674216321134736e-28,1,0,1
5230,-1674216321134736e-28,1,0,1
5290,-1674216321134736e-28,1,0,1
5350,-1674216321134736e-28,1,0,1
5410,-1674216321134736e-28,1,0,1
5470,-1674216321134736e-28,1,0,1
5530,-1674216321134736e-28,1,0,1
5590,-1674216321134736e-28,1,0,1
5650,-1674216321134736e-28,1,0,1
5710,-1674216321134736e-28,1,0,1
5770,-1674216321134736e-28,1,0,1
5830,-1674216321134736e-28,1,0,1
5890,-1674216321134736e-28,1,0,1
5950,-1674216321134736e-28,1,0,1
6010,-1674216321134736e-28,1,0,1
6070,-1674216321134736e-28,1,0,1
6130,-1674216321134736e-28,1,0,1
6190,-1674216321134736e-28,1,0,1
6250,-1674216321134736e-28,1,0,1
6310,-1674216321134736e-28,1,0,1
6370,-1674216321134736e-28,1,0,1
6430,-1674216321134736e-28,1,0,1
6490,-1674216321134736e-28,1,0,1
6550,-1674216321134736e-28,1,0,1
6610,-1674216321134736e-28,1,0,1
6670,-1674216321134736e-28,1,0,1
6730,-1674216321134736e-28,1,0,1
6790,-1674216321134736e-28,1,0,1
6850,-1674216321134736e-28,1,0,1
6910,-1674216321134736e-28,1,0,1
6970,-1674216321134736e-28,1,0,1
7030,-1674216321134736e-28,1,0,1
7090,-1674216321134736e-28,1,0,1
7150,-1674216321134736e-28,1,0,1
7210,-1674216321134736e-28,1,0,1
7270,-1674216321134736e-28,1,0,1
7330,-1674216321134736e-28,1,0,1
7390,-1674216321134736e-28,1,0,1
7450,-1674216321134736e-28,1,0,1
7510,-1674216321134736e-28,1,0,1
7570,-1674216321134736e-28,1,0,1
7630,-1674216321134736e-28,1,0,1
7690,-1674216321134736e-28,1,0,1
7750,-1674216321134736e-28,1,0,1
7810,-1674216321134736e-28,1,0,1
7870,-1674216321134736e-28,1,0,1
7930,-1674216321134736e-28,1,0,1
7990,-1674216321134736e-28,1,0,1
8050,-1674216321134736e-28,1,0,1
8110,-1674216321134736e-28,1,0,1
8170,-1674216321134736e-28,1,0,1
8230,-1674216321134736e-28,1,0,1
8290,-1674216321134736e-28,1,0,1
8350,-1674216321134736e-28,1,0,1
8410,-1674216321134736e-28,1,0,1
8470,-1674216321134736e-28,1,0,1
8530,-1674216321134736e-28,1,0,1
8590,-1674216321134736e-28,1,0,1
8650,-1674216321134736e-28,1,0,1
8710,-1674216321134736e-28,1,0,1
8770,-1674216321134736e-28,1,0,1
8830,-1674216321134736e-28,1,0,1
8890,-1674216321134736e-28,1,0,1
8950,-1674216321134736e-28,1,0,1
9010,-1674216321134736e-28,1,0,1
9070,-1674216321134736e-28,1,0,1
9130,-1674216321134736e-28,1,0,1
9190,-1674216321134736e-28,1,0,1
9250,-1674216321134736e-28,1,0,1
9310,-1674216321134736e-28,1,0,1
9370,-1674216321134736e-28,1,0,1
9430,-1674216321134736e-28,1,0,1
9490,-1674216321134736e-28,1,0,1
9550,-1674216321134736e-28,1,0,1
9610,-1674216321134736e-28,1,0,1
9670,-1674216321134736e-28,1,0,1
9730,-1674216321134736e-28,1,0,1
9790,-1674216321134736e-28,1,0,1
9850,-1674216321134736e-28,1,0,1
9910,-1674216321134736e-28,1,0,1
9970,-1674216321134736e-28,1,0,1
10030,-1674216321134736e-28,1,0,1
10090,-1674216321134736e-28,1,0,1
10150,-1674216321134736e-28,1,0,1
10210,-1674216321134736e-28,1,0,1
10270,-1674216321134736e-28,1,0,1
10330,-1674216321134736e-28,1,0,1
10390,-1674216321134736e-28,1,0,1
10450,-1674216321134736e-28,1,0,1
10510,-1674216321134736e-28,1,0,1
10570,-1674216321134736e-28,1,0,1
10630,-1674216321134736e-28,1,0,1
10690,-1674216321134736e-28,1,0,1
10750,-1674216321134736e-28,1,0,1
10810,-1674216321134736e-28,1,0,1
10870,-1674216321134736e-28,1,0,1
10930,-1674216321134736e-28,1,0,1
10990,-1674216321134736e-28,1,0,1
11050,-1674216321134736e-28,1,0,1
11110,-1674216321134736e-28,1,0,1
11170,-1674216321134736e-28,1,0,1
11230,-1674216321134736e-28,1,0,1
11290,-1674216321134736e-28,1,0,1
11350,-1674216321134736e-28,1,0,1
11410,-1674216321134736e-28,1,0,1
11470,-1674216321134736e-28,1,0,1
11530,-1674216321134736e-28,1,0,1
11590,-1674216321134736e-28,1,0,1
11650,-1674216321134736e-28,1,0,1
11710,-1674216321134736e-28,1,0,1
11770,-1674216321134736e-28,1,0,1
11830,-1674216321134736e-28,1,0,1
11890,-1674216321134736e-28,1,0,1
11950,-1674216321134736e-28,1,0,1
12010,-1674216321134736e-28,1,0,1
12070,-1674216321134736e-28,1,0,1
12130,-1674216321134736e-28,1,0,1
12190,-1674216321134736e-28,1,0,1
12250,-1674216321134736e-28,1,0,1
12310,-1674216321134736e-28,1,0,1
12370,-1674216321134736e-28,1,0,1
12430,-1674216321134736e-28,1,0,1
12490,-1674216321134736e-28,1,0,1
12550,-1674216321134736e-28,1,0,1
12610,-1674216321134736e-28,1,0,1
12670,-1674216321134736e-28,1,0,1
12730,-1674216321134736e-28,1,0,1
12790,-1674216321134736e-28,1,0,1
12850,-1674216321134736e-28,1,0,1
12910,-1674216321134736e-28,1,0,1
12970,-1674216321134736e-28,1,0,1
13030,-1674216321134736e-28,1,0,1
13090,-1674216321134736e-28,1,0,1
13150,-1674216321134736e-28,1,0,1
13210,-1674216321134736e-28,1,0,1
13270,-1674216321134736e-28,1,0,1
13330,-1674216321134736e-28,1,0,1
13390,-1674216321134736e-28,1,0,1
13450,-1674216321134736e-28,1,0,1
13510,-1674216321134736e-28,1,0,1
13570,-1674216321134736e-28,1,0,1
13630,-1674216321134736e-28,1,0,1
13690,-1674216321134736e-28,1,0,1
13750,-1674216321134736e-28,1,0,1
13810,-1674216321134736e-28,1,0,1
13870,-1674216321134736e-28,1,0,1
13930,-1674216321134736e-28,1,0,1
13990,-1674216321134736e-28,1,0,1
14050,-1674216321134736e-28,1,0,1
14110,-1674216321134736e-28,1,0,1
14170,-1674216321134736e-28,1,0,1
14230,-1674216321134736e-28,1,0,1
14290,-1674216321134736e-28,1,0,1
14350,-1674216321134736e-28,1,0,1
14410,-1674216321134736e-28,1,0,1
14470,-1674216321134736e-28,1,0,1
14530,-1674216321134736e-28,1,0,1
14590,-1674216321134736e-28,1,0,1
14650,-1674216321134736e-28,1,0,1
14710,-1674216321134736e-28,1,0,1
14770,-1674216321134736e-28,1,0,1
14830,-1674216321134736e-28,1,0,1
14890,-1674216321134736e-28,1,0,1
14950,-1674216321134736e-28,1,0,1
15010,-1674216321134736e-28,1,0,1
15070,-1674216321134736e-28,1,0,1
15130,-1674216321134736e-28,1,0,1
15190,-1674216321134736e-28,1,0,1
15250,-1674216321134736e-28,1,0,1
15310,-1674216321134736e-28,1,0,1
15370,-1674216321134736e-28,1,0,1
15430,-1674216321134736e-28,1,0,1
15490,-1674216321134736e-28,1,0,1
15550,-1674216321134736e-28,1,0,1
15610,-1674216321134736e-28,1,0,1
15670,-1674216321134736e-28,1,0,1
15730,-1674216321134736e-28,1,0,1
15790,-1674216321134736e-28,1,0,1
15850,-1674216321134736e-28,1,0,1
15910,-1674216321134736e-28,1,0,1
15970,-1674216321134736e-28,1,0,1
16030,-1674216321134736e-28,1,0,1
16090,-1674216321134736e-28,1,0,1
16150,-1674216321134736e-28,1,0,1
16210,-1674216321134736e-28,1,0,1
16270,-1674216321134736e-28,1,0,1
16330,-1674216321134736e-28,1,0,1
16390,-1674216321134736e-28,1,0,1
16450,-1674216321134736e-28,1,0,1
16510,-1674216321134736e-28,1,0,1
16570,-1674216321134736e-28,1,0,1
16630,-1674216321134736e-28,1,0,1
16690,-1674216321134736e-28,1,0,1
16750,-1674216321134736e-28,1,0,1
16810,-1674216321134736e-28,1,0,1
16870,-1674216321134736e-28,1,0,1
16930,-1674216321134736e-28,1,0,1
16990,-1674216321134736e-28,1,0,1
17050,-1674216321134736e-28,1,0,1
17110,-1674216321134736e-28,1,0,1
17170,-1674216321134736e-28,1,0,1
17230,-1674216321134736e-28,1,0,1
17290,-1674216321134736e-28,1,0,1
17350,-1674216321134736e-28,1,0,1
17410,-1674216321134736e-28,1,0,1
17470,-1674216321134736e-28,1,0,1
17530,-1674216321134736e-28,1,0,1
17590,-1674216321134736e-28,1,0,1
17650,-1674216321134736e-28,1,0,1
17710,-1674216321134736e-28,1,0,1
17770,-1674216321134736e-28,1,0,1
17830,-1674216321134736e-28,1,0,1
17890,-1674216321134736e-28,1,0,1
17950,-1674216321134736e-28,1,0,1
18010,-1674216321134736e-28,1,0,1
18070,-1674216321134736e-28,1,0,1
18130,-1674216321134736e-28,1,0,1
18190,-1674216321134736e-28,1,0,1
18250,-1674216321134736e-28,1,0,1
18310,-1674216321134736e-28,1,0,1
18370,-1674216321134736e-28,1,0,1
18430,-1674216321134736e-28,1,0,1
18490,-1674216321134736e-28,1,0,1
18550,-1674216321134736e-28,1,0,1
18610,-1674216321134736e-28,1,0,1
18670,-1674216321134736e-28,1,0,1
18730,-1674216321134736e-28,1,0,1
18790,-1674216321134736e-28,1,0,1
18850,-1674216321134736e-28,1,0,1
18910,-1674216321134736e-28,1,0,1
18970,-1674216321134736e-28,1,0,1
19030,-1674216321134736e-28,1,0,1
19090,-1674216321134736e-28,1,0,1
19150,-1674216321134736e-28,1,0,1
19210,-1674216321134736e-28,1,0,1
19270,-1674216321134736e-28,1,0,1
19330,-1674216321134736e-28,1,0,1
19390,-1674216321134736e-28,1,0,1
19450,-1674216321134736e-28,1,0,1
19510,-1674216321134736e-28,1,0,1
19570,-1674216321134736e-28,1,0,1
19630,-1674216321134736e-28,1,0,1
19690,-1674216321134736e-28,1,0,1
19750,-1674216321134736e-28,1,0,1
19810,-1674216321134736e-28,1,0,1
19870,-1674216321134736e-28,1,0,1
19930,-1674216321134736e-28,1,0,1
19990,-1674216321134736e-28,1,0,1
20050,-1674216321134736e-28,1,0,1
20110,-1674216321134736e-28,1,0,1
20170,-1674216321134736e-28,1,0,1
20230,-1674216321134736e-28,1,0,1
20290,-1674216321134736e-28,1,0,1
20350,-1674216321134736e-28,1,0,1
20410,-1674216321134736e-28,1,0,1
20470,-1674216321134736e-28,1,0,1
20530,-1674216321134736e-28,1,0,1
20590,-1674216321134736e-28,1,0,1
20650,-1674216321134736e-28,1,0,1
20710,-1674216321134736e-28,1,0,1
20770,-1674216321134736e-28,1,0,1
20830,-1674216321134736e-28,1,0,1
20890,-1674216321134736e-28,1,0,1
20950,-1674216321134736e-28,1,0,1
21010,-1674216321134736e-28,1,0,1
21070,-1674216321134736e-28,1,0,1
21130,-1674216321134736e-28,1,0,1
21190,-1674216321134736e-28,1,0,1
21250,-1674216321134736e-28,1,0,1
21310,-1674216321134736e-28,1,0,1
21370,-1674216321134736e-28,1,0,1
21430,-1674216321134736e-28,1,0,1
21490,-1674216321134736e-28,1,0,1
21550,-1674216321134736e-28,1,0,1
21610,-1674216321134736e-28,1,0,1
21670,-1674216321134736e-28,1,0,1
21730,-1674216321134736e-28,1,0,1
21790,-1674216321134736e-28,1,0,1
21850,-1674216321134736e-28,1,0,1
21910,-1674216321134736e-28,1,0,1
21970,-1674216321134736e-28,1,0,1
22030,-1674216321134736e-28,1,0,1
22090,-1674216321134736e-28,1,0,1
22150,-1674216321134736e-28,1,0,1
22210,-1674216321134736e-28,1,0,1
22270,-1674216321134736e-28,1,0,1
22330,-1674216321134736e-28,1,0,1
22390,-1674216321134736e-28,1,0,1
22450,-1674216321134736e-28,1,0,1
22510,-1674216321134736e-28,1,0,1
