time,load_shed,perc_load_served,lines_out,gens_off
0,4531.776100346752,0.7492725335100784,509,419
60,94.59899999999982,0.9947661651685165,127,419
120,57.62699999999982,0.9968116977998297,97,419
180,56.15399999999982,0.9968931937850598,76,419
240,29.614999999999824,0.9983615046825611,63,419
300,6.476999999999834,0.9996416500364326,53,419
360,6.476999999999834,0.9996416500364326,47,419
420,-1674216321134736e-28,1,41,419
480,-1674216321134736e-28,1,35,419
540,-1674216321134736e-28,1,32,419
600,-1674216321134736e-28,1,28,419
660,-1674216321134736e-28,1,25,419
720,-1674216321134736e-28,1,25,419
780,-1674216321134736e-28,1,24,419
840,-1674216321134736e-28,1,22,419
900,-1674216321134736e-28,1,22,419
960,-1674216321134736e-28,1,20,419
1020,-1674216321134736e-28,1,19,419
1080,-1674216321134736e-28,1,18,419
1140,-1674216321134736e-28,1,17,419
1200,-1674216321134736e-28,1,17,419
1260,-1674216321134736e-28,1,17,419
1320,-1674216321134736e-28,1,16,419
1380,-1674216321134736e-28,1,14,419
1440,-1674216321134736e-28,1,13,419
1500,-1674216321134736e-28,1,12,419
1560,-1674216321134736e-28,1,12,419
1620,-1674216321134736e-28,1,12,419
1680,-1674216321134736e-28,1,12,419
1740,-1674216321134736e-28,1,12,419
1800,-1674216321134736e-28,1,12,419
1860,-1674216321134736e-28,1,12,419
1920,-1674216321134736e-28,1,12,419
1980,-1674216321134736e-28,1,12,419
2040,-1674216321134736e-28,1,12,419
2100,-1674216321134736e-28,1,12,419
2160,-1674216321134736e-28,1,12,419
2220,-1674216321134736e-28,1,11,419
2280,-1674216321134736e-28,1,10,419
2340,-1674216321134736e-28,1,10,419
2400,-1674216321134736e-28,1,10,419
2460,-1674216321134736e-28,1,10,419
2520,-1674216321134736e-28,1,9,419
2580,-1674216321134736e-28,1,9,419
2640,-1674216321134736e-28,1,9,419
2700,-1674216321134736e-28,1,9,419
2760,-1674216321134736e-28,1,8,419
2820,-1674216321134736e-28,1,8,419
2880,-1674216321134736e-28,1,8,419
2940,-1674216321134736e-28,1,8,419
3000,-1674216321134736e-28,1,8,419
3060,-1674216321134736e-28,1,8,419
3120,-1674216321134736e-28,1,8,419
3180,-1674216321134736e-28,1,6,419
3240,-1674216321134736e-28,1,5,419
3300,-1674216321134736e-28,1,5,419
3360,-1674216321134736e-28,1,5,419
3420,-1674216321134736e-28,1,5,419
3480,-1674216321134736e-28,1,4,419
3540,-1674216321134736e-28,1,4,419
3600,-1674216321134736e-28,1,4,419
3660,-1674216321134736e-28,1,4,419
3720,-1674216321134736e-28,1,4,419
3780,-1674216321134736e-28,1,4,419
3840,-1674216321134736e-28,1,4,419
3900,-1674216321134736e-28,1,4,419
3960,-1674216321134736e-28,1,4,419
4020,-1674216321134736e-28,1,3,419
4080,-1674216321134736e-28,1,2,419
4140,-1674216321134736e-28,1,2,419
4200,-1674216321134736e-28,1,1,419
4260,-1674216321134736e-28,1,1,419
4320,-1674216321134736e-28,1,1,419
4380,-1674216321134736e-28,1,1,419
4440,-1674216321134736e-28,1,1,419
4500,-1674216321134736e-28,1,1,419
4560,-1674216321134736e-28,1,1,419
4620,-1674216321134736e-28,1,1,419
4680,-1674216321134736e-28,1,1,419
4740,-1674216321134736e-28,1,1,419
4800,-1674216321134736e-28,1,1,419
4860,-1674216321134736e-28,1,1,419
4920,-1674216321134736e-28,1,1,419
4980,-1674216321134736e-28,1,1,419
5040,-1674216321134736e-28,1,1,419
5100,-1674216321134736e-28,1,1,419
5160,-1674216321134736e-28,1,1,419
5220,-1674216321134736e-28,1,1,419
5280,-1674216321134736e-28,1,1,419
5340,-1674216321134736e-28,1,1,419
5400,-1674216321134736e-28,1,1,419
5460,-1674216321134736e-28,1,1,419
5520,-1674216321134736e-28,1,1,419
5580,-1674216321134736e-28,1,1,419
5640,-1674216321134736e-28,1,1,419
5700,-1674216321134736e-28,1,1,419
5760,-1674216321134736e-28,1,1,419
5820,-1674216321134736e-28,1,1,419
5880,-1674216321134736e-28,1,1,419
5940,-1674216321134736e-28,1,1,419
6000,-1674216321134736e-28,1,1,419
6060,-1674216321134736e-28,1,1,419
6120,-1674216321134736e-28,1,1,419
6180,-1674216321134736e-28,1,1,419
6240,-1674216321134736e-28,1,1,419
6300,-1674216321134736e-28,1,1,419
6360,-1674216321134736e-28,1,1,419
6420,-1674216321134736e-28,1,1,419
6480,-1674216321134736e-28,1,1,419
6540,-1674216321134736e-28,1,1,419
6600,-1674216321134736e-28,1,1,419
6660,-1674216321134736e-28,1,1,419
6720,-1674216321134736e-28,1,1,419
6780,-1674216321134736e-28,1,1,419
6840,-1674216321134736e-28,1,1,419
6900,-1674216321134736e-28,1,1,419
6960,-1674216321134736e-28,1,1,419
7020,-1674216321134736e-28,1,1,419
7080,-1674216321134736e-28,1,1,419
7140,-1674216321134736e-28,1,1,419
7200,-1674216321134736e-28,1,1,419
7260,-1674216321134736e-28,1,1,419
7320,-1674216321134736e-28,1,1,419
7380,-1674216321134736e-28,1,1,419
7440,-1674216321134736e-28,1,1,419
7500,-1674216321134736e-28,1,1,419
7560,-1674216321134736e-28,1,1,419
7620,-1674216321134736e-28,1,1,419
7680,-1674216321134736e-28,1,1,419
7740,-1674216321134736e-28,1,1,419
7800,-1674216321134736e-28,1,1,419
7860,-1674216321134736e-28,1,1,419
7920,-1674216321134736e-28,1,1,419
7980,-1674216321134736e-28,1,1,419
8040,-1674216321134736e-28,1,1,419
8100,-1674216321134736e-28,1,1,419
8160,-1674216321134736e-28,1,1,419
8220,-1674216321134736e-28,1,1,419
8280,-1674216321134736e-28,1,1,419
8340,-1674216321134736e-28,1,1,419
8400,-1674216321134736e-28,1,1,419
8460,-1674216321134736e-28,1,1,419
8520,-1674216321134736e-28,1,1,419
8580,-1674216321134736e-28,1,1,419
8640,-1674216321134736e-28,1,1,419
8700,-1674216321134736e-28,1,1,419
8760,-1674216321134736e-28,1,1,419
8820,-1674216321134736e-28,1,1,419
8880,-1674216321134736e-28,1,1,419
8940,-1674216321134736e-28,1,1,419
9000,-1674216321134736e-28,1,1,419
9060,-1674216321134736e-28,1,1,419
9120,-1674216321134736e-28,1,1,419
9180,-1674216321134736e-28,1,1,419
9240,-1674216321134736e-28,1,1,419
9300,-1674216321134736e-28,1,1,419
9360,-1674216321134736e-28,1,1,419
9420,-1674216321134736e-28,1,1,419
9480,-1674216321134736e-28,1,1,419
9540,-1674216321134736e-28,1,1,419
9600,-1674216321134736e-28,1,1,419
9660,-1674216321134736e-28,1,1,419
9720,-1674216321134736e-28,1,1,419
9780,-1674216321134736e-28,1,1,419
9840,-1674216321134736e-28,1,1,419
9900,-1674216321134736e-28,1,1,419
9960,-1674216321134736e-28,1,1,419
10020,-1674216321134736e-28,1,1,419
10080,-1674216321134736e-28,1,1,419
10140,-1674216321134736e-28,1,1,419
10200,-1674216321134736e-28,1,1,419
10260,-1674216321134736e-28,1,1,419
10320,-1674216321134736e-28,1,1,419
10380,-1674216321134736e-28,1,1,419
10440,-1674216321134736e-28,1,1,419
10500,-1674216321134736e-28,1,1,419
10560,-1674216321134736e-28,1,1,419
10620,-1674216321134736e-28,1,1,419
10680,-1674216321134736e-28,1,1,419
10740,-1674216321134736e-28,1,1,419
10800,-1674216321134736e-28,1,1,419
10860,-1674216321134736e-28,1,1,419
10920,-1674216321134736e-28,1,1,419
10980,-1674216321134736e-28,1,1,419
11040,-1674216321134736e-28,1,1,419
11100,-1674216321134736e-28,1,1,419
11160,-1674216321134736e-28,1,1,419
11220,-1674216321134736e-28,1,1,419
11280,-1674216321134736e-28,1,1,419
11340,-1674216321134736e-28,1,1,419
11400,-1674216321134736e-28,1,1,419
11460,-1674216321134736e-28,1,1,419
11520,-1674216321134736e-28,1,1,419
11580,-1674216321134736e-28,1,1,419
11640,-1674216321134736e-28,1,1,419
11700,-1674216321134736e-28,1,1,419
11760,-1674216321134736e-28,1,1,419
11820,-1674216321134736e-28,1,1,419
11880,-1674216321134736e-28,1,1,419
11940,-1674216321134736e-28,1,1,419
12000,-1674216321134736e-28,1,1,419
12060,-1674216321134736e-28,1,1,419
12120,-1674216321134736e-28,1,1,419
12180,-1674216321134736e-28,1,1,419
12240,-1674216321134736e-28,1,1,419
12300,-1674216321134736e-28,1,1,419
12360,-1674216321134736e-28,1,1,419
12420,-1674216321134736e-28,1,1,419
12480,-1674216321134736e-28,1,1,419
12540,-1674216321134736e-28,1,1,419
12600,-1674216321134736e-28,1,1,419
12660,-1674216321134736e-28,1,1,419
12720,-1674216321134736e-28,1,1,419
12780,-1674216321134736e-28,1,1,419
12840,-1674216321134736e-28,1,1,419
12900,-1674216321134736e-28,1,1,419
12960,-1674216321134736e-28,1,1,419
13020,-1674216321134736e-28,1,1,419
13080,-1674216321134736e-28,1,1,419
13140,-1674216321134736e-28,1,1,419
13200,-1674216321134736e-28,1,1,419
13260,-1674216321134736e-28,1,1,419
13320,-1674216321134736e-28,1,1,419
13380,-1674216321134736e-28,1,1,419
13440,-1674216321134736e-28,1,1,419
13500,-1674216321134736e-28,1,1,419
13560,-1674216321134736e-28,1,1,419
13620,-1674216321134736e-28,1,1,419
13680,-1674216321134736e-28,1,1,419
13740,-1674216321134736e-28,1,1,419
13800,-1674216321134736e-28,1,1,419
13860,-1674216321134736e-28,1,1,419
13920,-1674216321134736e-28,1,1,419
13980,-1674216321134736e-28,1,1,419
14040,-1674216321134736e-28,1,1,419
14100,-1674216321134736e-28,1,1,419
14160,-1674216321134736e-28,1,1,419
14220,-1674216321134736e-28,1,1,419
14280,-1674216321134736e-28,1,1,419
14340,-1674216321134736e-28,1,1,419
14400,-1674216321134736e-28,1,1,419
14460,-1674216321134736e-28,1,1,419
14520,-1674216321134736e-28,1,1,419
14580,-1674216321134736e-28,1,1,419
14640,-1674216321134736e-28,1,1,419
14700,-1674216321134736e-28,1,1,419
14760,-1674216321134736e-28,1,1,419
14820,-1674216321134736e-28,1,1,419
14880,-1674216321134736e-28,1,1,419
14940,-1674216321134736e-28,1,1,419
15000,-1674216321134736e-28,1,1,419
15060,-1674216321134736e-28,1,1,419
15120,-1674216321134736e-28,1,1,419
15180,-1674216321134736e-28,1,1,419
15240,-1674216321134736e-28,1,1,419
15300,-1674216321134736e-28,1,1,419
15360,-1674216321134736e-28,1,1,419
15420,-1674216321134736e-28,1,1,419
15480,-1674216321134736e-28,1,1,419
15540,-1674216321134736e-28,1,1,419
15600,-1674216321134736e-28,1,1,419
15660,-1674216321134736e-28,1,1,419
15720,-1674216321134736e-28,1,1,419
15780,-1674216321134736e-28,1,1,419
15840,-1674216321134736e-28,1,1,419
