time,load_shed,perc_load_served,lines_out,gens_off
0,4446.349955066242,0.7539988660790118,300,284
0,1844.2683241675345,0.8979630250464585,300,221
60,404.53769095503594,0.9776183315091233,132,230
120,150.37090217798712,0.991680499101885,103,217
180,67.635000000003,0.9962579898431547,81,269
240,30.92099999999982,0.9982892482285828,66,254
300,30.92099999999982,0.9982892482285828,54,262
360,30.92099999999982,0.9982892482285828,48,270
420,30.92099999999982,0.9982892482285828,45,269
480,21.991999999999827,0.998783258854597,39,262
540,21.991999999999827,0.998783258854597,37,254
600,21.991999999999827,0.998783258854597,33,262
660,15.514999999999825,0.9991416088181644,31,271
720,15.514999999999825,0.9991416088181644,30,283
780,15.514999999999825,0.9991416088181644,28,241
840,15.514999999999825,0.9991416088181644,27,276
900,15.514999999999825,0.9991416088181644,26,264
960,15.514999999999825,0.9991416088181644,24,265
1020,15.514999999999825,0.9991416088181644,23,276
1080,15.514999999999825,0.9991416088181644,23,276
1140,15.514999999999825,0.9991416088181644,22,245
1200,15.514999999999825,0.9991416088181644,22,245
1260,15.514999999999825,0.9991416088181644,22,245
1320,15.514999999999825,0.9991416088181644,22,245
1380,15.514999999999825,0.9991416088181644,20,260
1440,15.514999999999825,0.9991416088181644,20,260
1500,15.514999999999825,0.9991416088181644,20,260
1560,15.514999999999825,0.9991416088181644,19,273
1620,15.514999999999825,0.9991416088181644,19,273
1680,15.514999999999825,0.9991416088181644,19,273
1740,15.514999999999825,0.9991416088181644,19,273
1800,15.514999999999825,0.9991416088181644,19,273
1860,15.514999999999825,0.9991416088181644,19,273
1920,15.514999999999825,0.9991416088181644,18,256
1980,10.026999999999825,0.9994452408391709,17,252
2040,10.026999999999825,0.9994452408391709,17,252
2100,10.026999999999825,0.9994452408391709,16,259
2160,10.026999999999825,0.9994452408391709,15,265
2220,-1674216321134736e-28,1,14,270
2280,-1674216321134736e-28,1,13,263
2340,-1674216321134736e-28,1,13,263
2400,-1674216321134736e-28,1,13,263
2460,-1674216321134736e-28,1,12,254
2520,-1674216321134736e-28,1,11,273
2580,-1674216321134736e-28,1,11,273
2640,-1674216321134736e-28,1,11,273
2700,-1674216321134736e-28,1,11,273
2760,-1674216321134736e-28,1,10,261
2820,-1674216321134736e-28,1,10,261
2880,-1674216321134736e-28,1,10,261
2940,-1674216321134736e-28,1,10,261
3000,-1674216321134736e-28,1,10,261
3060,-1674216321134736e-28,1,10,261
3120,-1674216321134736e-28,1,10,261
3180,-1674216321134736e-28,1,8,259
3240,-1674216321134736e-28,1,6,271
3300,-1674216321134736e-28,1,4,280
3360,-1674216321134736e-28,1,4,280
3420,-1674216321134736e-28,1,3,267
3480,-1674216321134736e-28,1,3,267
3540,-1674216321134736e-28,1,3,267
3600,-1674216321134736e-28,1,3,267
3660,-1674216321134736e-28,1,3,267
3720,-1674216321134736e-28,1,3,267
3780,-1674216321134736e-28,1,3,267
3840,-1674216321134736e-28,1,3,267
3900,-1674216321134736e-28,1,3,267
3960,-1674216321134736e-28,1,3,267
4020,-1674216321134736e-28,1,3,267
4080,-1674216321134736e-28,1,2,264
4140,-1674216321134736e-28,1,2,264
4200,-1674216321134736e-28,1,2,264
4260,-1674216321134736e-28,1,2,264
4320,-1674216321134736e-28,1,2,264
4380,-1674216321134736e-28,1,2,264
4440,-1674216321134736e-28,1,1,268
4500,-1674216321134736e-28,1,1,268
4560,-1674216321134736e-28,1,1,268
4620,-1674216321134736e-28,1,1,268
4680,-1674216321134736e-28,1,1,268
4740,-1674216321134736e-28,1,1,268
4800,-1674216321134736e-28,1,1,268
4860,-1674216321134736e-28,1,1,268
4920,-1674216321134736e-28,1,1,268
4980,-1674216321134736e-28,1,1,268
5040,-1674216321134736e-28,1,1,268
5100,-1674216321134736e-28,1,1,268
5160,-1674216321134736e-28,1,1,268
5220,-1674216321134736e-28,1,1,268
5280,-1674216321134736e-28,1,1,268
5340,-1674216321134736e-28,1,1,268
5400,-1674216321134736e-28,1,1,268
5460,-1674216321134736e-28,1,1,268
5520,-1674216321134736e-28,1,1,268
5580,-1674216321134736e-28,1,1,268
5640,-1674216321134736e-28,1,1,268
5700,-1674216321134736e-28,1,1,268
5760,-1674216321134736e-28,1,1,268
5820,-1674216321134736e-28,1,1,268
5880,-1674216321134736e-28,1,1,268
5940,-1674216321134736e-28,1,1,268
6000,-1674216321134736e-28,1,1,268
6060,-1674216321134736e-28,1,1,268
6120,-1674216321134736e-28,1,1,268
6180,-1674216321134736e-28,1,1,268
6240,-1674216321134736e-28,1,1,268
6300,-1674216321134736e-28,1,1,268
6360,-1674216321134736e-28,1,1,268
6420,-1674216321134736e-28,1,1,268
6480,-1674216321134736e-28,1,1,268
6540,-1674216321134736e-28,1,1,268
6600,-1674216321134736e-28,1,1,268
6660,-1674216321134736e-28,1,1,268
6720,-1674216321134736e-28,1,1,268
6780,-1674216321134736e-28,1,1,268
6840,-1674216321134736e-28,1,1,268
6900,-1674216321134736e-28,1,1,268
6960,-1674216321134736e-28,1,1,268
7020,-1674216321134736e-28,1,1,268
7080,-1674216321134736e-28,1,1,268
7140,-1674216321134736e-28,1,1,268
7200,-1674216321134736e-28,1,1,268
7260,-1674216321134736e-28,1,1,268
7320,-1674216321134736e-28,1,1,268
7380,-1674216321134736e-28,1,1,268
7440,-1674216321134736e-28,1,1,268
7500,-1674216321134736e-28,1,1,268
7560,-1674216321134736e-28,1,1,268
7620,-1674216321134736e-28,1,1,268
7680,-1674216321134736e-28,1,1,268
7740,-1674216321134736e-28,1,1,268
7800,-1674216321134736e-28,1,1,268
7860,-1674216321134736e-28,1,1,268
7920,-1674216321134736e-28,1,1,268
7980,-1674216321134736e-28,1,1,268
8040,-1674216321134736e-28,1,1,268
8100,-1674216321134736e-28,1,1,268
8160,-1674216321134736e-28,1,1,268
8220,-1674216321134736e-28,1,1,268
8280,-1674216321134736e-28,1,1,268
8340,-1674216321134736e-28,1,1,268
8400,-1674216321134736e-28,1,1,268
8460,-1674216321134736e-28,1,1,268
8520,-1674216321134736e-28,1,1,268
8580,-1674216321134736e-28,1,1,268
8640,-1674216321134736e-28,1,1,268
8700,-1674216321134736e-28,1,1,268
8760,-1674216321134736e-28,1,1,268
8820,-1674216321134736e-28,1,1,268
8880,-1674216321134736e-28,1,1,268
8940,-1674216321134736e-28,1,1,268
9000,-1674216321134736e-28,1,1,268
9060,-1674216321134736e-28,1,1,268
9120,-1674216321134736e-28,1,1,268
9180,-1674216321134736e-28,1,1,268
9240,-1674216321134736e-28,1,1,268
9300,-1674216321134736e-28,1,1,268
9360,-1674216321134736e-28,1,1,268
9420,-1674216321134736e-28,1,1,268
9480,-1674216321134736e-28,1,1,268
9540,-1674216321134736e-28,1,1,268
9600,-1674216321134736e-28,1,1,268
9660,-1674216321134736e-28,1,1,268
9720,-1674216321134736e-28,1,1,268
9780,-1674216321134736e-28,1,1,268
9840,-1674216321134736e-28,1,1,268
