time,load_shed,perc_load_served,lines_out,gens_out
10,0,1,3,2
10,295.1038891453243,0.9660956009713552,3,2
70,181.6683846443338,0.9791281727200903,2,1
130,28.00000000000216,0.9967830882352939,1,1
190,28.000000000001705,0.9967830882352939,1,1
250,25.179360000004863,0.9971071507352934,0,1
310,7.03015782399973,0.9991923072352942,0,1
370,0,1,0,0
430,0,1,0,0
490,0,1,0,0
550,0.5796800000080111,0.9999334007352932,0,0
610,0,1,0,0
670,11.9084800000021,0.9986318382352939,0,0
730,28.000000000015348,0.9967830882352925,0,0
790,28.000000000015348,0.9967830882352925,0,0
850,27.99999999997874,0.9967830882352966,0,0
910,28.000000000009663,0.996783088235293,0,0
970,28.000000000011,0.9967830882352928,0,0
1030,28.000000000000995,0.9967830882352939,0,0
1090,28.00000000000864,0.996783088235293,0,0
1150,27.999999999997044,0.9967830882352945,0,0
1210,27.99999999997874,0.9967830882352966,0,0
1270,28.00000000000088,0.9967830882352942,0,0
1330,27.99999999998647,0.9967830882352956,0,0
1390,27.99999999997874,0.9967830882352966,0,0
1450,27.99999999997874,0.9967830882352966,0,0
1510,28.000000000015348,0.9967830882352925,0,0
1570,27.999999999997044,0.9967830882352945,0,0
1630,27.999999999997044,0.9967830882352945,0,0
1690,16.070080000005078,0.9981537132352936,0,0
1750,0,1,0,0
1810,0,1,0,0
1870,0,1,0,0
1930,0,1,0,0
1990,0,1,0,0
2050,0,1,0,0
2110,0,1,0,0
2170,17.341682176014956,0.9980076192352925,0,0
2230,28.000000000015348,0.9967830882352925,0,0
2290,27.99999999997874,0.9967830882352966,0,0
2350,27.99999999997874,0.9967830882352966,0,0
2410,28.000000000044963,0.9967830882352889,0,0
2470,27.999999999997044,0.9967830882352945,0,0
2530,27.99999999997874,0.9967830882352966,0,0
2590,28.00000000000111,0.9967830882352939,0,0
2650,27.999999999997044,0.9967830882352945,0,0
2710,28.000000000060254,0.9967830882352873,0,0
2770,27.999999999977803,0.9967830882352966,0,0
2830,27.999999999997044,0.9967830882352945,0,0
2890,27.99999999999619,0.9967830882352945,0,0
2950,27.99999999997874,0.9967830882352966,0,0
3010,28.000000000044963,0.9967830882352889,0,0
3070,27.99999999997874,0.9967830882352966,0,0
3130,0,1,0,0
3190,0,1,0,0
3250,0,1,0,0
3310,0,1,0,0
3370,0,1,0,0
3430,0,1,0,0
3490,0,1,0,0
3550,0,1,0,0
3610,0,1,0,0
3670,0,1,0,0
3730,0,1,0,0
3790,0,1,0,0
3850,0,1,0,0
3910,0,1,0,0
3970,0,1,0,0
4030,0,1,0,0
4090,0,1,0,0
4150,0,1,0,0
4210,0,1,0,0
4270,0,1,0,0
4330,0,1,0,0
4390,0,1,0,0
4450,0,1,0,0
4510,0,1,0,0
4570,0,1,0,0
4630,0,1,0,0
