time,load_shed,perc_load_served,lines_out,gens_out
10,0,1,3,2
10,295.1038891453275,0.9660956009713547,3,2
70,181.66838464433528,0.9791281727200901,2,1
130,27.99999999997965,0.9967830882352964,1,1
190,27.999999999999886,0.9967830882352942,1,1
250,28.000000000001705,0.9967830882352939,0,1
310,27.99999999997874,0.9967830882352966,0,1
370,28.000000000000796,0.9967830882352942,0,0
430,27.999999999999687,0.9967830882352942,0,0
490,28.0000000000002,0.9967830882352942,0,0
550,27.999999999997044,0.9967830882352945,0,0
610,27.9999999999998,0.9967830882352942,0,0
670,27.99999999997874,0.9967830882352966,0,0
730,28.000000000015348,0.9967830882352925,0,0
790,28.000000000015348,0.9967830882352925,0,0
850,28.000000000044963,0.9967830882352889,0,0
910,28.000000000000796,0.9967830882352942,0,0
970,28.000000000015348,0.9967830882352925,0,0
1030,27.999999999997044,0.9967830882352945,0,0
1090,27.999999999997044,0.9967830882352945,0,0
1150,27.99999999997874,0.9967830882352966,0,0
1210,27.999999999997044,0.9967830882352945,0,0
1270,27.999999999997613,0.9967830882352944,0,0
1330,28.000000000015348,0.9967830882352925,0,0
1390,27.999999999999574,0.9967830882352942,0,0
1450,28.000000000015348,0.9967830882352925,0,0
1510,28.000000000060254,0.9967830882352873,0,0
1570,27.99999999997874,0.9967830882352966,0,0
1630,28.000000000000767,0.9967830882352942,0,0
1690,27.999999999973568,0.9967830882352973,0,0
1750,27.99999999997874,0.9967830882352966,0,0
1810,28.000000000044963,0.9967830882352889,0,0
1870,28.000000000015348,0.9967830882352925,0,0
1930,27.99999999997874,0.9967830882352966,0,0
1990,28.000000000015348,0.9967830882352925,0,0
2050,28.000000000044963,0.9967830882352889,0,0
2110,28.00000000000483,0.9967830882352935,0,0
2170,28.000000000015348,0.9967830882352925,0,0
2230,28.000000000060254,0.9967830882352873,0,0
2290,27.999999999978,0.9967830882352966,0,0
2350,27.999999999957254,0.9967830882352992,0,0
2410,27.99999999999372,0.9967830882352947,0,0
2470,28.00000000000216,0.9967830882352939,0,0
2530,28.000000000000284,0.9967830882352942,0,0
2590,28.000000000015348,0.9967830882352925,0,0
2650,27.999999999997044,0.9967830882352945,0,0
2710,28.000000000015348,0.9967830882352925,0,0
2770,27.999999999997044,0.9967830882352945,0,0
2830,28.000000000015348,0.9967830882352925,0,0
2890,28.000000000015348,0.9967830882352925,0,0
2950,28.000000000000284,0.9967830882352942,0,0
3010,28.000000000015348,0.9967830882352925,0,0
3070,27.99999999997874,0.9967830882352966,0,0
3130,0,1,0,0
3190,0,1,0,0
3250,0,1,0,0
3310,0,1,0,0
3370,0,1,0,0
3430,0,1,0,0
3490,0,1,0,0
3550,0,1,0,0
3610,0,1,0,0
3670,0,1,0,0
3730,0,1,0,0
3790,0,1,0,0
3850,0,1,0,0
3910,0,1,0,0
3970,0,1,0,0
4030,0,1,0,0
4090,0,1,0,0
4150,0,1,0,0
4210,0,1,0,0
4270,0,1,0,0
4330,0,1,0,0
4390,0,1,0,0
4450,0,1,0,0
4510,0,1,0,0
4570,0,1,0,0
4630,0,1,0,0
