time,load_shed,perc_load_served,lines_out,gens_out
10,0,1,3,2
0,295.1038891453243,0.9660956009713552,3,2
60,181.6683846443338,0.9791281727200903,2,1
120,28.00000000000216,0.9967830882352939,1,1
180,28.000000000001705,0.9967830882352939,1,1
240,25.179360000004863,0.9971071507352934,0,1
300,7.03015782399973,0.9991923072352942,0,1
360,0,1,0,0
420,0,1,0,0
480,0,1,0,0
540,0.5796800000080111,0.9999334007352932,0,0
600,0,1,0,0
660,11.9084800000021,0.9986318382352939,0,0
720,28.000000000015348,0.9967830882352925,0,0
780,28.000000000015348,0.9967830882352925,0,0
840,27.99999999997874,0.9967830882352966,0,0
900,28.000000000009663,0.996783088235293,0,0
960,28.000000000011,0.9967830882352928,0,0
1020,28.000000000000995,0.9967830882352939,0,0
1080,28.00000000000864,0.996783088235293,0,0
1140,27.999999999997044,0.9967830882352945,0,0
1200,27.99999999997874,0.9967830882352966,0,0
1260,28.00000000000088,0.9967830882352942,0,0
1320,27.99999999998647,0.9967830882352956,0,0
1380,27.99999999997874,0.9967830882352966,0,0
1440,27.99999999997874,0.9967830882352966,0,0
1500,28.000000000015348,0.9967830882352925,0,0
1560,27.999999999997044,0.9967830882352945,0,0
1620,27.999999999997044,0.9967830882352945,0,0
1680,16.070080000005078,0.9981537132352936,0,0
1740,0,1,0,0
1800,0,1,0,0
1860,0,1,0,0
1920,0,1,0,0
1980,0,1,0,0
2040,0,1,0,0
2100,0,1,0,0
2160,17.341682176014956,0.9980076192352925,0,0
2220,28.000000000015348,0.9967830882352925,0,0
2280,27.99999999997874,0.9967830882352966,0,0
2340,27.99999999997874,0.9967830882352966,0,0
2400,28.000000000044963,0.9967830882352889,0,0
2460,27.999999999997044,0.9967830882352945,0,0
2520,27.99999999997874,0.9967830882352966,0,0
2580,28.00000000000111,0.9967830882352939,0,0
2640,27.999999999997044,0.9967830882352945,0,0
2700,28.000000000060254,0.9967830882352873,0,0
2760,27.999999999977803,0.9967830882352966,0,0
2820,27.999999999997044,0.9967830882352945,0,0
2880,27.99999999999619,0.9967830882352945,0,0
2940,27.99999999997874,0.9967830882352966,0,0
3000,28.000000000044963,0.9967830882352889,0,0
3060,27.99999999997874,0.9967830882352966,0,0
3120,0,1,0,0
3180,0,1,0,0
3240,0,1,0,0
3300,0,1,0,0
3360,0,1,0,0
3420,0,1,0,0
3480,0,1,0,0
3540,0,1,0,0
3600,0,1,0,0
3660,0,1,0,0
3720,0,1,0,0
3780,0,1,0,0
3840,0,1,0,0
3900,0,1,0,0
3960,0,1,0,0
4020,0,1,0,0
4080,0,1,0,0
4140,0,1,0,0
4200,0,1,0,0
4260,0,1,0,0
4320,0,1,0,0
4380,0,1,0,0
4440,0,1,0,0
4500,0,1,0,0
4560,0,1,0,0
4620,0,1,0,0
