time,load_shed,perc_load_served,lines_out,gens_out
10,0,1,3,2
10,0,1,3,2
70,0,1,2,1
130,0,1,1,1
190,357.4000000000163,0.9589384191176452,1,1
250,1185.717440000026,0.8637732720588206,0,1
310,1113.120631295983,0.8721138980588254,0,1
370,716.0858035200209,0.9177291126470565,0,0
430,0,1,0,0
490,0,1,0,0
550,0,1,0,0
610,0,1,0,0
670,68.0092800000167,0.9921864338235276,0,0
730,183.00000000000188,0.9789751838235292,0,0
790,183.0000000000307,0.9789751838235259,0,0
850,28.000000000015348,0.9967830882352925,0,0
910,28.00000000000864,0.996783088235293,0,0
970,27.999999999997044,0.9967830882352945,0,0
1030,28.000000000060254,0.9967830882352873,0,0
1090,27.99999999997874,0.9967830882352966,0,0
1150,28.000000000015348,0.9967830882352925,0,0
1210,27.99999999997874,0.9967830882352966,0,0
1270,27.999999999995055,0.9967830882352947,0,0
1330,28.000000000012847,0.9967830882352926,0,0
1390,28.000000000015348,0.9967830882352925,0,0
1450,28.00000000005531,0.9967830882352878,0,0
1510,28.000000000015348,0.9967830882352925,0,0
1570,27.999999999957254,0.9967830882352992,0,0
1630,28.000000000001307,0.9967830882352939,0,0
1690,0,1,0,0
1750,0,1,0,0
1810,0,1,0,0
1870,0,1,0,0
1930,0,1,0,0
1990,0,1,0,0
2050,0,1,0,0
2110,0,1,0,0
2170,0,1,0,0
2230,0,1,0,0
2290,0,1,0,0
2350,0,1,0,0
2410,0,1,0,0
2470,0,1,0,0
2530,0,1,0,0
2590,0,1,0,0
2650,0,1,0,0
2710,0,1,0,0
2770,0,1,0,0
2830,0,1,0,0
2890,0,1,0,0
2950,0,1,0,0
3010,0,1,0,0
3070,0,1,0,0
3130,0,1,0,0
3190,0,1,0,0
3250,0,1,0,0
3310,0,1,0,0
3370,0,1,0,0
3430,0,1,0,0
3490,0,1,0,0
3550,0,1,0,0
3610,0,1,0,0
3670,0,1,0,0
3730,0,1,0,0
3790,0,1,0,0
3850,0,1,0,0
3910,0,1,0,0
3970,0,1,0,0
4030,0,1,0,0
4090,0,1,0,0
4150,0,1,0,0
4210,0,1,0,0
4270,0,1,0,0
4330,0,1,0,0
4390,0,1,0,0
4450,0,1,0,0
4510,0,1,0,0
4570,0,1,0,0
4630,0,1,0,0
