time,load_shed,perc_load_served,lines_out,gens_out
10,99.88276087408644,0.9885244989804588,3,2
0,377.99999999999864,0.9565716911764708,3,2
60,378.0000000000029,0.9565716911764701,2,1
120,378.0000000000009,0.9565716911764706,1,1
180,377.9999999999973,0.9565716911764708,1,1
240,375.17936000001305,0.9568957536764691,0,1
300,357.03015782398955,0.9589809101764719,0,1
360,333.77145088001504,0.9616530961764689,0,0
420,239.85798912000718,0.9724427861764697,0,0
480,338.3723199999995,0.9611245036764707,0,0
540,350.57968000000875,0.9597220036764696,0,0
600,334.2338508800058,0.9615999711764699,0,0
660,361.90848000001273,0.9584204411764691,0,0
720,377.9999999999976,0.9565716911764708,0,0
780,378.00000000002035,0.9565716911764683,0,0
840,378.00000000002035,0.9565716911764683,0,0
900,377.9999999999976,0.9565716911764708,0,0
960,378.0000000000046,0.95657169117647,0,0
1020,378.0000000000125,0.9565716911764691,0,0
1080,378.00000000000495,0.95657169117647,0,0
1140,378.00000000002035,0.9565716911764683,0,0
1200,378.0000000000556,0.9565716911764641,0,0
1260,378.00000000002035,0.9565716911764683,0,0
1320,378.00000000000455,0.9565716911764701,0,0
1380,378.00000000004275,0.9565716911764656,0,0
1440,378.0000000000125,0.9565716911764691,0,0
1500,378.0000000000125,0.9565716911764691,0,0
1560,377.9999999999975,0.9565716911764708,0,0
1620,378.0000000000067,0.9565716911764698,0,0
1680,366.07008000001247,0.9579423161764692,0,0
1740,333.5171200000185,0.9616823161764685,0,0
1800,288.4562508800235,0.966859346176468,0,0
1860,236.99110912001092,0.9727721611764695,0,0
1920,222.56422912000198,0.9744296611764703,0,0
1980,267.64825088000543,0.9692499711764699,0,0
2040,261.7064217599756,0.9699326261764734,0,0
2100,310.30464000001706,0.9643491911764687,0,0
2160,367.34168217599824,0.9577962221764708,0,0
2220,378.00000000002035,0.9565716911764683,0,0
2280,378.00000000000057,0.9565716911764706,0,0
2340,377.99999999999994,0.9565716911764706,0,0
2400,378.0000000000556,0.9565716911764641,0,0
2460,378.0000000000556,0.9565716911764641,0,0
2520,378.0000000000125,0.9565716911764691,0,0
2580,378.00000000001353,0.9565716911764691,0,0
2640,377.9999999999975,0.9565716911764708,0,0
2700,378.0000000000046,0.95657169117647,0,0
2760,378.0000000000125,0.9565716911764691,0,0
2820,378.0000000000125,0.9565716911764691,0,0
2880,378.0000000000125,0.9565716911764691,0,0
2940,378.00000000002035,0.9565716911764683,0,0
3000,378.0000000000125,0.9565716911764691,0,0
3060,378.0000000000168,0.9565716911764687,0,0
3120,0,1,0,0
3180,0,1,0,0
3240,0,1,0,0
3300,0,1,0,0
3360,0,1,0,0
3420,0,1,0,0
3480,0,1,0,0
3540,0,1,0,0
3600,0,1,0,0
3660,0,1,0,0
3720,0,1,0,0
3780,0,1,0,0
3840,0,1,0,0
3900,0,1,0,0
3960,0,1,0,0
4020,0,1,0,0
4080,0,1,0,0
4140,0,1,0,0
4200,0,1,0,0
4260,0,1,0,0
4320,0,1,0,0
4380,0,1,0,0
4440,0,1,0,0
4500,0,1,0,0
4560,0,1,0,0
4620,0,1,0,0
