time,load_shed,perc_load_served,lines_out,gens_out
10,0,1,3,2
10,101.10039598718572,0.9883846052404429,3,2
70,0,1,2,1
130,0,1,1,1
190,0,1,1,1
250,0,1,0,1
310,0,1,0,1
370,0,1,0,0
430,0,1,0,0
490,0,1,0,0
550,0,1,0,0
610,0,1,0,0
670,0,1,0,0
730,0,1,0,0
790,0,1,0,0
850,0,1,0,0
910,0,1,0,0
970,0,1,0,0
1030,0,1,0,0
1090,0,1,0,0
1150,0,1,0,0
1210,0,1,0,0
1270,6.238510546623274,0.9992832593581544,0,0
1330,27.999999999999574,0.9967830882352942,0,0
1390,27.999999999953445,0.9967830882352996,0,0
1450,27.99999999995333,0.9967830882352996,0,0
1510,28.000000000015348,0.9967830882352925,0,0
1570,27.999999999999574,0.9967830882352942,0,0
1630,27.99999999999389,0.9967830882352947,0,0
1690,27.999999999977803,0.9967830882352966,0,0
1750,28.00000000002774,0.9967830882352909,0,0
1810,28.00000000000429,0.9967830882352937,0,0
1870,28.000000000011,0.9967830882352928,0,0
1930,28.000000000034305,0.9967830882352902,0,0
1990,28.00000000004394,0.996783088235289,0,0
2050,28.00000000000864,0.996783088235293,0,0
2110,27.999999999995055,0.9967830882352947,0,0
2170,28.000000000044963,0.9967830882352889,0,0
2230,27.999999999977803,0.9967830882352966,0,0
2290,28.000000000015348,0.9967830882352925,0,0
2350,28.000000000015348,0.9967830882352925,0,0
2410,28.00000000004428,0.996783088235289,0,0
2470,28.000000000044963,0.9967830882352889,0,0
2530,28.000000000015348,0.9967830882352925,0,0
2590,27.999999999977803,0.9967830882352966,0,0
2650,28.000000000015348,0.9967830882352925,0,0
2710,28.000000000015348,0.9967830882352925,0,0
2770,28.000000000015348,0.9967830882352925,0,0
2830,28.00000000004428,0.996783088235289,0,0
2890,28.000000000044963,0.9967830882352889,0,0
2950,28.000000000015348,0.9967830882352925,0,0
3010,28.000000000026887,0.9967830882352909,0,0
3070,28.000000000015348,0.9967830882352925,0,0
3130,0,1,0,0
3190,0,1,0,0
3250,0,1,0,0
3310,0,1,0,0
3370,0,1,0,0
3430,0,1,0,0
3490,0,1,0,0
3550,0,1,0,0
3610,0,1,0,0
3670,0,1,0,0
3730,0,1,0,0
3790,0,1,0,0
3850,0,1,0,0
3910,0,1,0,0
3970,0,1,0,0
4030,0,1,0,0
4090,0,1,0,0
4150,0,1,0,0
4210,0,1,0,0
4270,0,1,0,0
4330,0,1,0,0
4390,0,1,0,0
4450,0,1,0,0
4510,0,1,0,0
4570,0,1,0,0
4630,0,1,0,0
