time,load_shed,perc_load_served,lines_out,gens_out
10,0,1,3,2
0,87.61559141833999,0.9899338704712385,3,2
60,0,1,2,1
120,0,1,1,1
180,0,1,1,1
240,0,1,0,1
300,0,1,0,1
360,0,1,0,0
420,0,1,0,0
480,0,1,0,0
540,0,1,0,0
600,0,1,0,0
660,0,1,0,0
720,0,1,0,0
780,0,1,0,0
840,0,1,0,0
900,0,1,0,0
960,14.821429009060807,0.9982971703803929,0,0
1020,27.999999999999574,0.9967830882352942,0,0
1080,28.000000000015348,0.9967830882352925,0,0
1140,27.99999999997874,0.9967830882352966,0,0
1200,28.000000000015348,0.9967830882352925,0,0
1260,28.000000000015348,0.9967830882352925,0,0
1320,27.999999999984766,0.9967830882352958,0,0
1380,28.000000000015348,0.9967830882352925,0,0
1440,28.000000000060254,0.9967830882352873,0,0
1500,28.000000000015348,0.9967830882352925,0,0
1560,27.99999999997874,0.9967830882352966,0,0
1620,28.0000000000002,0.9967830882352942,0,0
1680,27.99999999997874,0.9967830882352966,0,0
1740,28.000000000015348,0.9967830882352925,0,0
1800,28.0000000000029,0.9967830882352937,0,0
1860,27.99999999997874,0.9967830882352966,0,0
1920,28.0000000000245,0.9967830882352914,0,0
1980,28.000000000015348,0.9967830882352925,0,0
2040,27.9999999999998,0.9967830882352942,0,0
2100,28.000000000044963,0.9967830882352889,0,0
2160,28.0000000000029,0.9967830882352937,0,0
2220,27.99999999997874,0.9967830882352966,0,0
2280,28.0000000000029,0.9967830882352937,0,0
2340,28.000000000015348,0.9967830882352925,0,0
2400,27.999999999991587,0.9967830882352952,0,0
2460,27.99999999997874,0.9967830882352966,0,0
2520,28.0000000000002,0.9967830882352942,0,0
2580,28.00000000000753,0.9967830882352933,0,0
2640,28.000000000015348,0.9967830882352925,0,0
2700,28.000000000044963,0.9967830882352889,0,0
2760,27.999999999994202,0.9967830882352947,0,0
2820,28.000000000015348,0.9967830882352925,0,0
2880,27.99999999997874,0.9967830882352966,0,0
2940,28.000000000044963,0.9967830882352889,0,0
3000,28.000000000015348,0.9967830882352925,0,0
3060,27.999999999997044,0.9967830882352945,0,0
3120,0,1,0,0
3180,0,1,0,0
3240,0,1,0,0
3300,0,1,0,0
3360,0,1,0,0
3420,0,1,0,0
3480,0,1,0,0
3540,0,1,0,0
3600,0,1,0,0
3660,0,1,0,0
3720,0,1,0,0
3780,0,1,0,0
3840,0,1,0,0
3900,0,1,0,0
3960,0,1,0,0
4020,0,1,0,0
4080,0,1,0,0
4140,0,1,0,0
4200,0,1,0,0
4260,0,1,0,0
4320,0,1,0,0
4380,0,1,0,0
4440,0,1,0,0
4500,0,1,0,0
4560,0,1,0,0
4620,0,1,0,0
